[General]
Name|Derek
13.1|Ah, ah sim, cara, eu sei que a Ashley é meio doida. Não só nos lençóis. O tempo todo. Por que você não a leva para sair e a cobre de carinho? Sério, desabafa com ela. Isso resolve.
14|Cara, a gente acabou de falar disso. Você não acha que eu ia tocar no assunto se tivesse alguma coisa?
14.1|Não, cara, eu não estava planejando que isso acontecesse naquela noite. Se você estiver a fim, suas melhores apostas provavelmente serão Stephanie, Ashley ou talvez Patrick. Ou Frank, eu acho... quem sabe o que ele tem guardado hoje à noite.
14.2|Procurando a conexão, hein? Tudo bem, olha só para eu ter certeza de que tem maconha escondida DENTRO do micro-ondas. A questão é que ela está lá mesmo, então a melhor aposta é ligar o micro-ondas e inalar a fumaça que sai. Tá me acompanhando? Para o melhor efeito, você provavelmente deveria enfiar a cabeça dentro do micro-ondas e respirar fundo enquanto ele estiver ligado. Vai nessa, filho da puta! Filho da puta...
15|Ops, pega leve, cara! Todo mundo sabe que a Ashley odeia a cor vermelha! Eu não faria isso se estivesse tentando conquistá-la. Embora uma flor seja uma boa ideia... talvez se fosse de uma cor diferente?
15.1|Parece um plano genial esse seu, amigo. Boa sorte com isso.
16|Bem, eu sei que os pais da Stephanie são ricos. Se alguém tem 50 dólares por aqui, provavelmente é ela. Talvez você devesse falar com ela e ajudá-la se ela precisar de alguma coisa...
16.1|50 dólares! Sem problemas. Vai ser fácil. Fiz uma aposta de 100 dólares com o Frank, então ele não poderia impedir ninguém de tirar cervejas do armário dele. Vai buscar umas cervejas, porque todos sabemos que você é um festeiro, e o Frank vai perder a aposta! Vou dividir o prêmio com você. Fácil assim! Então vai lá... cara.
17|Qual é o seu problema, cara! O que eu te disse sobre falar comigo sobre esse tipo de merda? Não quero saber!
17.1|Que tal de jeito nenhum? Nunca mais. Em lugar nenhum.
17.2|Nossa, uh, droga, essa pode ser a primeira vez. Estão brincando comigo? Piadas significam alguma coisa?
18|Droga. Certo. Se eu realmente tiver que satisfazer essa conversa... Acho que quando bebo um pouco, uh... minha resistência diminui. Talvez você devesse tomar uns drinques e relaxar. Só tome cuidado para não ficar completamente bêbado, ou será inútil.
18.1|Droga, você não pode simplesmente parar? Vá beber até entrar em coma ou algo assim. Garanto que vai te manter no chão.
18.2|Olha, eu não sei muito sobre IMPEDIR que as mulheres terminem. Geralmente tento chegar à linha de chegada antes que minha língua fique dormente. Mas eu sei que um pouco de álcool vai desacelerar o processo. Talvez eu experimente algumas garrafas para acalmar esses nervos.
19|Ei, calma aí! Eu sei que o Frank pode ser um babaca, mas a violência deve ser sempre o último recurso. Tenho certeza de que, seja lá o que for, vocês conseguem resolver amigavelmente. Eu teria que ter um bom motivo para dar um soco nele.
19.1|Ah, pelo amor de Deus- ...uh, é, cara. Siiiiiiiii! Sabe de uma coisa? Eu te apoio totalmente! Assim como você me apoiou hoje à noite, cara. Vai lá e dá uma pancada no Frank e eu estarei lá! Você e eu juntos, é!
20|Bem, eu acho engraçado. É preciso muita coisa para me irritar, mas existe um limite. O Frank ainda não o ultrapassou.
21|A Amy é a melhor. Tive algumas aulas com ela no semestre passado. Ela é obcecada por aquela banda, Panic! at the Disco. Ela surta toda vez que alguém menciona eles.
21.1|Ah, Amy? Ela é minha colega de classe. Ela tem uma paixonite enorme pelo vocalista daquela banda, o Panic! at the Disco. É, cara, o vocalista deles, o Jared Leto... ele realmente a excita.
22|Obrigado por vir, cara! Que bom que você veio. Foi uma semana difícil. Eu queria muito estar com você.
22.1|É. Tá vendo essa cara? Essa é a minha cara de "que bom que consegui".
22.2|É, mais ou menos. Tem gente boa aqui, mas meu melhor amigo não pôde vir. Uma vergonha e tanto. Ele nunca me causa problemas, nunca. E é sempre um momento bom. Eu poderia usar isso, considerando a semana difícil que tive...
22.3|Você acha que eu vou me abrir com você, sobre como você passou esta noite e a semana que eu tive? Você é louco ou algo assim? Me deixa em paz, ok?
23|Ah, não vale a pena falar sobre isso agora. Vamos relaxar e nos divertir.
23.1|Não sei se você está mesmo perguntando, mas mesmo assim... o que te faz pensar que eu quero entrar nessa com você?
24|Ah, pensei que você fosse me ouvir em algum momento. Eu mesmo deveria ter te contado. Agradeço sua preocupação. Se eu encontrar o homem que vendeu aquela metanfetamina para ele, vou enlouquecer.
24.1|Acho que você não assiste ao noticiário. É o Maurice, ele foi pego com metanfetamina, cara. Dá para acreditar nessa merda? É quase surreal. Você conhece meu irmãozinho, ele não se mete com essa merda, ou pelo menos eu pensei que me metesse. Vou matar quem o vendeu, quem o envolveu com aquele veneno horrível.
24.2|Ah, pensei que você fosse me ouvir em algum momento. Não acredito que o pegaram com a metanfetamina. Descubra quem vendeu para ele, e talvez eu me sinta melhor em te convidar para hoje à noite...
24.3|Ah, pensei que você fosse saber eventualmente. Não acredito que ele foi pego com metanfetamina. Descubra quem vendeu para ele, e talvez eu me sinta melhor em convidá-lo para hoje à noite...
24.4|Acho que não há mal nenhum em compartilhar a notícia. É meu irmão Maurice — ele foi pego com metanfetamina. Dá para acreditar? Eu nem sabia que ele usava essa porcaria. Se eu encontrar o cara que vendeu para ele, vou surtar com ele.
24.5|Não que seja da sua conta, mas é, ele é totalmente selvagem. Não acredito que ele foi pego com essa porcaria. Se você soubesse alguma coisa sobre a pessoa que vendeu para ele, eu estaria com um humor muito mais amigável.
24.6|A notícia realmente se espalha, né? É, é verdade. Eu mesmo ainda não consigo acreditar. Entre nós, se eu encontrar o cara que vendeu metanfetamina para ele, vou surtar com ele.
25|Que diabos? Isso nem faz sentido. Ele não é nada disso! Acho que preciso falar com ele.
25.1|Que porra é essa? Ele não é nada disso! É melhor você não mexer comigo sobre isso. Mas se não estiver... considere-se um pouco mais perto de cair nas minhas graças.
26|Frank. Que porra é essa? Foi você quem vendeu essa merda para o meu irmãozinho?
27|Cai fora, Frank! Estou com muita raiva para considerar meu irmão responsável pelos próprios atos ou ouvir seus motivos agora. Vou te dar um chute na bunda, seu idiota!
28|Desculpa, cara. Eu sei que você queria que eu chutasse a bunda do Frank. Eu queria chutar a bunda dele também, mas aquele idiota é grande. Talvez se eu tivesse uma ajudinha, eu conseguisse...
28.1|Por que diabos eu deixei você me meter nisso? Puta merda, cara! Meus ouvidos estão zumbindo! Não vou deixar o Frank ir tão fácil, mas é melhor você fazer isso para que eu possa derrubá-lo ou encontrar alguém que...
29|Agora é isso, cara! É disso que eu estou falando. Avise a ele que estou pronto! O Frank vai cair!
29.1|Ok, ok. Se isso funcionar... Admito que você me ajudou a derrubar o Frank. Considere-se redimido. Um pouco. Ok, vamos lá. Vá dizer ao Patrick que estou pronto!
30|Ops, você está bem, cara? Você não parece muito bem. Por que você não senta um pouco e para de beber, ou eu vou ter que chamar uma ambulância para você?
31|Tá falando sério, cara? Eu não te convidei aqui para você agir como um idiota! O que há de errado com você? Calma, cara!
31.1|Oh ho ho. A MERDA virou uma festa agora.
32|Cai fora! Vou deixar vocês dois em paz. Mano, a gente precisa mesmo se encontrar um dia desses e discutir como você se barbeia assim. Eu venho tentando fazer a minha assim há anos.
33|Oh merda. O que há de errado com você? Eu te convido para essa festa e você começa a roubar coisas? Eu pensei que éramos amigos, mas você não me deixa escolha...
33.1|Oh, que diabos... você anda por aí roubando merda? O que há de errado com você? Você não me deixa escolha...
34|Desculpa, cara. Eu não trouxe nada. Talvez você devesse perguntar para o Frank ou para o Patrick.
34.1|Usar isso em todas as pessoas que não vão te comer hoje à noite? Pare de me fazer perder tempo.
34.2|Oh, não, desculpa, eu não trouxe nada hoje à noite. Infelizmente, acho que sua única opção pode ser o Patrick. Mas eu tomaria cuidado. Conhecendo-o, ele carrega o mesmo há 10 anos. Esse cara nunca transa. Vale a pena tentar, se você realmente precisar.
35|Provavelmente bissexual, na verdade. Ele sempre teve uma queda pela Kat. Mas eu vejo o jeito que ele olha para a minha bunda. Por que você pergunta?
35.1|...É mesmo? O que te importa quem gosta dela ou por quê?
36|Frank parece confuso com a situação. A menos que você esteja realmente interessado no Frank?
37|Que porra é essa! Amy é uma das minhas melhores amigas. Como você ousa desrespeitá-la desse jeito? Eu vou te foder, cara!
38|Bem, nesse caso, parece que você precisa ser honesto sobre seus sentimentos.
39|Eu entendo seu ponto. Seria um cenário incomum. De qualquer forma, parece que você precisa esclarecer esse mal-entendido com o Frank. Ele acha que você é gay, então talvez tenha um jeito de convencê-lo de que não é.
40|Que porra é essa, cara? Por que eu faria isso? Além disso, você sabe como eu sou insegura com meus mamilos estranhos. Acho que ninguém aqui quer ver isso.
40.1|Cara, eu não vou te dar MERDA nenhuma depois do que você fez. Porra, você nem vai ter a sua própria merda de volta, quanto mais a minha. Heh, é, aposto que ninguém nessa festa ia querer que eu te desse nada... exceto talvez uma surra!
40.2|Ah, cara, eu sei que já passei por isso uma vez hoje à noite, mas... foi 50% loucura e 50% romântico. Além disso, ninguém se importa em ver meus mamilos estranhos.
40.3|Cara, você acabou de ver essa merda. Por que diabos eu faria isso por você tão cedo? Esse programa... tem duração limitada.
40.4|Uh-oh, o que foi isso? É importante para você? Você devia ter tentado um pouco de psicologia reversa. Agora cai fora.
40.5|Que porra é essa? Por que eu faria isso? Não quero repetir a aula de educação física da oitava série, quando todo mundo dizia que eu tinha mamilos fritos! Não, desculpe. Acho que ninguém aqui quer ver isso. Até prova em contrário, a camisa continua.
41|Uma petição? Para tirar a minha camisa? Ok, você tem a minha atenção. Mostre-me esta petição e talvez possamos conversar.
42|Desculpe, cara, mas não são assinaturas suficientes. Parece que ainda tem muita gente que ficaria desconfortável se eu tirasse a minha camisa. Me contate se conseguir mais apoio para isso.
43|Nossa. Toda essa gente quer que eu tire a minha camisa? Bem, acho que não posso negar ao público o que eles querem. Lá vai, gata!
44|Obrigado pelo aviso, cara! Sempre posso passar mais tempo com a Amy. Vou procurá-la.
44.1|Ok, vou procurá-la.
45|Uhh, bom, não vejo ninguém aqui usando a bandeira, mas às vezes as pessoas têm coisas interessantes por baixo das roupas, se é que você me entende. Talvez você dê sorte e alguém esteja usando uma cueca patriótica.
45.1|Ugh... Quer dizer, isso parece uma caça ao tesouro muito legal, cara. Mas ninguém vai dizer que cueca eles estão usando. Você definitivamente vai ter que tatear em alguma cintura e ver com os próprios olhos. É, heh, enfim, boa sorte, cara!
46|Por que toda vez que eu te dou um conselho, você se vira com uma pergunta boba, como se eu não fosse o único que te deu a ideia? Não, eu não tenho cuecas com a bandeira americana. Se tivesse, eu teria te contado.
47|Acho que é só mais um dia na sua vida. O que isso tem a ver comigo?
47.1|Não quero ouvir. De jeito nenhum.
48| 48|Não sei se entendi a pergunta. Elas não foram feitas para você? Ou tem algo pior por vir?
49|Bem, tem o Patrick com aquele site sujo dele... tem a Katherine que usa a internet como uma arma... e acho que a Vickie sempre precisa de mais nudes. Ela se alimenta de fotos de nudez como uma vampira.
50|Droga, nem sei se ela foi convidada. Eu perguntaria para a Rachael sobre isso. Elas são amigas, pelo que me lembro.
51|Você mexeu no celular da Madison e roubou fotos, cara? Eu disse que não queria me envolver.
51.1|Você está me enganando, afinal? É isso. Agora eu vou te dar uma surra.
52|O-o quê? Você deve estar louco, cara. Eu e a Madison somos só amigas. Só amigas.
52.1|Cara, tem mais alguma coisa aí, mas não estou a fim de entrar em detalhes agora.
52.2|Cara, tem mais alguma coisa aí, mas não estou a fim de entrar em detalhes agora.
52.3|Cara, tem mais alguma coisa aí, mas não estou a fim de entrar em detalhes agora.
52.4|Se você acha que eu vou falar com você sobre isso... você está com uma maldita aflição, filho.
53|Tá, tá, o que você é, algum tipo de Mente Brilhante? Como você descobriu isso? Deixa pra lá, só guarde essa informação entre nós. As coisas estão um pouco estranhas entre nós agora por causa disso. Não, não está um pouco estranha. Está muito, muito estranha.
54|Eu sei, só estou tentando criar coragem. Achei que o álcool resolveria, mas é claro que o Frank tinha que estragar tudo. Isso é horrível, eu quero consertar isso. Agora, Madison está se escondendo de mim porque nós trocamos olhares sem querer.
55|Você faria isso? Cara, você é um amigo de verdade.
55.1|Isso mesmo, você sabe que eu vou. Por você, eu vou tentar consertar toda a situação da Madison. No entanto, só entre nós, não posso dizer que ela não vai acabar no mesmo lugar da última vez, se é que você me entende... Mas se esse for o pior cenário... Valeu, mano, eu vou procurá-la.
55.2|Isso mesmo, você sabe que eu vou. Por você, eu vou tentar consertar toda a situação da Madison. No entanto, só entre nós, não posso dizer que ela não vai acabar no mesmo lugar da última vez, se é que você me entende... Mas se esse for o pior cenário... Valeu, mano, eu vou procurá-la.
55.3|Você faria isso? ... Hm, talvez você seja um amigo de verdade, afinal.
56|Você gritou como um passarinho?
57|Que fodão, você está me deixando animado! VAI, TUCANS! BRWAAAAAK! Voe alto, mano, eu vou fazer isso. Eu preciso do seu apoio, é só esperar lá fora quando eu for até ela. Vai significar muito para mim.
57.1|Eu vou fazer isso. Eu preciso do seu apoio, é só esperar lá fora quando eu for até ela. Vai significar muito para mim.
57.2|É, amor! Estou me sentindo animado agora! VAI, TUCANS! BRWAAAAAK! Tudo bem, garota, você é uma ótima líder de torcida. Eu preciso desse tipo de apoio agora. Você pode ficar comigo quando eu chegar perto dela? Vai ajudar muito.
58|O que é isso, algum tipo de tática para me animar? Porque está funcionando, cara, você está lindo! Com certeza honrarei sua fidelidade à boa forma fazendo as coisas certas com o Mads novamente, agora que sei! Uhuu!
58.1|Uhh... Por que você tirou os sapatos? Seus pés estavam suados ou algo assim? Acho que não importa, e tenho outras coisas em que deveria me concentrar agora. Você é estranho, mas gosto do seu entusiasmo. Vou canalizar essa energia para consertar as coisas com a Madison. Vamos lá!
59|Mads, estou farto disso. Suba e converse comigo.
60|Chega de desculpas. Somos bons amigos, e não estou dizendo que quero mais nada — sei que você também não está procurando por mais nada. Mas não precisamos ficar na ponta dos pés pelo resto da noite, ou pelo resto das nossas malditas vidas! Quero voltar a ser como era, mas talvez com um pouco mais.
61|Vantagens. Duas grandes.
62|Eu prometo. Agora, vamos tentar esse novo acordo, aqui e agora.
63|Ei, o que você está... o que todo mundo está fazendo aqui?!
63.1|Ei, o que você está... o que todo mundo está fazendo aqui?! E por que você está pelado?!
63.2|Que diabos está acontecendo? O que todo mundo está fazendo aqui? E por que você está pelado? Eu tenho tantas perguntas agora!
64|Pessoal, saiam daqui, desçam e aproveitem a festa ou algo assim.
65|É só muita coisa, mano. Coisas de família, mas também alguns problemas com amigos. Quer dizer, problemas com namoradas e amigos, tudo junto. Coisas divertidas. É tudo o que vou dizer agora. Obrigado por cuidar, cara, mas vamos deixar isso para lá.
65.1|Eu te disse. É muita coisa, mano. Coisas de família, mas também alguns problemas com amigos. Problemas com namoradas e amigos. Vamos deixar isso para lá.
65.2|Ah, é muita coisa. Principalmente coisas de família, mas também alguns problemas com amigos. Quer dizer, problemas com garotas e problemas com amigos, tudo junto. Coisas bem divertidas. É o mais específico que vou conseguir ser agora. Agradeço a sua preocupação, mas prefiro me distrair um pouco e tentar me divertir hoje à noite.
66|Madison...
66.1|Pare, pare e escute.
67|Vou me apressar, deixa eu usar a imaginação... Pamela Anderson com aquele biquíni do Baywatch... A mulher da seguradora Geico se pegando com meu professor de álgebra do ensino médio... OPRAH WINFREYYYY. Ahhh...
68|Madison, sai, todo mundo foi embora. Isso foi bem nojento, cara. Estou começando a me perguntar por que te convidei para essa festa.
68.1|Madison, sai, todo mundo foi embora.
68.2|Madison, sai... todo mundo foi embora. Isso foi muito nojento. Estou começando a me perguntar por que a Brittney te convidou para essa festa.
69|Não, cara. Madison, sai, gata.
70|Não quero falar sobre isso, não quero brigar por causa disso, não quero ficar remoendo isso. Você fez o que fez... e, curiosamente, a Madison e eu começamos a conversar de novo... e mais um pouco. Então, vamos deixar por isso mesmo.
71|Ei, vou parar com isso agora mesmo. Vocês dois estão prestes a fazer uma cena, se não perceberam.
72|Cara, preciso dizer, você está arrasando com a Ashley hoje à noite. Dizendo todas as coisas certas, animando a festa. Ainda bem que te trouxe. Você devia tentar, hehe, tornar a sua noite ainda melhor, se é que me entende. Com a Ashley, você ainda está aí?
72.1|Cara, preciso dizer, você está arrasando com a Ashley hoje à noite. Dizendo todas as coisas certas, animando a festa, estou tão feliz por ter te trazido, mesmo que a Madison vá te matar por derramar cerveja nela. Você deveria tentar, hehe, tornar sua noite ainda melhor, se é que me entende. Com a Ashley, o próximo?
72.2|E aí, garota, não posso deixar de notar que você foi ÓTIMA com a Ashley hoje à noite. Dizendo todas as coisas certas, animando a festa, você está com uma vibe muito legal. Sinto que estou vendo um lado da Ashley que nunca vi antes. Tipo, quer dizer, acho que ela pode estar a fim de você. E quero dizer, realmente a fim de você. Entendeu?
73|Bem, de um soldado para outro, desejo-lhe sorte. Pelo menos um de nós vai ter alguma ação. Minha trincheira tem estado livre de forças invasoras ultimamente.
73.1|Bem, de um soldado para outro, desejo-lhe sorte.
73.2|Bem, boa sorte. Estou vivendo indiretamente através de você esta noite, já que minha própria situação tem sido um pouco... inexistente ultimamente.
73.3|Bem, boa sorte aí. Continue arrasando, garota.
74|Não consigo falar, se você não percebeu.
75|Nunca. Diga isso. De novo.
76|A Steph é... bem estranha. Não digo isso de um jeito ruim, mas cara, ela tem uma queda por qualquer coisa que a foda rápido. Mesmo assim, ela é muito inteligente em certas coisas. Muito inteligente. Só estou preocupado que ela esteja queimando neurônios mais rápido do que imagina...
76.1|Ah, sim, sim, Stephanie! O que posso dizer, cara, a coisa mais importante que você precisa saber sobre a Steph é que ela é gostosa demais para você, e acho que ela pode até ter tido ânsia de vômito da última vez que você se afastou dela. Muda esses fatos, cara.
77|É, tudo bem. Mas não conte a ela que conversamos. Tenho tido problemas familiares ultimamente e acho que ela quer saber mais sobre isso.
77.1|É, sem problema. Mas não conte a ela que conversamos. Ela sabe da situação do meu irmão, e eu realmente acho que ela só está tentando tirar um traficante dele. Vadia ignorante, não usem drogas, crianças.
78|Ei! Você viu como a Steph ajudou a Amy? Ela nem conhece aquela garota, que legal da parte dela.
79|Então, eu nunca pensei que teria que dizer isso para outro ser humano com mais de 5 anos, mas não é legal chatear as pessoas a ponto de elas quererem te bater na cabeça com um martelo. O que, acredite, a Madison faz se você não relaxar. Relaxa, cara.
80|É, é um... um lugar legal. Eu acho. A Madison faz, uh, as artes lá em cima. Ela é, hum, uma artista!
80.1|Ah, sim, é muito lindo. Um trecho de casas e jardins - orgasmo. Um lugar perfeito para, ah, sei lá, dar uma escapadinha por algumas horas. Você não acha?
81|Não, não, tenho certeza! Ela é uma artista muito, uh, talentosa, e precisamos garantir que a comunidade artística esteja, uh, prosperando, e, uh... Não aguento mais isso.
82|Madison está tentando "abraçar" esse estilo de vida artístico, mas não é bem a praia dela, pelo que vejo. Não é bem a praia dela. Merda, cara... ela é péssima mesmo. Mas eu nunca diria isso a ela, mesmo se quisesse.
83|Não quero entrar em detalhes, mas Madison e eu estamos passando por, acho que se pode chamar assim, uma fase difícil. Não vou tornar a fase ainda mais difícil. É, concordo, a arte da Madison É. A. MERDA!
84|E daí? Agora você vai agir como se não soubesse que eu e a Madison já ficamos juntos? Não vou falar mal dos hobbies dela agora que ela está disposta a jogar Hide the Black Adder comigo de novo. É, concordo, a arte da Madison É. A. MERDA!
85|Cara, me deixa fora disso.
85.1|Me deixa fora disso.
86|Ei, não diga a ela que eu acho que ela é péssima em pintura. Deixe ela fazer o que quiser, eu digo. Eu adoro jogar "Death Mistress: Battlebabe's Vengeance", mas nunca serei material para tabelas de classificação. Cada um com o seu gosto. E ei, não tente nada. Eu sei como você está usando oportunidades que parecem de videogame para ficar com mulheres. Não faça isso com a Madison.
87|Você está falando do pássaro que ela está pintando? Eu odeio ser esse cara, mas acho que foi uma pintura por números. Sabe do que estou falando? É como um desenho que você colore de acordo com o número no espaço vazio. São para crianças especiais. E a Madison também, eu acho.
87.1|Embora a Madison só pinte por números, vou encomendá-la para fazer uma obra que diga "VÁ SE FODER E NUNCA MAIS FALE COMIGO", que eu posso entregar para ela imediatamente. Nem vai ser difícil para ela ficar na fila, porque tudo o que ela está fazendo é pintar uma placa, agora que penso nisso.
88|A Madison anda muito interessada em criaturas ultimamente por causa de um guru que ela conheceu e que lhe ensinou tudo sobre o que é chamado, ah, sim, de "animais do céu". É como um horóscopo que te diz a qual animal celestial você está conectado ou algo assim. Eles, uh, todos vivem em uma árvore gigante no céu. Ou em uma estrela. Eu diria que você deveria perguntar a ela sobre isso, mas ela só vai falar com você quando confiar em você.
88.1|Olha, se você nunca ouviu falar dessa coisa de Animal Celestial do Madison, EU IMPLORO que você vá para o deserto e conheça o cara que ensinou aquele mumba jambalaya para ele, para começo de conversa. Aí aquele filho da puta do Charles Manson pode ter dois iniciados e eu não terei mais que lidar com você.
89|Ah, que bom para você. Então, o que você acha dessa coisa toda de criatura estelar? Você acredita?
90|Ufa, fico feliz em ouvir isso. Madison estava me contando que o cara que começou essa baboseira mora em algum lugar no deserto e está reunindo seguidores que podem aprender seu animal celestial pelo preço baixíssimo de um cavanhaque. Isso é coisa do Charles Manson, cara!
91|Essa é uma boa perspectiva, eu acho. Eu provavelmente me sentiria da mesma forma... se eu não fosse louco pra caramba. Claro, na ideologia deles, essa merda é provavelmente como o lixo sagrado de um morcego espacial cósmico, então talvez "loucura de merda" seja o que eles querem dizer.
92|Jesus Cristo, você também não! Talvez a Vickie conheça um diretor em Hollywood com quem eu possa conversar porque preciso fazer um documentário sobre essa loucura. Você precisa abrir os olhos para não acabar no deserto tentando abraçar uma cascavel porque ela é sua amiga escolhida pelos céus. Não vá abraçar nenhuma cascavel, ok?
93|Sério? Bem, em nome de todos do círculo social da Madison, eu agradeço. Na semana que vem, ela tinha marcado um encontro com o cara por trás de tudo isso no deserto, e algo me diz que não voltaríamos. Esse guru provavelmente daria uma olhada na inocente Brittney e estaria acabado. Ele estaria escrevendo uma carta para os pais dela na fazenda dizendo que a Costa Oeste destruiu a filha deles.
94|Eu não tenho uma, porque não sou louca. A Madison tentou me dizer que eu tinha todos os sinais de um javali, mas qualquer um que me conhecesse de verdade saberia que eu seria uma espécie de gato. Depois do Purgalicious, não há outro animal com quem eu me conecte melhor.
94.1|Aqui está seu amigo animal celestial: você é o—uh, vergonhoso bebê de um Cojete-asuarus Rex e um Te-odon, criando o Cojete-adactyl, que ninguém nunca gostou e os fósseis mostram que não tinha cu, então—teve que vomitar a própria merda!
95|Você nunca conheceu minha gata, Purgalicious? Ela era a melhor gata do planeta. Aí eu a deixei ficar com a Madison por um fim de semana e ela fugiu, para nunca mais ser vista. Já faz algumas semanas e ainda sinto muita falta dela, cara.
95.1|Purgalicious é minha gatinha. Ou acho que deveria dizer ERA minha gatinha. Ela era a melhor gata do planeta. Aí eu a deixei ficar com a Madison por um fim de semana e ela fugiu, para nunca mais ser vista. Já faz algumas semanas e eu ainda sinto muita falta dela, cara.
96|Não é o único motivo, mas sim, causou uma certa... tensão. Não consigo mais falar sobre isso. Me deixa tão triste.
97|É, pode-se dizer que sim. Embora tenha sido porque deixei a Purgalicious passar o fim de semana com a Madison que eu consegui me conectar com ela, para começo de conversa. Aquela boceta realmente sabia como conseguir bocetas. Não consigo mais falar sobre isso. Me deixa muito triste.
98|A primeira coisa é: você vai dar um passo para trás, cara. Se alguém vai ser modelo da Madison, serei eu. Certo, Madison. Quer dizer, qual é, olha só!
99|Cara, você não só não pode falar assim com a Madison, como ela também se arrependeu. Eu odeio fazer isso, mas vou ter que punir duramente a sua cara.
100|Você está brincando comigo com o jeito que esse babaca te tratou hoje à noite? Não existem momentos de fraqueza, só amigos fracos. Vamos lá, Mads, você sabe que deveria ser eu! Me pinte como uma das suas francesas, baby!
