[General]
Name|Lety
15|Nossa, sem pressão nem nada. Bom, eu sou a Lety, você sabe disso. Tenho um canal no YouTube, o Lety Does Stuff, talvez dê uma olhada, e me disseram que posso ser um pouco ingênua. Ah! Eu também gosto de conhecer gente nova! Não é muito clichê, né? Mas é! Eu faço coisas!
16|Tá, o que você quer saber?
16.1|Cara, eu já te contei tudo! Talvez até demais...
16.2|Ok, recapitulação rápida: eu trouxe uma garrafa de licor mexicano chamado El Escorpión Mezcal, uma garrafa de uma das pimentas mais picantes encontradas ao sul da fronteira e... um peixe falante com um sombrero. Se precisar saber mais sobre algum deles, é só perguntar!
17|Esse é o Sancho Sórdido, o peixe-sugador que fala merda! Você nunca teve um daqueles peixes cantores que você podia pendurar na parede quando era pequeno? Bem, no México, o Sancho está pendurado em TODAS AS PAREDES!
18|Bem, porque ele fala em... ah, espera, ele só fala inglês com um sotaque mexicano bem ignorante... Mas ele é ótimo para os mais jovens — não, ele só diz coisas realmente ofensivas que não deveriam ser ditas em nenhuma língua... pensando bem, este foi um presente de Natal bem inapropriado para dar a uma criança. Mas você sabe o que dizem, o Papai Noel age de maneiras misteriosas.
19|Ahhhh, pimentas Mama Chupacabra... Uma iguaria. Eu só recompenso meus melhores alunos com uma amostra dessas belezuras. Mas é estranho, nem todo mundo gosta da sensação muito real e dolorosa da garganta derretendo tanto quanto eu.
20|Bem, porque elas são cultivadas no México! Mergulhe na cultura, certo? Mas ouvi rumores de que elas são cultivadas na Louisiana. Aqueles cajuns sabem duas coisas: caçar jacarés e cultivar pimentas. E... primos de merda. 3 coisas.
21|Não é qualquer bebida alcoólica, é Mezcallllll. É basicamente tequila, mas não dá para negar o quão incrível é ter um escorpião de verdade na garrafa. Muito legal, né?
22|Bem, a maioria dos grandes tutores dirá que a melhor maneira de ensinar algo é fazer um jogo com isso. E a maioria dos grandes alcoólatras dirá que não há jogo melhor que um jogo de bebida. Acho que você realmente não percebeu que tem um ESCORPIÃO AQUI. Imagina que piada seria colocar isso no bolso de trás de alguém!
23|Ah, flashcards são tão chatos. Além disso, imagine o que os desenvolvedores fariam com isso. "Ei, Lety, vamos te dar flashcards, e toda vez que o jogador acertar uma pergunta, você dá um FLASH." Qual é, somos melhores que isso, MISTURE!
24|Ah, desculpa. Às vezes tenho essas visões de que não sou... daqui. Do que estávamos falando?
25|Ahhh, cara, tenho umas coisinhas ótimas para escolher. Trouxe tudo o que o nosso anfitrião poderia querer hoje à noite... valeu, bolsa sem fim! Aqui, você está segurando essas coisas, está ficando pesado demais para carregar.
25.1|Ei, você voltou! Nossa, tenho um problema com você. Fui pegar minha bolsa e descobri que todos os meus NIFTY GIFTYS tinham sumido. Consigo sentir o cheiro daquele mezcal a quilômetros de distância. Você roubou minhas bolas, não é?
25.2|Ei, você voltou! Como vão as coisas? Você está aproveitando todos os NIFTY GIFTYS que roubou da minha bolsa? Já está virando aquele mezcal? Eu praticamente consigo sentir o cheiro!
26|Então, você descobriu quemeeeee é o anfitrião de verdade?
26.1|Que ótimo, que ótimo. Você deveria colocar as mãos neles de qualquer jeito. Então, essas coisas que você tirou da minha bolsa, vamos usar como presentes para o anfitrião! Você já descobriu quem está dando essa festa?
27|Acho que devo somar os pontos, já que a Ashley, heh, me convidou. Então, o que devemos dar para a Madison para refrescar seu coração gelado de Regina George? A bebida com um escorpião? As pimentas mais picantes que o homem conhece? Ou o peixe que fala merda?
27.1|Ugh, talvez eu devesse ter guardado aqueles poppers para usar contra VOCÊ. Mais uma vez: O que você acha que eu deveria dar para a Madison?
28|Bem, talvez eu dê uma olhada nos presentes e veja se algo lhe lembra: "Me escolhe! Me escolhe!" Você sempre pode me perguntar se quiser saber mais. 
29|Escolha sólida, escolha sólida! Tudo bem, me dê um segundo para me preparar para o meu momento de glória, e então vamos embora. Não vamos deixar a rainha esperando. Vamos lá!
30|Mas o que eu fiz de errado? Eu não entendo... geralmente, as pessoas adoram essas pimentas. Elas as abrem, engolem algumas na frente de uma câmera, postam na internet e depois capitalizam a fama de primeira página dessas vistas doces e agonizantes. Por que a Madison não quer isso?
30.1|Mas o que eu fiz de errado? Eu não entendo... Normalmente, as pessoas adoram Mezcal. Elas o abrem, bebem demais, tentam brigar com um estranho, potencialmente fazem sexo com o tal estranho. Por que a Madison não quer isso?
30.2|Olha o que fizemos! Não acredito como ficou bom! Toma essa, filmes adolescentes escritos por gueros velhos que faziam qualquer baladeira parecer uma puta!
31|Vamos lá, Lety, a noite ainda é uma criança. O que significa que tenho tempo de sobra para continuar estragando tudo! Ei, só me dá um tempinho a mais para encontrar o meu carnudo.
32|Ok, acho que quero ir atrás do paquera principal do apresentador agora. Aquele personagem — quer dizer, o cara que usaria seus músculos duros como pedra para destruir qualquer um que tentasse atrapalhar a Madison — os filmes o retratam como aquele cara super agressivo da academia que vive postando selfies do peitoral, mas nenhuma dessas pessoas parece tão estereotipada, então vamos mirar no cara que a Madison está transando!
33|Quero chegar perto da Madison enquanto ainda a tenho na mira — HA! Piada de peixe! Deixa eu flertar com ela um pouco mais antes de fazer qualquer coisa.
34|Então, você encontrou o nosso carnudo? A Madison acabou de me ensinar essa frase: carnudo. Acho que significa um homem que você realmente gostaria de conhecer, tipo, tomando um café ou dando uma caminhada no parque. Que frase bonita.
34.1|Eu fiz um pequeno progresso com a Madison, mais ou menos. Ela se desculpou por surtar e disse que estava nervosa porque não comia "carne de homem" há muito tempo. Carne de homem. Acho que esse é um homem que você realmente gostaria de conhecer, tipo, tomando um café ou dando uma caminhada no parque. Eu me pergunto por que ela não usa o cara com quem está transando para conhecer outros homens. Falando nisso, quem você encontrou?
35|Derek? Ele é o cara grosso com coxas que provavelmente consegue esmagar minha cara? Innnnncreee... eeee! Mal posso esperar para ter um CARNÍSSIMO! Me deixa em paz... me pega e vamos lá!
35.1|Tenho quase certeza de quem você está falando, mas esse cara está bem ocupado agora. Quero que essa reunião seja mano a mano. Só ele e eu. Ah, e você. Então vamos esperar até ele terminar com essa merda que está fazendo.
36|Bem, vá ver o que você consegue encontrar!
37|Então, você encontrou o cara grosso da Madison?
38|Não, ainda não! Madison está me dando todas as senhas da Ashley. Estou indo tão bem! Volte para sua caça às gatinhas.
38.1|Estou contemplando meu fracasso completo e absoluto com Madison. Considerando desabotoar as costas da blusa da Ashley para causar uma cena... Sim! Madison gostaria disso. Não, os peitos da Ashley são incríveis, todo mundo ficaria superimpressionado. Relaxe enquanto eu penso nisso.
39|Porra, porra, porra, porra!
40|Que diabos? Isso está totalmente fora do roteiro.
40.1|Ei! Acho que você está perdendo a etapa em que primeiro me convida para algum lugar privado. Argh! Está em todo lugar.
40.2|Meu Deus, sim! Me encharque com isso. Nossa, isso é surpreendentemente realista.
41|É assim que você diz olá ou você é só um babaca?
41.1|Ei! Derek e eu tivemos uma longa conversa franca sobre isso e você não precisa mais tentar explicar.
41.2|Ei! Ah, bem, acho que já que nós... estabelecemos o consentimento sexual e tudo mais... acho que essa não é a mesma situação que eu tive com o Derek. Então... acho que você está pensando o que eu estou pensando.
42|Ooh, isso é tipo uma nova droga de rua chique? Tem um cheiro bom. Poxa, as crianças vão ter dificuldade em dizer NÃO para essa...
43|Nossa! As pessoas realmente ficam viciadas no meio de uma festa. Eu não fazia ideia!
43.1|Cara, você realmente vai longe, né?
44|Quer dizer, nós já fizemos o "fazer o que fez". Eu não me importaria de "refazer tudo". Vai em frente, cara!
45|Aff! O que há de errado com você, babaca? Eu disse para olhar o Derek, não eu! Eu tenho carne de mulher, não carne de homem!
46|Mas quando ouvi alguém dizer "carne de homem", pensei que fosse uma medalha de honra. Você é super sarado, mano! Era só isso que eu estava tentando dizer.
47|Essa foi por pouco! Preciso parar de levar as coisas tão ao pé da letra. Afinal, a Madison pode ser uma garota má como nos filmes...
48|Bom trabalho, eu acho? Enfim, vou conversar um pouco com o Derek, e acho que também vi uma garota que trabalhou na cena do stand de garotas comigo dançando lá dentro mais cedo. Você pode ir cumprimentar ela também. Vamos conversar de novo em breve, ok?
48.1|Bom trabalho, eu acho? Enfim, vou conversar um pouco com o Derek, e acho que também vi uma garota que trabalhou na cena da cabine de garotas comigo fazendo, bem... coisas de garotas lá fora mais cedo. Você pode ir cumprimentar ela também. Vamos conversar de novo em breve, ok?
48.2|Bom para você, valentão. Enfim, vou conversar um pouco com o Derek, e antes disso, acho que reconheci uma garota que conheci trabalhando no estande das meninas. Ei, me devolve esse mezcal. Vai ser uma boa maneira de quebrar o gelo, caso eu esteja completamente enganada.
49|Ah, Derek, desculpa! Não pensei que esfregar o peitoral te deixaria tão bravo!
50|O que eu estava pensando?! Só apalpando o Derek como se ele fosse uma daquelas estátuas antigas de museu que dizem "NÃO TOQUE", mas, vamos lá, é claro que vou tocar nessa maravilha de mármore!
51|Vou precisar de um minuto para encontrar a minha. Essa merda me deixou de mau humor. Enquanto isso, acho que já tenho uma ideia de quem eu gostaria de conhecer em seguida.
52|Sabe aquelas personagens femininas que são tipo, como se diz... "experimentais". Como se estivessem tendo uma festa do pijama bêbadas com a melhor amiga, o que vira um jogo de "quem beija melhor" e depois vira um jogo de "quem senta melhor em rostos"...
53|Todo rapaz tem que ter sua primeira vez com... outra mulher. Não que eu esteja dizendo que vou ficar bêbado o suficiente para tentar quando você voltar com o nome da garota, mas também não estou dizendo que não vou dizer isso. Vou precisar de um minuto; Eu provavelmente deveria tentar acalmar o Derek. Nada de agarrar a Lety, NADA DE AGARRAR!
53.1|Toda moça deveria ter sua primeira vez com... outra moça. Não que eu esteja dizendo que vou ficar bêbada o suficiente para tentar quando você voltar com o nome da garota, mas também não estou dizendo que não vou dizer isso. Vou precisar de um minuto, provavelmente deveria tentar acalmar o Derek. Ei, me devolve esse mezcal, talvez eu possa usá-lo como uma oferta de paz para o Derek. Ou como uma maneira de afogar meu constrangimento.
54|É você! *Psiu* Vem cá, eu tenho um segredo. Lembra quando a Madison jogou meu mezcal na garagem? Claro que aquela garrafa teria quebrado, certo? Errado! Voltei e encontrei, sem nenhuma rachadura à vista. Isso é artesanato mexicano. Então, bebi um pouco para celebrar os vidreiros trabalhadores do México. ESTE É UM VIDRO BOM PARA CARALHO, MÉXICO!
54.1|É você! *Psiu* Vem cá, eu tenho um segredo. Lembra quando a Madison jogou meu mezcal na garagem? Claro que aquela garrafa teria quebrado, né? Errado! Voltei e encontrei, sem nenhuma rachadura à vista. Então, como você deve ter notado, comecei a participar porque em breve você vai me entregar uma aventureira gostosa para eu explorar. Preciso estar bêbada para a jornada que tenho pela frente. Você encontrou a moça em questão?
54.2|É você! *Psiu* Vem cá, eu tenho um segredo. O mezcal que você me devolveu? Comecei a participar porque em breve você vai me entregar uma aventureira gostosa para eu explorar. Preciso estar bêbada para a jornada que tenho pela frente. Você encontrou a moça em questão?
54.3|É você! *Psiu* Vem cá, eu tenho um segredo. O mezcal que você me devolveu? Descobri um jeito de deixar a garrafa cada vez mais leve. Não sei dizer como é feito o truque, mas vou te dar uma dica: meu hálito tem cheiro de... ESCORPIÃO.
54.4|É você! *Psiu* Vem cá, eu tenho um segredo... MEZCAL! Voltei e encontrei, então, como você deve ter notado, comecei a participar porque em breve você vai me entregar uma aventureirazinha sexy para eu explorar. Preciso estar bêbada para a jornada que temos pela frente. Você encontrou a moça em questão?
54.5|É você! *Psiu* Vem cá, eu tenho um segredo... MEZCAL! Voltei e encontrei, então... Descobri um jeito de deixar a garrafa cada vez mais leve. Não sei dizer como é feito o truque, mas vou te dar uma dica: meu hálito tem cheiro de... ESCORPIÃO.
55|Então conhecemos a anfitriã, conhecemos o CARNÍSSIMO dela... Nossa, que outros estereótipos de filme poderíamos encontrar nessa festa?
56|Ah! Ah! Bom, você conhece aquelas personagens femininas que são tipo, como se diz... "experimentais". Como se estivessem tendo uma festa do pijama bêbada com a melhor amiga, o que vira uma brincadeira de "quem beija melhor" e depois vira uma brincadeira de "quem senta melhor na cara"...
57|Talvez eu tenha tomado goles demais da, hein, aracno-quila? Mezzzzcal é minha melhor amiga, né? Enfim, é, cara, tipo, toda mulher precisa da sua primeira vez com... outra mulher. E não estou dizendo que vou usar esse nível incrível de embriaguez para provar, mas também não estou dizendo que não digo isso. Vai ver se encontra alguém disposto a testar as águas do amor feminino. Tipo, só por causa desse filme, videogame/TV que estamos fazendo... é claro.
58|Então, você já encontrou nossa esposa aventureira?
59|Brittney, eu gosto desse nome. Briiiitnneeeyy. Vamos conhecê-la! Ah, só pelo que aconteceu com o Derek, acho que eu deveria doar o resto do meu material didático. Eu digo "PRESENTES!"
60|Bem, a Madison acertou aquele peixe, então deveríamos... esperar. Volta atrás. Ela acertou aquele peixe... tirou o peixe da gente. Eu sei que você ficou de olho nos meus outros "presentes"... então, qual você acha que a Brittney vai adorar?
60.1|Com base nos meus cálculos e no formato da protuberância dela... ah, meu... acho que temos... você... não. Ainda temos todos os nossos presentes! Qual você acha que a Brittney vai amar mais?
60.2|Com base nos meus cálculos e no formato da protuberância dela... ah, meu... acho que temos... você... não... ainda temos o nosso peixe falante e o escorpião mezcal. Qual você acha que a Brittney vai amar mais?
60.3|Eu ainda tenho o mezcal, e com base no formato da protuberância da sua... ah... acho que temos... não... ainda temos todos os nossos presentes. Qual você acha que a Brittney vai amar mais?
61|Bem, espero que esse presente seja exatamente o que a Brittney precisa para abrir a mente para outras coisas. Aham, é... Vou abordá-la quando vir uma oportunidade. Fique de olho em... não, não vou lembrar de apontar. Só preste atenção!
62|Caramba! Que porra é essa, cara? Pedi para conhecer uma garota bonita que talvez precisasse de um pouco de amor, não uma psicopata de merda! Você me enganou...
63|É, pode ter sido o terceiro ato perfeito para a minha primeira festa. Mas, ainda assim, as coisas não estão indo bem hoje à noite. Na verdade, tem sido meio... tem sido uma merda, para ser completamente honesto. Minha primeira festa foi uma merda.
63.1|É, pode ter sido o terceiro ato perfeito para a minha primeira festa. Ou pelo menos está chegando lá. Sabe aquelas histórias bregas em que a garota percebe que era com a melhor amiga dela que ela deveria ter ficado o tempo todo? Estou começando a achar que é isso que está acontecendo aqui...
63.2|Bem, definitivamente não foi o terceiro ato perfeito para a minha primeira festa. Mas talvez possamos salvá-lo... Sabe aqueles enredos cafonas em que a garota percebe que é com a melhor amiga dela que ela deveria ter ficado o tempo todo? Estou começando a achar que é isso que está acontecendo aqui...
63.3|As coisas não estão indo bem hoje à noite. Na verdade, está meio ruim, para ser bem sincero. Minha primeira festa foi uma merda.
63.4|Bem, esses encontros não deram muito certo, mas ei, acabei de perceber que conheci outro estereótipo! Acontece que eu estava andando com o babaca da festa...
64|Quer participar dessa? Eu tinha outros planos para você mais tarde, mas se quiser adiantar, acho que eu e a Brittney podemos fazer dar certo...
64.1|Vai embora, cara! Estou pirando aqui. Ou é só pegação? Tanto faz, só... tá vendo o que tá rolando? Pare de interromper!
64.2|Você não está tentando se meter nessa, né? Desculpa, cara. Talvez pudesse ter acontecido, mas, bem, não aconteceu. Então sai daqui!
65|Bem, já que você surpreendeu a mim e à Brittney hoje à noite, acho justo retribuirmos o favor...
65.1|Como eu e a Brittney podemos dominar o seu mundo? Tem algo em particular que você gostaria de dominar?
65.2|O que você quer fazer?
65.3|É...?
66|Não, acho que vou embora. Se você vir a Ashley, diga a ela que eu ainda a ajudo com o espanhol... mas o preço é dobrado. Boa noite.
67|Significa "mendigo babaca", mendigo babaca. Acho que consigo lidar com essa festa sozinha. Até nunca mais.
68|Só estou dizendo que você... e eu... deveríamos ir para algum lugar privado. Um quarto com uma cama, uma porta... um quarto com uma cama?
68.1|Só estou dizendo que você... e eu... deveríamos ir para algum lugar privado. Um lugar com uma cama, uma porta e-
69|Você encontrou um lugar isolado para nós? Sério, tudo o que precisamos é de uma porta... e acho que as paredes ao redor da porta. E uma cama! Depressa, estou sentindo o cheiro da colônia do Patrick no ar. Só posso presumir que ele está se preparando para o segundo round.
70|Bem, ISSO foi quente!
70.1|Bem, ISSO foi quente! Merda, as pessoas podem nos ver... Cubra-se, garoto!
71|É! Para o quarto da Madison!
72|Isso é tão emocionante! Minha primeira festa em casa, e vai acabar com um bate-papo. Tire essas roupas e vamos todos fazer as coisas!
72.1|Isso é tão emocionante! Minha primeira festa em casa e vai acabar com uma reunião. Tipo... né? É por isso que você está pelado... né?
73|O que você está fazendo? Foca em me comer, seu idiota.
73.1|Ah é, gata, aí, mais forte!
73.2|Que tal?!
73.3|Droga... é a sua vez!
73.4|Olha só você! É... é como aquele emoji de berinjela sendo tocado!
73.5|É...?
74|Humm, isso foi foda pra caralho. Espero que a Madison não se importe que a gente tenha feito ISSO na cama dela, né?
74.1|Se todas as minhas aulas particulares terminassem numa trepada, eu faria de graça. Sei que você não está aprendendo espanhol de verdade, mas vamos fazer das suas sessões de estudo um encontro semanal. Meu Deus, você é bom.
75|Eeeeep... ei, se você quiser fazer isso na cama dele de novo, é só me procurar. Mas cara, que primeira festa em casa legal. Tchau por enquanto.
75.1|Cara, essa cama nunca mais será a mesma. Essa festa é muito legal. Tchau de novo!
76|Ei, cara, o Patrick vai me ensinar uma coisa rapidinho. Bom, espero que não seja rápido demais. Valeu pela ajuda! Até mais.
77|Bem, eu não estou nadando em dinheiro, mas é melhor do que meu antigo emprego como garota em convenções de quadrinhos. Muitos cheiros interessantes, aqueles eventos... ah! Falando nisso...
78|Ah, merda, você quer dizer aquele lugar velho de frango no espeto, né? Aquele com o... surto? Os caras dos materiais perigosos tiveram que fechar uns 3 quarteirões por causa disso! Agora, esse é o tipo de cheiro que-
79|Então as pessoas entram... e são chutadas... mas depois também... ficam doentes?
80|Vou fazer ele comer aquele frango velho da sua loja nova!
81|E aí, Madison? Eu sou a Lety, a professora de espanhol da Ashley. Mas hoje à noite, eu só quero que você pense em mim como a Lety, a garota descolada extraordinária!
82|Bem, não álcool, mas eu trouxe um presentinho para você por me deixar ir à sua festa descolada. Me deixa em paz... TA-DAAA!
82.1|Bem, parece que eu trouxe o presente perfeito para esta festaaaaa. Me deixa em paz... TA-DAAA!
83|Mas isso não é tudo! O sórdido Sancho, o peixe-sugador, consegue falar mais de 12 versos, todos incrivelmente ofensivos e irritantes: INDEPENDENTEMENTE DE VOCÊ FALAR A LÍNGUA OU NÃO!
83.1|As pimentas da Mamãe Chupacabra! Achei que você ia adorar, sabe, você é tão... apimentada? Aqui, pensa rápido!
83.2|É, muito apimentada, né?
84|Você o ama! Adoro que você o ame! Parece mesmo que ele está derretendo seu exterior frio e encontrando, bem no meio desses seus peitos lindos, um amigo.
84.1|Ai, meu Deus, agora você conseguiu, Lety! Madison, me desculpe. Achei que seria como quando as pessoas jogam cerveja umas nas outras em comerciais e depois dão um high-five ou jogam vôlei na praia e viram MELHORES AMIGAS!
84.2|E aí, tudo bem? Droga, onde foi parar isso?
85|Bem, olá, Derek! É a Lety, e, ei, cara, como ela te amava-, uau, olha só, acho que comi a carne de homem totalmente errada. Você é mesmo carnudo. Você é como um pedaço grande e bonito de bife. É totalmente certo que te chamem de carnudo de homem. Deixa eu tocar nos seus peitos carnudos...
86|Ei, fica parado! Eles são tão gostosos e suculentos, como úberes! Úberes fortes. Ei, mais alguém quer sentir isso?
87|Ah, não seja assim, D! *Resmunga*... gostoso, caralho, carnudo! Hmmm... aqui também é bom. *Resmunga*... uh, acho que ninguém me ouviu. Mais para mim!
88|Ah! Hmmm, nossa, essa é uma longa história... mas acho que posso terminar antes de chegar a esses abdominais aa...
89|Oi Brittney, como vai? Eu sou a Lety, uma festeira. E eu só queria te dar um oi e te dizer que te acho a garota mais bonita desta festa, não importa o que as garotas malvadas do refeitório digam.
90|Ah, e olha só, eu até trouxe uma coisa para você!
91|Pimentas Mama Chupacabra. É justo que a coisa mais quente do planeta combine com a garota mais quente da festa, né?
92|Meu Deus, você é tão fofa! Eu só quero — só — vir aqui, você! Minha vez de ser um estereótipo idiota de festa!
93|Então, você já tem um Sancho, o Peixe-Otário, o Sacana?
94|Brittney, está tudo bem? Você está ficando toda excitada e irritada.
95|Ah, você... não gostou?
96|Bunker? Do que você está falando?
97|Por quê?! Desculpe perguntar isso, mas eu estava caçando... você?
98|Hummm, Brittney, preciso ir. Tem uma... aula de reforço de emergência que precisa de mim.
99|Ah, oi. Não queria te deixar na mão, só queria fazer amizades com base em uma lista bem rígida de estereótipos de filmes. Sabe, pelo seu olhar enlouquecido e pelo leve cheiro de urina que emana das suas calças, eu diria que você se encaixaria na fonte TOTAL WILD CARD.
100|Hmmmm, me conta mais, Papai Legal.
101|Então, ele realmente tem todos os livros ORIGINAIS de escolha sua própria aventura, e eles estão traduzidos para o espanhol?
102|Você acha que poderia me mostrar? Eu adoraria... dar uma olhada neles com você...
103|Acho que eu adoraria, Sênior Donghauser.
104|Patrick, você está bem?
105|Você não sabia que estava comendo as pimentas da Mamãe Chupacabra?
105.1|Patrick, sua língua está inchando bastante pelo barulho. Parece que você está fazendo um boquete.
106|Bem, Patrick pode ter se aproximado demais do estereótipo de filme, mas acho que toda festa precisa do seu idiota. Então, que tal você encontrar um lugar confortável para a gente?
107|Nossa, você faz isso no meio de uma festa. Isso... definitivamente não é coisa de cinema.
107.1|Nossa, você faz isso no meio de uma festa. Isso é coisa de cinema, garotão?
107.2|Oooh, ficando excitado por mim? Boa ideia... você vai precisar!
108|Este pode não ser o meu lugar, mas o zíper dele parece ter se aberto de alguma forma... e aí, sem querer, você ficou duro. Achei que você ia querer saber.
109|Caramba! É você, Rachael, né?
110|Você nunca vai acreditar, mas eu já me vesti como você antes!
111|Ah, não diga! O que a gente faz?! Quando a gente está acumulando, a gente tem que pensar em alguma coisa, Rachael!
112|Boa ideia... desculpa, Rachael, mas eu arrasei hoje à noite, e ainda por cima tenho uma opção de sexo repetível. Uma libido que recarrega a cada dois minutos, 24 horas por dia, 7 dias por semana? É... Acho que não tem problema destruir o mundo hoje à noite com base em uma suposição. Mas, como sou muito fã sua, a gente pode conversar sobre isso! Ou quem sabe a gente dança!
113|É, é o que ele disse! É isso aí, amiga! Vamos para a Festa da Casa OG! Começar a bater cabeça até o Bobby não ter escolha a não ser acabar com essa merda!
114|Ah, com certeza vou ficar pelado para isso. Tá, e sabe de uma coisa? Agora que estamos acordados, podemos fazer o que quisermos! A mente domina a matéria, mano!
115|Quer dizer, se eu quiser espancar vadias até virarem polpa com mãos gigantes de brinquedo de circo, vou viver a minha verdade! MÃOS, PRONTAS PARA TUDO!
116|Talvez só um pouquinho! Eu sou um porco, eu sei. Você devia tentar em alguém antes que a noite acabe. Falando nisso, vamos nessa!
117|ISSO É INCRÍVEL! EU SABIA QUE COMEÇEI A JOGAR ESSE JOGO POR UM MOTIVO! Ei, vamos foder o Frank por roubar sua garrafa térmica e monopolizar os holofotes do meme da House Party!
118|Ei, Frank, estamos aqui para acabar com suas besteiras e garantir que você finalmente consiga o que merece! Você tem ideia de quantos clientes reclamaram da sua bunda careca e pálida ao longo dos anos? VOCÊ. ESTÁ. MORTO. PORRA!
118.1|Que ótimo, ele já foi derrotado. Você não vai cair tão fácil assim! Ei, Frank, levanta, é hora de finalmente pegar a sua! À garrafa térmica da Rachael e a todas as pessoas que você irritou! VOCÊ. ESTÁ. MORTO. PORRA!
119|YAAAAAAAAAAHHHH, TESTEMUNHO PARA MIM! EI! VOLTA AQUI!
120|Ha! Então você escolheu a morte pelo fogo! Achei que ser esmagado por algumas prateleiras seria ruim, mas isso? Últimas palavras? Aposto que você gostaria de uma bebida agora!
121|Rachael, eu te entendo, e devemos conversar apaixonadamente sobre o meu noivado novamente em breve, mas ainda temos trabalho a fazer. Vamos lá!
