[General]
Name|Ashley
31|Desculpe, mas acho que não me sinto confortável com você fazendo isso. Você já viu muita coisa. Vou arriscar com a minha calcinha molhada.
32|Ah, muito obrigada! Você basicamente salvou a minha vida! Se precisar de mim, é só pedir!
33|Que porra é essa? Sério? Preciso entrar no banheiro! Alguém tem a chave?
34|Você é o pior tipo de idiota. Espero que goste do show, idiota.
35|Argh. Se é só assim que você vai me deixar entrar, não tenho escolha. Leve. Duvido que eu consiga minhas roupas de volta depois de terminar lá. Sinto que não terei roupas para o resto da festa...
36|Hoje é seu dia de sorte. Você tem sorte de eu gostar tanto de você!
37|Pare com isso. Haha. Você é engraçado.
38|Ei! Que porra é essa! Vocês dois estão mesmo conspirando contra mim bem na minha frente?
39|Hmm. Bem, acho que te devo uma coisa. Você me ajudou a noite toda, e a Madison está muito chateada com você. Eu diria que você mereceu. Eu estaria mentindo se dissesse que não queria.
40|Hum. Talvez se a gente for para um lugar mais reservado? Não gosto de me gabar.
41|Que porra é essa, cara? Agradeço a sua ajuda, mas não vou te fazer um boquete numa festa. Acho que a gente devia parar de conversar agora mesmo.
41.1|Hã, que porra é essa? Não, eu com certeza não vou comer seus pedacinhos de carne, muito obrigada. O que, em nossas interações anteriores, você sugeriria que fosse aceitável perguntar? Agora, se não se importa, vou me retirar, pois essa conversa acabou de tomar um rumo MUITO constrangedor para mim.
42|Que porra é essa! Você acabou de ejacular em mim? Qual é o seu problema? Eca, eca, eca!
42.1|Droga, você estragou meu vestido! Acabei de limpar isso! Eu teria ido a algum lugar com você se tivesse pedido!
42.2|Ok, estou cansado. Eu não sou uma porra de lixeira de porra. FODA-SE.
43|Mrnph erm rumfrum errm mumphrum mer...
43.1|Mmmmm... é?
43.2|Você está se sentindo bem, querida?
44|Você está me devolvendo minhas roupas? Bem, obrigada, mas isso ainda não muda o que você fez comigo. Você ainda é um babaca, mas eu agradeço por você ter me devolvido minhas roupas.
45|Eu queria ter o pé de outra pessoa para chutar sua bunda porque estou com medo do que vou encontrar aí dentro.
46|Hum, não, desculpe, não.
46.1|Eu não te contaria se tivesse um. Tchau.
46.2|Sabe de uma coisa, eu vi. Dei para o Frank guardar e o vi enfiá-lo na calça. Sabe, na frente, como um protetor. Ele disse: "Se alguém precisar deste telefone, especialmente aquele cara novo, venha e abaixe minhas calças. Saberei que você está autorizado a usar o telefone do Patrick se abaixar minhas calças sem pedir." Essas são as palavras dele. Então faça isso. Vá em frente, faça isso.
46.3|Nossa, olha só você! Chegando até mim e fazendo uma pergunta normal, como se não fosse uma completa psicopata. Estou impressionada. Sério, sua falta de noção situacional é quase incompreensível.
47|Ah, é você. O que você quer?
48|Por que diabos você fez isso? Foi muito constrangedor para mim!
49|O fato de você fazer algo tão cruel só para conseguir o número de uma garota é ainda pior. Você é patético. Você também ouviria qualquer coisa que minha irmã dissesse. Desapareça na minha frente.
50|Bem, foi muita maturidade sua se desculpar. Acho que é um começo. Ainda não tenho certeza se confio em você.
50.1|Bem, foi muita maturidade sua se desculpar. Acho que é um começo. Ainda não tenho certeza se confio em você. Considere essa nossa brincadeira em espera por enquanto. Não posso seguir meu plano mestre com alguém que pode me atacar a qualquer momento.
51|Ah. Por mim? Obrigada... mas todo mundo sabe que odeio a cor vermelha. Me lembra daquela vez que a Madison pintou meu cabelo de vermelho vivo e depois raspou minhas sobrancelhas enquanto eu dormia.
51.1|Ah. Por mim? Obrigada... mas acho que todo o tempo que passamos juntos esta noite nos deixou um tanto ignorantes. Odeio a cor vermelha. Me lembra daquela vez que a Madison pintou meu cabelo de vermelho vivo e depois raspou minhas sobrancelhas enquanto eu dormia.
52|Ayy, obrigada! Agradeço o quanto você se esforça para me compensar. Onde você achou uma flor azul dessas por aqui? Estranho.
52.1|Ayy, uma flor azul! Que fofo. Não me lembro da última vez que ganhei uma flor. Quer dizer... Baile de formatura? É, era uma flor azul. A Madison tinha enchido ela com salgadinho em pó. Mas você está fazendo essas memórias flutuarem. Obrigada pelo presente, gata.
53|Não, mas me avise se encontrar alguma. Eu definitivamente quero um pouco dessa porcaria.
54|Hum... bom trabalho, cara, mas o que eu vou fazer com isso?
55|Agora é isso! Espera, você tem um match?
56|Opa! Muito obrigada! Vou aproveitar isso em algum lugar mais reservado, se você não se importar. Ei, obrigada por isso. Não se preocupe com nenhum dos problemas que tivemos, estamos quites.
56.1|Ah, porra! Muito obrigada! Vou aproveitar isso em algum lugar mais isolado, se você não se importar. Ei, obrigada por isso... espero te encontrar em breve.
57|Nossa. Você devia ir com calma com as bebidas...
58|Ah. Eu não sabia que essa era esse tipo de festa. Vai lá!
59|Hum. Você não só está pelada, como... Vou indo agora...
59.1|Guarda esse pau, esquisito. Não deveria ter manchas, você é uma piada.
60|Ah, estranho. Vou ver o que ele quer. Valeu!
61|Hum, deixa eu pensar um pouco. Termina. Sim, por favor.
62|Bem, depende. Pra que serve isso?
62.1|Só se for um pedido para tirá-lo do país. Sai daqui.
63|Hum. Já é legal aqui, babaca.
64|Não sei se você está tentando ser engraçado, sacana ou fofo, mas seja lá o que for, você falhou.
64.1|Tá bom, cara, cansei de você. Posso ter 13 quilos de peitos e usar sandálias de madeira velha, mas vou te foder!
65|Estou meio ocupado agora. Mas talvez mais tarde.
66|Nossa, isso é como ter as chaves do reino, sabe o que quero dizer? A gente podia... dar uma olhada no celular da Madison e ver se a gente encontra alguma coisa... interessante.
67|Ah, eu teria apreciado um aviso. Depois de deixar o celular no banheiro esse tempo todo, a paranoia da Madison vai estar a mil. Esses códigos provavelmente não vão durar a noite toda. Veja se consegue recuperá-lo, prometo que vai valer a pena.
67.1|Ah, tá.
68|Eu não. Meu cérebro foi reprogramado para ficar constantemente procurando maneiras de causar sofrimento para a Madison. Se a nossa mãe visse o jeito que a gente se trata, provavelmente ia nos arrastar para o quintal e nos fazer ficar abraçados até dez rostos vermelhos passarem.
69|O que vem depois é você me dar esse celular para eu poder... ah, merda.
69.1|Ei, bem quando eu pensei que você não ia ser boa nessas pegadinhas. Você estava implorando de joelhos para pegá-lo de volta? Ou o Mads é burro o suficiente para devolver o telefone para o mesmo cara que o trouxe... ai, merda, lá vem o Patrick. Ele realmente mandou nossa prima pegar o telefone de volta?
69.2|Ei, ei, bem quando eu pensei que você não ia gostar desse tipo de pegadinha. Você gostou, implorando de joelhos para pegá-lo de volta? Ou a Mads é tão burra que devolveria o telefone para a mesma pessoa que o pegou... ai, merda, lá vem o Patrick. Ele realmente mandou nossa prima pegar o telefone de volta?
70|Patty, este não é o melhor momento. Estamos tendo uma conversa profunda agora. Eu venho te buscar mais tarde e nós vamos... relaxar e passar um tempo juntos.
71|Ok. Estou bem atrás de você, Pat. Preciso passar um tempo com a família, mas isso deve te dar tempo de dar uma olhada no celular da Madison. Aqui está este diário também; eu não tenho bolsos neste vestido. Me faça um favor, venha me buscar perto da vela em alguns minutos e finja que há uma emergência grave ou algo assim. Isso, ou cuide do Patrick de alguma forma.
72|Te vejo lá em cima quando a Madison e o Derek forem para o quarto!
72.1|Algo me diz que você está perdendo uma etapa importante neste plano. Não consigo ouvir passos subindo as escadas. Vá buscar o Derek e a Madison, seu bobo!
72.2|Fique pequeno e fique quieto!
73|Haha, é. Todas essas lembranças tão doces. Ah, oi, não esperava te ver tão cedo. Está tudo bem?
74|Nossa — ISSO é algo sério que requer minha interação direta. Pat, desculpe por esta conversa ter sido tão curta, mas você ouviu o homem: há alguns problemas sérios que exigem meu envolvimento.
75|Muito bem. Família, certo? E falando nisso, o que você encontrou no celular da Madison?
75.1|Deixa eu ver se entendi: eu converso com o Patrick por alguns minutos e, nesse momento, você pega o que encontrou no celular da Madison e a chantageia com isso? Que horror. Até nunca mais.
75.2|Ufa... bem, finalmente acabou. Muito bem? Acho que sim. Escuta, a tristeza do Patrick reclamando da nossa família disfuncional me fez pensar... Não quero mais lidar com isso hoje à noite. E considerando alguns dos eventos desta noite... é possível que nosso plano estivesse fadado ao fracasso de qualquer maneira. Vamos cada um por si, certo?
76|Nada? Cara, eu conheço minha irmã bem demais para saber que não tem nada trancado naquele celular. É melhor você encontrar e me avisar.
77|Cara, é disso que eu estou falando! Eu não esperaria outra coisa da Madison. Glorioso. Deixa eu ver...
78|Nossa, essas fotos são perfeitas para zoar com a Madison, mas preciso fazer com perfeição. Não quero postar tudo isso online... A Madison ainda é minha irmã e, sinceramente, isso poderia me expulsar desta casa. Mas se essas fotos fossem postadas de outra forma...
79|Ah, é só isso que tenho para o meu plano agora. Pareceu bom, né? Preciso que você pergunte por aí: descubra quem sabe uma boa maneira de usar essas fotos. Vou perguntar por aí também. NÃO diga que são da Madison. Eles vão nos expulsar daqui. Rapidinho.
80|Não, não, desculpe, uh, Sra. Vixen. Desculpe, é a Ashley. Você não me conhece, mas eu estava ouvindo e pensei que deveria, uh, esclarecer. O que meu amigo estava tentando dizer é que ele tem fotos de uma mulher linda em várias posições sensuais e que talvez você possa encontrar algum uso para essas fotos.
80.1|Não, não, desculpe, uh, Srta. Vixen. Eu estava ouvindo e pensei que deveria, hum, esclarecer. O que meu amigo aqui estava tentando dizer é que ele tem fotos de uma mulher adorável em várias poses picantes, e que você pode encontrar alguma utilidade para essas fotos.
81|Sim, é isso que queremos. Queremos saber se a modelo, que trabalhou para tornar essas fotos boas por muito tempo, conseguiria sucesso no... uh, mundo da atriz adulta.
82|Fale baixo! Estamos colocando ela lá porque ela é muito tímida para fazer isso sozinha.
83|Nós entendemos. Literalmente entendemos o que você estava dizendo na hora. Se conseguirmos marcar uma audição, você verá o que a Madison tem e talvez a recomende para o seu... pessoal da pornografia?
84|Sim, a resposta é definitivamente sim. Vamos organizar tudo e avisaremos quando estivermos prontos para começar. Só me faça um favor, Senhora Raposa, e não conte isso a ninguém.
85|Então, é a "nossa" brincadeira? Acho que não. Na melhor das hipóteses, você é minha ajudante de brincadeira.
86|Sério? Eu nunca teria pensado nisso, mas a Madison nunca fala comigo sobre garotos. Como você sabe?
87|Droga! Isso é perfeito. Precisamos levá-las para cima, para uma situação íntima, e ao mesmo tempo garantir que a Vickie também esteja lá em cima. Droga, eu deveria pregar peças profissionalmente. Posso colocar a Vickie em posição, mas você terá que lidar com a parte difícil: colocar as duas lá em cima.
88|Por que não eu? Se você fosse a Madison, confiaria que a irmã vingativa dela está tentando arranjar um encontro para ela com um cara bonito ou tentando pregar uma peça nela?
89|A Vickie e eu vamos esperar o seu sinal, depois disso vamos correr e nos esconder no armário da Madison. Você tem que tentar chegar antes da Madison e do Derek também. Você deveria fazer parte deste momento monumental.
90|Ei, quero que você tire a camisa no meio da festa. Me mostre o que posso esperar se tudo der certo.
90.1|Hum, que tal você tirar os sapatos? Aí eu sei que o Derek deu um passo na direção certa.
91|Argh, ok, qual é o sinal?
92|Te vejo mais tarde. Tenho toda a fé do mundo em você. Vai em frente!
92.1|Como um pássaro? Como... um pássaro? Ok. Te vejo mais tarde. Tenho toda a fé do mundo em você. Vai em frente!
93|Meu Deus, meu Deus, meu Deus! Vickie, manda logo isso — não sei se podemos contar com a resistência do Derek para durar muito mais tempo.
93.1|Mrphpmh-- Vickie, manda logo isso — não sei se podemos contar com a resistência do Derek para durar muito mais tempo.
94|Ei, mana, eu nunca imaginei que você tivesse tanto talento! Derek, você também é bonito, parabéns.
95|É, Mads! Eu pensei que, já que você tem uma alma tão atrevida e linda, você ia querer mostrar a todos o que você tem. Tudo o que você tem. Então pedimos para a Vickie te filmar; ela gostou tanto das suas habilidades que as enviou para o agente dela. Sabe, para o agente pornô dela.
96|Ah, parabéns. Vem comigo. Hora da minha ajudante de pegadinhas aprender a lição final com a professora que está muito, muito impressionada.
97|Pegadinha! Meu Deus, você viu a cara do Madison? Último teste antes de promovê-lo de "ajudante". Vem tirar essas sandálias de rainha; elas estão arrasando a noite toda. Vem, vem.
97.1|Pegadinha! Meu Deus, você viu a cara do Madison? Último teste antes de eu promovê-lo a "ajudante". Vamos, tire suas sandálias de rainha, elas estão matando ela a noite toda. Vamos, vamos. Certifique-se de que a porta esteja fechada.
98|Nossa, saiu fácil. Sabe, eu tenho outra coisa que posso tirar facilmente. Ah, você pode olhar isso? Hmm... o que você acha que eu deveria fazer com isso?
98.1|Nossa, saiu fácil. Sabe, eu tenho outra coisa que posso tirar facilmente, mas acho que você sabe muito bem sobre isso. Ah, você pode olhar isso? Hmm... o que você acha que eu deveria fazer com isso?
99|Tire isso - esta gravata está por um fio. Achei que ela ia sair a qualquer momento esta noite. Por sorte, estou tirando para você.
99|Tire isso - esta gravata está por um fio. Achei que ela ia sair a qualquer momento esta noite. Por sorte, estou tirando para você. 100|Meu Deus, quando Madison e eu éramos jovens e brigamos, nossa mãe nos colocou no quintal até que 10 moscas vermelhas viessem até a casa. Isso foi numa cidadezinha no centro de Nevada — as pessoas não passavam com seus carros esportivos vermelhos caros na frente da nossa casa a caminho de Las Vegas. Às vezes, ficávamos fora por muito tempo.
101|Aí está! Que simples! Temos que fazer a Madison transar a noite toda e pedir para a Vickie passar a fita do teste para os agentes dela! Com quem a gente consegue ficar?
102|Vickie... ahhhh AQUELA Vickie. Vickie Vixen... Eu sempre me perguntei por que ela não escrevia isso com três X no meio. É uma boa ideia. Converse com ela sobre o que ela pode fazer com eles.
103|Aquela vagabunda? Não acho que seja uma boa ideia, cara. Ela é fria. Não estou tentando arruinar a minha irmã. Bom... Espera, não. Simplesmente não. Tem que ser outra pessoa.
104|Espera, espera, espera. Não quero ouvir mais nada. Ano passado, no Dia de Ação de Graças, ele nos disse que era um ótimo site de vídeos, ou algo assim, e é tudo o que eu quero saber sobre o negócio dele. Além disso, ele é nosso primo. Eu sei que somos de uma cidade pequena, mas não seja grosseira.
105|Bem, esta festa não tem muitos homens. Patrick é uma família, então não pode ser ele. Só Frank e Derek... hmmm.
106|Cara, não, você não. Eu esperava que depois disso... sabe de uma coisa, deixa pra lá. Você não, você faz parte do plano. Só há dois candidatos: Frank e Derek. Veja o que você consegue fazer.
107|Shh! Não estrague tudo antes mesmo de começar. Vickie, prepare sua câmera para filmar. Abra com cuidado uma das portas quando achar que eles estarão ocupados demais para notar. Só uma!
108|Cara, o que você está fazendo? Não é hora de ficar alerta!
108.1|Puta merda, o que você está fazendo? Eu sei que está apertado e quente aqui, mas NÃO é hora de expor suas coisas! Principalmente comigo tão perto delas!
109|Seu filho da puta? Por que agora? De todas as vezes, por que agora?!
109.1|Vadia tarada. Por que agora? De todas as vezes? Temos uma missão aqui!
110|Por causa deste vídeo. Vem cá, me dá essa coisa.
110.1|Tudo bem. Você tem sorte que eu seja tão dedicado a fazer essa pegadinha funcionar. Tudo bem. Lá vai. Estou entrando!
111|Uhh, não estou tentando ser rude quando digo isso, mas não quero o que quer que seja. Nem um pouco.
111.1|Cara, vai se foder. Nada que você me der me fará perdoar você por ser um filho da puta. Bem, quase nada, mas não é isso. Com certeza.
111.2|Acho que você não entende de dar presentes, porque isso é lixo. Veio de você, então é um lixo adorável... mas eu não quero.
112|Cara, você acredita, Frank? Eu sei que meu primo é um babaca pervertido, mas Patrick tem boas intenções: é o álcool que o torna estúpido. Frank não pode simplesmente bater nas pessoas no meio de uma festa. Não é justo.
113|Bem, duvido que Madison me chamaria assim, mas eu também moro aqui, então chame do que quiser.
114|Você é um doce. Estou aqui se tiver alguma pergunta sobre as pessoas aqui, inclusive eu. Como esta também é a minha festa, eu ficaria muito triste se você se sentisse excluído, ou algo assim.
115|Vamos lá, me mostre o que você tem agora! Se meus joelhos ficarem muito vermelhos, as pessoas vão fazer perguntas.
115.1|Depressa, droga!
116|Você conseguiu! Entre aí e feche essas portas rápido, rápido, rápido!
117|Ah, desculpe, Madison e Derek. Meus amigos e eu estávamos procurando um brinco que perdi. Vamos sair daqui, desculpe de novo!
118|Olha, é o filho da puta com os dedos escorregadios. Ei, babaca.
119|Droga, alguém tem orgulho do próprio corpo. Não posso te culpar.
119.1|É assim que você sempre se apresenta? Você é como um Casanova moderno, não é?
119.2|Mostrar o peito não vai me fazer gostar de você de novo. Você é um corpo feio esperando para acontecer de qualquer jeito. Cai fora.
119.3|É um sinal? Imagino que não seja e que você esteja tentando praticar ou algo assim.
120|Olha para a frente, cara, e sai do caminho.
121|Hmmm, eu esperava que fosse diferente... Hum, outro dia, eu acho. Só me avisa.
122|Cara, você acredita que o Patrick foi nocauteado no meio da festa? Eu sei que meu primo é um babaca pervertido, mas o Patrick tem boas intenções. É que o álcool o deixa burro.
122.1|Cara, você acredita na minha irmã? Eu sei que meu primo é um babaca pervertido, mas o Patrick tem boas intenções. É que o álcool o deixa burro. Não é justo.
122.2|Cara, você acredita no Frank? Eu sei que meu primo é um babaca pervertido, mas o Patrick tem boas intenções. É que o álcool o deixa burro. Não é justo.
123|Ah, acho que você tem razão. Vamos começar com a sua camisa, depois com a sua calça, certo? Certo, acho que é uma boa ideia.
123.1|Ah, acho que você tem razão. Parece que você já começou a tirar a roupa. Continue assim. Acho que é uma boa ideia.
124|Cara, por favor, me devolve as minhas roupas! Isso é horrível!
124.1|Não consigo falar, não consigo falar, não consigo falar.
124.2|Não sei se é você, a Madison ou nós duas, mas vou te matar.
125|Me diz do que você gosta, gata.
126|Traz esse seu touro aqui. Prometo que vou cavalgar nele por mais de 9 segundos.
126.1|Eu poderia fazer uma piada muito ruim sobre os Baha Men agora, mas acho que não vai agradar o nosso público.
126.2|Não tem nada de errado com a tradição, é o que estou dizendo.
126.3|Seria 69.
127|Não me diga que você está mandando mensagem enquanto estamos fazendo isso.
128|Toca a piadinha enquanto estamos nisso! Eu tenho uma boa ideia de quem é!
129|Não acredito que a voz daquele babaca era exatamente o que eu precisava ouvir enquanto cavalgava seu pau.
129.1|Eu, tipo... Não acredito que a voz daquele babaca era exatamente o que eu precisava ouvir agora. Mmmmm.
130|Nossa. Bons tempos. Meu Deus, que noite louca, hein?! Vou voltar para a festa e comemorar minha vitória. Me avise se estiver pronto para... o segundo round.
130.1|Nossa. Bons tempos. Meu Deus, que noite louca, hein?! Que bom que você apareceu hoje à noite. Acabou sendo exatamente o que eu precisava. Me avise se estiver pronto para... o segundo round.
130.2|Nossa, você não para! Teremos que gravar um vídeo hoje à noite. Te vejo lá embaixo.
131|Bem dito, talvez você possa me ajudar com isso... no quarto lá em cima.
131.1|Ah, certo! Provavelmente tem mais para ver. Muito mais.
131.2|Oof, você vai ter que me dar mais alguns minutos para recarregar. Mas boa cantada, uso de novo em breve.
132|Você tem razão. Olhos no prêmio, o prêmio sendo a humilhação da Madison.
133|Nossa, olha só você! Como você conseguiu tirar isso das mãos do Frank? Esqueça, eu aceito de bom grado. Mais algumas dessas e eu posso parar de pensar na vadia da minha irmã pelo resto da noite. Isso sim seria ótimo.
133.1|Deixa eu fazer umas contas rápidas. Uma bebida grátis menos o quanto você se comportou mal esta noite. Calculando... você ainda é um babaca. Eu aceito, mas não estamos quites.
133.2|Nossa, você não é a garota mais legal do mundo? Não acredito que você conseguiu isso com os olhos curiosos do Frank por todo lado. Obrigada! Mais algumas dessas e eu talvez nem precise pensar na vadia da minha irmã pelo resto da noite. Isso sim seria incrível.
134|Você é o presente que continua dando! Estou impressionado. Frank geralmente acionava algum tipo de sistema de controle na porta se as bebidas continuassem desaparecendo. Como você continua conseguindo?
134.1|Na escola, aprendemos sobre um Deus, ou gigante, ou algo assim — não me lembro — que ficava rolando uma pedra até o topo de uma montanha e depois a observava rolar de volta para baixo. Então, o cara a rolava montanha abaixo e a subia de novo, só para vê-la descer de novo. Repetidas vezes.
135|Você é do tipo Colombo? Moro aqui há 9 meses e ainda não sei onde está a chave-mestra de todos os banheiros. Você aparece na festa da minha irmãzinha — você nunca esteve aqui antes — e começa a tirar bebida do ar! Você é muito incrível, cara, brilhante. Agora, se você pudesse fazer um pouco de maconha aparecer do nada...
135.1|Cervejas, cervejas, é só para isso que você serve. Ficar bêbado na festa da minha irmã cadela, tenho certeza que você vai, por que não? Ser uma boa pessoa quando realmente importa? De jeito nenhum, você prefere expor meus peitos para o mundo inteiro ver. Que tal você me arrumar um pouco de maconha e me mostrar o quão ruim você realmente é?
135.2|Você é tipo o Colombo? Moro aqui há 9 meses e ainda não sei onde está a chave mestra de todos os banheiros. Você aparece na festa da minha irmã cadela, você nunca esteve aqui antes, e começa a tirar bebida do ar! Você é incrível, cara, maneiro. Agora, se você pudesse fazer um pouco de maconha aparecer do nada...
135.3|Cervejas, cervejas, é só para isso que você serve. Ficar bêbado na festa da minha irmã cadela, tenho certeza que você vai, por que não? Mas ser um bom ser humano quando realmente importa? Não, você não tem nada! Que tal você me encontrar um pouco dessa coisa boa e me mostrar o quão ruim você realmente é?
136|Bem, seu segredo está seguro comigo, enquanto eu continuo recebendo o dom de ficar bêbado, o que logo estarei fazendo. Deus, se eu fizer isso, Madison vai ter um problema de verdade nas mãos. Eu.
136.1|Aquele cara mitológico é você... agora mesmo... tentando me reconquistar com álcool de graça. Algumas colinas simplesmente não podem ser viradas. Mas eu aceito a bebida, ela me ajuda a esquecer você e Madison, que é tudo o que eu quero agora.
137|Você está facilitando demais ser essa garota. Se ela não puder contar para o Patrick, nossa família pode não ser a melhor em lidar com álcool. Mesmo assim, esqueça Madison, sabe o que quero dizer? Simplesmente esqueça ela e todas as suas merdas. Estou farto disso.
138|Você tem toda a razão, eu deveria. Aposto que você vem de uma família como a minha, onde sua irmã sempre foi uma vadia e você colocava maionese no seu sutiã... seu sutiã de renda floral que fazia Danny Roberson ver estrelas! Sua irmã já colocou maionese no seu sutiã? Porque não sai! Porra, vou contar a ela como me sinto agora. Vou fazer aquele *soluço* agora, droga.
138.1|Ah, o que você sabe? Aposto que você vem de uma família onde sua irmã sempre foi legal com você e nunca colocava maionese no seu sutiã... seu sutiã de renda floral que fazia Danny Roberson ver estrelas! Sua irmã já colocou maionese no seu sutiã? Porque não sai! Porra, vou contar a ela como me sinto agora. Vou fazer aquele *soluço* agora, droga.
139|Eu caí.
140|Madison, EI MADISON. Tenho algo a dizer.
141|Cala a boca sobre cheiro de álcool, isso é só cheiro de pura sujeira, SUA sujeira. E eu estou cansado do cheiro da sua sujeira! Você me trata como merda o tempo todo, e ISSO É sujeira.
142|Acha que estou aqui para conversar? Não quero falar com você! Quero brigar, sua vagabunda! Isso já vem acontecendo há muito tempo, Madison. Vou acabar com você!
143|É, como se eu não fosse esconder. Adoro fumar. É definitivamente minha droga preferida, embora o álcool que você tem me dado me faça pensar o contrário. Aliás, vou para o Colorado em alguns meses para ver o que a Terra Santa pode produzir, se é que você me entende. Mas eu quero um pouco agora. Veja se você consegue encontrar, mas também não vou reclamar de mais álcool!
143.1|Droga Derek, eu me importo com o cara, mas isso é ridículo. Como é que ele nunca fala dos problemas da família, mas fala de mim com prazer como se eu não fosse nada? Eu adoro fumar. É definitivamente a minha droga preferida, embora o álcool que você tem me dado me faça pensar o contrário. Aliás, vou para o Colorado em alguns meses para ver o que a Terra Santa pode produzir, se é que você me entende. Mas eu quero um pouco agora. Veja se você consegue encontrar, mas também não vou reclamar de mais álcool!
144|Ainda estou trabalhando na última, cara. Me dá um tempinho a mais.
144.1|Chega. Nunca mais. Mande essa merda embora.
145|Ah, certo, foda-se a Madison.
146|Idiota, as coisas estavam indo tão bem e você teve que estragar tudo. Você não é mais meu assistente de piadas.
147|Bem, obrigado por isso. Agora posso passar o resto da noite elaborando um plano mestre. Te vejo mais tarde, cara.
148|Temos todo tipo de gente aqui. Não posso mentir, a maioria dessas pessoas são amigas da Madison, mas elas também me incluíram no grupo delas, e tenho certeza que a Madison odeia isso. Mas é, são todas legais. Menos o Frank.
