[General]
Name|Katherine
30|Tem uma câmera, gênio?
30.1|Deixa eu ver... ugh, você sabe que precisa de uma câmera funcionando, né?
31|Ops, parece que eu bebo essa porcaria?
32|Eu não bebo cerveja nem vinho dessa porcaria. Me dá um bom gole de rum em vez dessas outras porcarias.
33|Essa é a minha bebida, gata! Sabe de uma coisa? Acontece que você não é tão ruim assim. Eu diria que você tem 75% de chance de tirar minhas calças hoje à noite, principalmente considerando o quão ruim meu namorado é e que você já viu meus peitos.
33.1|É isso aí, gata! Em breve, Spandex Daddy será uma lembrança distante e difusa. Mas, com os Grumps, por outro lado, eu nunca vou conseguir beber a mesma diversão que tive hoje à noite. No entanto, como você provou que sabe aceitar ordens muito bem, eu coloco sua probabilidade de virar um fantoche de satisfação em cerca de 75%.
33.1|É isso aí, gata! 33.2|Porra, é isso aí! Essa é a minha bebida, gata! Sabe, você não se saiu tão mal assim. Eu diria que você tem 75% de certeza de que consegue entrar na minha calça hoje à noite, principalmente considerando o babaca que meu namorado está sendo.
34|Que bom que você perguntou. Sinto que sou a única que precisou mostrar um pouquinho de pele para conseguir uma bebida, e se tem uma coisa que eu odeio mais do que a Stephanie, é ser tratada injustamente. Acho que é a sua vez de se exibir. Se você conseguir ficar nua na frente de todo mundo aqui na festa, então TALVEZ eu te use para um pouco de diversão. Só não se esqueça de quem manda aqui.
34.1|Que bom que você perguntou. Hmmm, sabe de uma coisa? Acho que você deveria se exibir um pouco primeiro. Quero ver com o que estou trabalhando e se você está se divertindo. Se você conseguir se exibir para todo mundo na festa, TALVEZ eu te use para um pouco de entretenimento. Só não se esqueça de quem manda aqui.
35|Droga, eles me viram!
36|Tá bom, vai se foder, cara.
37|Ah, é isso! Esqueci que pedi para você fazer isso. Às vezes eu me faço rir com as coisas que invento.
38|Sabe de uma coisa? É. Meu namorado é o rei de todos os filhos da puta hoje à noite. Transar com você seria um bom castigo para ele. O pior que poderia acontecer é ele te dar uma surra, mas eu vou ficar bem, então vale a pena. Ah, e preciso de algumas coisas primeiro, se você não se importar. Siga-me.
38.1|Claro, eu poderia ir de novo. Siga-me.
38.2|Claro, eu poderia ir para outra rodada. E não se incomode com toda essa porcaria que eu pedi antes. Eu só quero transar. O dia de sorte dele, eu acho. Vamos, idiota. Siga-me.
39|Bem, o que você está esperando? Me foder.
39.1|Com gente no quarto? O que diabos há de errado com você?
39.2|Você vai fechar a porta, idiota? Já é ruim o Frank ter uma câmera cheia de fotos dos meus peitos. Eu não preciso mostrar o resto de mim.
39.3|Tire a roupa, idiota.
39.4|Tire a roupa, idiota.
39.5|Tire a roupa, idiota.
39.6|Tire a roupa, idiota.
39.7|Parece que você precisa de um momento. Volte quando estiver pronto para outra rodada.
40|Uhh. É, acho que isso funcionaria. Boa ideia! Certo. Uma última coisa. Vou precisar de uma garrafa d'água. Por que você não me compra uma, e eu estarei pronta quando você voltar?
40.1|Mmm. É, acho que isso funcionaria. Boa ideia! Certo. Uma última coisa. Vou precisar de uma garrafa d'água. Vá buscar uma para mim. Fatie, pique!
41|Cowboy manso. Preciso de algumas coisas primeiro. Primeiro, preciso de algo para me aquecer, se é que você me entende. Gosto de fazer isso sozinha, então não fique pensando, só encontre algo que eu possa vestir.
41.1|Devagar, querida. Preciso de algumas coisas. Primeiro, preciso de algo para começar, se é que você me entende. Gosto de fazer isso sozinha, então não fique pensando, só encontre algo que eu possa vestir.
42|Muito inteligente. Certo, acho que é isso. Estou pronta.
42.1|Muito inteligente. Bem, acho que é isso. Preciso de um tempinho para me aquecer, então vá para algum lugar que... não seja aqui. E nem pense em se esconder no banheiro ou no armário. Só por segurança, talvez você devesse sair completamente desta área. Ah, e trancar a porta ao sair. ...Ei, linda. Hora de um prazer orgânico e totalmente natural...
43|Não.
44|Gostou do que viu? Depressa com essa água. Não tenho o dia todo.
45|Que bom que você percebeu que precisa me incluir também. É bom poder ver com o que estou trabalhando.
46|É mais assim que eu gosto.
47|Tire essas pessoas daqui! Preciso de um tempo sozinha!
47.1|Posso te dar um tempinho sozinha? Volte mais tarde.
47.2|Posso ter esquecido da minha, hã... "rotina de aquecimento", mas ainda não quero você me olhando enquanto eu me despojo. Vá para algum lugar longe da minha vista... ou, pelo que me importa, apenas olhe para a maldita parede por um momento. ...E então, só então... você conseguirá me contemplar.
48|Bem, era exatamente o que eu precisava. Não foi tão estranho eu ligar para o meu namorado e deixá-lo ouvir tudo, foi? 
49|Que tal pararmos de conversar e você prestar mais atenção no que está fazendo?
49.1|Consegue ver mmbzy?
49.2|Hum... O que eu devo fazer?
50|Eu me formei como a primeira da turma e tenho mestrado em Engenharia. Eu sei hackear um telefone? Sério? Eu conseguiria até dormindo.
51|Por "hipoteticamente", você quer dizer que quer que eu faça isso por você, certo? Só me traga um laptop com internet e um celular que eu possa usar, e eu mando uma mensagem para ela. Não vou fazer isso com as minhas próprias coisas. Existem maneiras de rastrear essas coisas se alguém realmente quiser.
52|Patrick!
53|É, gênio. Eu te disse que precisava do telefone dela enquanto tinha tudo no bolso. Você abandonou o jardim de infância?
54|Acho que sei qual telefone você poderia usar...
55|Isso é perfeito! Vamos usar o laptop no quarto de hóspedes, e acho que eu conseguiria mandar uma mensagem para ela. Me siga.
56|Ah, que fofo. Ela colocou uma senha no laptop. Não deve levar mais do que alguns minutos para descobrir isso. É só me avisar quando quiser enviar uma mensagem.
56.1|Ok, ok, parece que alguns Blackhats já descobriram a senha. Sejam eles quem forem, é melhor não voarem muito perto do sol. Um dia você está descobrindo senhas por diversão, e de repente está em uma prisão na Ucrânia sendo mandado agachar e tossir. O segundo ano foi uma verdadeira bagunça... Só um segundo.
56.2|Tudo bem, vamos começar a quebrar e hackear! Ha, a senha da Ashley é "FuckMadison". Entendemos, Ashley, você está toda encurralada porque sua irmã é má com você. Tudo bem, estamos a postos... hora de dar um jeito nesses Grumps!
56.3|Ok, ok, parece que alguns Blackhats já descobriram a senha. Sejam eles quem forem, é melhor não voarem muito perto do sol. Um dia você está decifrando senhas por diversão, e a próxima coisa que você sabe é que está preso por... Estou divagando. Estamos a todo vapor, agora calem a boca desses Grumps!
56.4|Ah sim, o local do meu triunfo anterior. Quem diria que eu usaria minhas habilidades de forma tão extensiva esta noite? Ah, certo, ninguém, porque quem não ficaria surpreso que esse pesadelo humanitário de bairro tivesse acesso a água encanada, quanto mais à internet? Luditas. Certo, estamos a todo vapor, agora calem a boca desses Grumps!
56.5|Ah sim, o local do meu triunfo anterior. Quem diria que eu usaria minhas habilidades de forma tão extensiva esta noite? Ah, certo, ninguém, porque quem não ficaria surpreso que esse pesadelo humanitário de bairro tivesse acesso a água encanada, quanto mais à internet? Luditas. Certo, um segundo...
57|Claro. Você tem um número de telefone para enviar a mensagem?
58|Entendido. Agora preciso do número de onde você quer que eu envie.
59|Isso não é problema meu, meu amigo. Volte quando tiver todas as informações que precisa, idiota.
60|Claro. Usaremos o laptop. Siga-me.
61|Claro. Só me diga o que você quer que a mensagem diga.
61.1|A atriz pornô? Ah, tudo bem. Só me diga o que você quer que a mensagem diga.
62|Ok, me dê alguns minutos e eu envio esta mensagem.
63|Calma, amigo. Isso ainda não foi escrito. Você terá que assistir a uma versão mais recente de House Party para ver como vai ficar.
64|Parece que a internet caiu. Não consigo mais enviar mensagens sem conexão e, mais importante, não consigo verificar meu e-mail. Estou sem dados no meu plano. Isso é o pior.
65|Ei, a internet voltou. Ótimo! Eu estava com saudades.
66|Precisa de alguma coisa?
67|Entendido. Agora preciso do número de onde você quer que eu envie.
68|Ok, me dê alguns minutos e eu envio esta mensagem.
69|Claro. Só me diga o que você quer que a mensagem diga.
70|Parece que estou vendendo drogas? Ou um farmacêutico, eu acho. Você sabia que agora é legal como medicamento em mais de 29 estados?
71|Eu uso um aplicativo no meu celular para calcular exatamente quanto posso beber, levando em consideração meu peso, o quanto comi e a velocidade com que meu fígado consegue metabolizar o etanol. Acho que talvez você também devesse baixar...
72|Para quem duvidou de mim quando eu disse que seu nível de inteligência era igual ao de espécies inferiores, vou dar o exemplo número 1.
73|Ah, isso é como assistir ao History Channel. Você se importa se eu fizer algumas anotações, se importa?
73.1|Hmm... Então é isso que eu tenho que esperar? Talvez eu precise de mais água...
74|Bem, depende. Para que serve isso?
75|Bem, parece uma solução perfeitamente razoável para o problema. Vou assinar.
76|Isso é estúpido. Você é estúpido. Me deixa em paz.
77|Agora não, mas tenho certeza de que consigo descobrir. Vou dar uma olhada.
78|Se me chamar assim de novo, eu te mato dormindo.
79|O problema com o micro-ondas eram os disjuntores térmicos, que ajudam a evitar o superaquecimento do forno. Quando os disjuntores térmicos falham, o micro-ondas não liga como medida de segurança para evitar que fique muito quente. Desliguei o micro-ondas da tomada e removi o gabinete. Depois, quando encontrei o fusível térmico, desconectei os fios dos terminais. Usei um multímetro para testar a continuidade. Como não havia um, substituí os disjuntores térmicos. Aproveitei também para verificar se a ventoinha estava funcionando e se não causaria o superaquecimento do micro-ondas, cortando o fluxo de ar.
80|É. Idiota.
81|Agora sim! Essa é a minha bebida, querida! Sabe, não foi tão ruim assim. Queria que o idiota do meu namorado desse uma olhada em você. Só consigo imaginar o pau dele encolhendo tão rápido quanto as chances da Stephanie de um futuro seguro. Ha! Será que sou muito má? Ah, acabei de lembrar, não me importo.
81.1|Porra, essa é a minha bebida, querida! Em breve, Spandex Daddy será uma lembrança distante e borrada. Mas com os Grumps, por outro lado, nunca poderei beber a diversão que poderia ter tido esta noite.
82|É. Não sei o que está acontecendo comigo agora... Acho que preciso de um pouco de ar fresco.
82.1|*De longe* Ops. Não sei o que está acontecendo comigo agora... Acho que preciso de um pouco de ar fresco.
83|Eu entendo que você me trouxe uma bebida, mas não precisa me "verificar". Vou te dizer uma coisa: eu vou te procurar. Mais tarde.
84|Meu Deus! Saiam todos da frente!
84.1|*Gritando lá de fora* Meu Deus! Saiam todos da frente!
85|Porra, está trancada! Madison, cadê a chave? Foda-se - Frank, se você quiser ver meus peitos de verdade, abra essa porta agora, droga!
85.1|Trancada pra caralho! Madison, cadê a chave? Alô? Alguém? Ugh, droga, eu tenho que fazer tudo sozinha?
86|Não quero participar de nenhuma das suas conversas idiotas agora. Só vá e veja se não tem ninguém no banheiro.
86.1|Eu disse vai!
86.2|Não quero participar de nenhuma das suas conversas engraçadas agora. Vá e veja se não tem ninguém no banheiro.
87|Ei, cai fora! Agora que estou aqui, você quer abrir a porta? Cai fora e encontre alguém que possa me ajudar!
88|Você é surda ou só burra? ENCONTRE. ALGUÉM. QUE. POSSA. ME. AJUDAR.
88.1|Você é doida da cabeça, sabia? ENCONTRE. ALGUÉM. QUE. POSSA. ME. AJUDAR.
89|Sai daqui!
90|Meu. Deus. Você não. Qualquer um menos você, Stephanie.
91|Você não pode estar na faculdade de medicina e ficar bêbada toda noite, idiota. Já ouviu falar de "plantão"?
92|Vá procurar alguém além da garota que acha que RCP significa Codeína, Percocet e Ritalina. Ou pelo menos acalme-a, porque eu aceito qualquer um agora mesmo.
93|Hestabihen...
94|Stephanie, é você? Estou morrendo aqui!
94.1|Traga aquela morena aqui!
95|Não sei — ela apagou em um segundo e sumiu no outro. Vá procurá-la!
96|Steph, muito obrigada. Eu sei que sempre digo às pessoas que você nunca vai conseguir nada, mas hoje à noite você me salvou. Eu literalmente pensei que ia perder a cabeça hoje à noite.
97|Precisamos mesmo te dar um livro ou algo assim. Qualquer coisa. Mesmo assim, muito obrigada.
98|Você me abandonou na minha hora de necessidade para poder ficar chapado. Fodam-se vocês. Eu vou lidar com isso sozinha.
99|Stephanie, você é uma merda. Vai para o inferno.
100|Eu descreveria melhor como uma dor que me dá vontade de morrer. Além disso, meus intestinos estão fazendo essa coisa de simplesmente esvaziar. Imediatamente. O tempo todo.
101|Você está tentando me envenenar? Isso é completamente fodido! Frank, venha aqui e dê uma surra nesse babaca!
102|Ei, obrigada por mais cedo, eu acho. Não vamos contar a ninguém sobre isso. Nunca.
102.1|Ei, como você está?
103|Ei, que porra! Estou esperando uma mensagem do meu namorado, sua idiota! Você não pega as coisas dos outros, Stephanie.
104|Espera, Stephanie, meu celular!
105|Meu Deus. Eu odeio a Stephanie!
106|Você gostou da sua travessura com a Stephanie enquanto eu morria no banheiro? Eu sei que não te conheço muito bem, mas acho que vou te classificar como uma "pessoa lixo" no meu livrinho de pessoas a evitar.
106.1|Você gostou da sua travessura com a Stephanie enquanto eu morria no banheiro? Depois de todos os momentos divertidos que tivemos hoje à noite, você ainda escolheu as drogas em vez de mim. Acho que vou te classificar como uma "pessoa lixo" no meu livrinho de pessoas a evitar.
107|Digite o texto do diálogo aqui.
108|Espero que agora você entenda por que eu acho a Stephanie um enorme desperdício de espaço. Ela não tem fibra intelectual nenhuma. Ah, falando em fibras, vou ter que ver se meu namorado pode me dar Bran Flakes ou algo assim.
109|Não dá para fazer muita coisa sem o meu celular, né? Vai embora, cara.
110|Nossa! Que bom que encontrei meu celular, que está completamente estragado por causa da água quente e clorada de esperma! O que eu faria sem você?
111|Stephanie, você vai cantar uma música para mim enquanto esperamos? Vai me fazer sentir melhor.
112|Meu Deus! Deixa pra lá.
113|Acho que, pensando bem, foi na segunda série que ficou claro o quanto eu era mais inteligente do que todo mundo. Enquanto todas as outras crianças brincavam de Pocket Mongrels e Luchi-Yo, eu lia livros no nível do décimo ano. Claro, isso não significava que eu tinha um monte de amigos, mas quem precisa de amigos? Alô?! Você está ouvindo?
114|Argh, não consigo continuar assim. Nem falar dos meus sucessos na vida me faz sentir melhor. Por favor, vá ver por que a Stephanie está demorando tanto. Por favor!
115|Isso me diz uma de duas coisas. Primeiro, você é o tipo de cara que levaria um vibrador rosa para uma festa que não é para solteiras ou swingers... ou segundo, você acha que eu quero um vibrador usado que pertence a uma das duas porta-vozes da mediocridade que moram aqui. De qualquer forma, nem me toque com essa coisa.
115.1|Isso me diz uma de duas coisas. Primeiro, você é o tipo de cara que levaria um vibrador rosa neon para uma festa que não é para solteiras ou swingers... ou segundo, você acha que eu ia querer um vibrador usado de uma das duas garotas-propaganda da mediocridade que moram aqui. De qualquer forma, isso não vai funcionar para mim. Encontre outra coisa.
116|Argh, não. Rachael, de todas as pessoas, e eu tivemos uma conversa esclarecedora sobre isso mais cedo. Depois de avaliar e expandir suas observações simples, concluí que não há uma malha de navegação do lado de fora, nem uma placa de aterramento para andar, o que impediria você de sair de casa ou do quintal. Então, aparentemente, no final desta demonstração, e em conclusão, você é um idiota. Agora, vá me encontrar algo para tocar que não me deixe decepcionado com a humanidade.
117|Você sabe que essa merda vai te matar, certo? Claro, eles são melhores que cigarros, mas se você contar o número de pessoas que se esforçam para matar alguém usando vaporizador, se torna igual. O máximo que você sabe!
118|O que isso significa? As garotas da irmandade da Amy te contaram isso? Argh, por que todo mundo acha que eu faço os homens perderem a ereção? Não é como se eu tivesse eletricidade na minha pele ou algo assim!
119|Bem, é. Obviamente. Mas um choque elétrico também mata uma ereção em segundos. Agora, vamos lá, me diga, quem disse que vocês ficam moles perto de mim!
120|Você. Tem. Que. Continuar. Brincadeira. Eu. Que essa situação implica que você poderia passar de fotógrafa iniciante para Harvey Weinstein e se safar? Eu vou te matar, PORRA.
120.1|Qual é o seu defeito? É isso que virgens sem pênis fazem quando ninguém deixa você tocá-las por vontade própria? Aliás, isso é retórico. Agora fique quieta, babaca. Eu vou te foder sem consentimento.
120.2|Qual é o seu defeito? É isso que lésbicas desesperadas fazem quando ninguém deixa você tocá-las por vontade própria? Aliás, isso é retórico. Agora fique quieta, vagabunda. Eu vou te foder sem consentimento.
121|Se você vai fazer isso, tente não estragar. Nem meu namorado estraga ISSO.
121.1|Abaixa a porra da sua mão. Eu pareço um zoológico? Não quero que você me lembre que estou transando com você e não com o Idris Elba.
122|Então, não sei o que está acontecendo entre você e a Ashley, mas depois que os peitos dela saíram, encontrei esta chave no chão. Imaginei que você a tivesse engolido e ela se soltou quando seu queixo caiu. Tenho coisas muito mais importantes para fazer, mas... você foi ótima esta noite, e pensei que você a quisesse de volta.
123|Isso é algum tipo de cantada? Não sei, me lembra um pouco da chave barata que meu namorado usa para trancar a moto porque ele adora ir de moto para o trabalho e pegar a faixa no trânsito.
124|Ok, admito, é um pouco mais complicado do que meu namorado simplesmente "ser um babaca". Ele realmente, REALMENTE anda de moto para todos os lugares como um casal, e antes que você pergunte, não, não são Harleys e gatas nas estradas. Mais como Schwinns e virilhas suadas nas calçadas.
125|Olha, eu serei o primeiro a dizer: não acho que eu deva ficar coberto de suor só para que nosso planeta possa prolongar sua morte inevitável por alguns míseros minutos. Se minhas projeções estiverem corretas, colonizaremos Marte até 2041 de qualquer maneira. E em Marte, não terei que chamar NINGUÉM de "Papai Spandex".
126|Ahhh, sim. Ele usa um daqueles macacões de corrida IDIOTAS, elásticos e que cobrem o corpo todo toda vez que a gente "pega a estrada". Ele só está rezando para que alguém pergunte sobre isso para ele poder falar da moto. Enquanto nos arrumávamos hoje à noite, ele simplesmente não aguentou. Foi como se o spandex tivesse se transformado na bunda dele... Bleh. A gente brigou feio, eu vesti roupas normais e vim de carona para cá.
127|Bem, a briga não foi a pior parte. Essa é uma chatice em duas partes. Mas, sim, obrigada.
128|Ah, sim, o papai Spandex pode ir se foder, mas a gente ainda vai ficar junto depois disso, mesmo depois que eu fiz aquilo com você. A gente encontrou o amor verdadeiro em fazer um ao outro infeliz. Mas a verdadeira chatice é o que a gente tinha planejado para hoje à noite. Essa é a Parte 2 dessa merda de vagabundo fantástica.
129|Ugh. Que tal isso? Se você puder me trazer algo para beber, eu ficaria feliz em compartilhar mais.
129.1|Normalmente preciso de uma bebida para me envolver nessa bobagem de namorado, mas felizmente você já providenciou. Aqui, me puxa para perto. Só não deixe o Frank ou o cu dele verem.
129.2|Bem, tem sido uma noite meio difícil para mim até agora, o que quase fez meus órgãos girarem, mas se tem uma coisa que dizem sobre álcool, é que ele nunca vai te fazer vomitar com a intensidade de uma estrela implodindo! Morte ao Spandex Daddy! Aqui, beba comigo, só tome cuidado para que nem o Frank nem o lacaio dele nos vejam.
130|Não direi mais nada sobre as coisas do meu namorado até você me trazer algo para beber.
131|Não direi mais nada até você se juntar a mim para acabar com a minha futura solteirice.
132|Ah... uau! Tá, você já ouviu falar do Game Grumps? É um programa online incrível apresentado por esses caras, o Arin e o Dan. Eles jogam e falam sobre todo tipo de merda enquanto jogam. Eles são quase psicopatas... mas é de longe o meu conteúdo favorito da internet. E eles vão ter um show ao vivo HOJE À NOITE!
133|É isso aí! Meu namorado e eu íamos dar um oi e cumprimentar todo mundo aqui antes de dar um "gtfo" estiloso e ir de bicicleta para a VERDADEIRA festa que queríamos ir: o show do Game Grumps Live!
134|Mas aí eu vi as bolas dele todas murchas de spandex. E agora, ele sumiu. Ele acabou de ir com sua boceta sebosa para o Game Grumps Live sem mim e COM os nossos ingressos. E eu estou presa aqui esperando a transmissão ao vivo do Game Grumps começar, enquanto mando um milhão de emojis de dedo do meio para o meu namorado. 
135|Se houver um lado bom, os Grumps vão ao show ao vivo de balão. Depois de estudar os padrões de vento para esta noite, parece que eles vão flutuar bem em cima desta casa no caminho. Pelo menos eu vou poder vê-los voando... enquanto eles deixam a minha bunda para trás. Yay meeeeeee. Só me deixe com esta bebida. Vou transar muito para sempre... para sempre.
136|...E a outra coisa sobre o Spandex Papi é o cheiro depois de uma longa viagem. Sabe aquelas cenas de filmes de guerra que mostram o campo de batalha, mas é tipo, no dia seguinte, e aqueles corpos assando no sol, e sabe, só por causa de como o corpo humano funciona, que a maioria deles se cagou até a morte? Desculpe, ainda preciso de tempo para supurar isso sozinho. Me encontre daqui a pouco.
137|Ei, eu estou bêbado e você não está tão bêbado assim, e eu vou ficar mais bêbado ainda! Ei, Buckaroo. Você veio beber e esquecer a tristeza comigo?
138|Quer dizer, comprar outro ingresso para um show esgotado? Não vai acontecer. Eu sou ágil, talvez eu pudesse jogar Splinter Cell até o teto e assistir pelas saídas de ar. Mas provavelmente não pegaria sinal nas saídas de ar... sem sinal! No ar!
139|Olha, é um tiro no escuro, mas se você encontrar algo para bloquear conexões sem fio, acho que tenho uma boa ideia. Uma ideia nascida da vingança, movida a rum e completamente livre... de spandex. Bloqueador de sinal. Veja se consegue encontrar um. Vamos bloqueá-los! Bloqueando os Grumps!
140|Ele realmente encontrou um dispositivo bloqueador de sinal nesta tomada de crack — ainda paga a TV a cabo, né? Estou impressionado. Pensei que teria que construir um com a tecnologia da maleta não tão bem escondida do Patrick. Com certeza a Madison pegou esse dispositivo para ferrar com a Ashley. 
141|Me dá um segundo para recalibrar a capacidade do bloqueador. Vou mudar os parâmetros de direção para amplificar quem estou enganando. Você não vai entender uma palavra disso.
142|Bam bam, obrigada, senhora. Este bloqueador de sinal agora deve conseguir atingir a altitude do balão de ar quente do Grump. Tem uma oração que eu não pensei que diria hoje. Ah, já está quase na hora! Eles virão em nossa direção a qualquer momento. Vou encontrar um computador para fazer minha mágica. Vá lá fora e ligue isso! Lembre-se de não ir muito longe!
142.1|Bam bam, obrigada, senhora. Este bloqueador de sinal agora deve conseguir atingir a altitude do balão de ar quente do Grump. Tem uma oração que eu não pensei que diria hoje. Ah, já está quase na hora! Eles virão em nossa direção a qualquer momento. Vou encontrar um computador para fazer minha mágica. Fique aqui na rua e prepare-se para ligar isso!
143|Nós conversamos sobre isso! Ou talvez não, mas não importa. Vamos trazer aquele balão de ar quente para ESTE quintal. Estamos bloqueando sinais, bebendo rum e aprendendo sobre sistemas de trajetória de balões de ar quente com um manual que encontrei em um lugar estranho da internet. Os Game Grumps estão vindo para cá. Ao vivo! Então, saia daí enquanto eu cuido do computador. bloqueiem, Grumps!
143.1|Conversamos sobre isso! Ou talvez não, mas não importa. Vamos trazer aquele balão de ar quente para ESTE quintal. Estamos bloqueando sinais, bebendo rum e aprendendo sobre sistemas de trajetória de balões de ar quente com um manual que encontrei em um lugar estranho da internet. Os Game Grumps estão vindo para cá. Ao vivo! Então, fique aqui enquanto eu cuido do computador. bloqueiem, Grumps!
144|Escuta aqui, seu peidinho: você vai colocar a SUA BUNDA aí e bloquear os sinais, ou eu vou bloquear a sua BUNDA! Não vamos deixar o PAPAI DE SPANDEX ganhar esta noite! DE JEITO NENHUM!
144.1|Escuta aqui, seu pirralho: você vai prestar atenção e bloquear os sinais ou eu vou te bloquear! Não vamos deixar o PAPAI DE SPANDEX ganhar hoje à noite! DE JEITO NENHUM!
145|Está funcionando! Está funcionando mesmo! NÃO DESLIGUE ESSE INTERRUPTOR ATÉ VERMOS A BUNDA NA GRAMA!
145.1|Argh, o bloqueador está lançando uma exceção! Você não está no alcance, seu canalha! Nunca viu um filme de espionagem? Quanto mais perto você estiver do caminho do seu alvo, maiores as chances do bloqueador fazer seu trabalho! Reinicie e se posicione, rápido! Vai, Agente 69!
145.2|Argh, o bloqueador está lançando uma exceção! Está ligado? Nunca viu um filme de espionagem? Ligue a caixa preta. A caixa preta faz bip bip. O espião idiota ganha uma medalha brilhante! Vamos lá, Agente 69!
146|Ei, por acaso você encontrou aquele dispositivo de interferência? Quem estou enganando? A Madison ainda está usando o Windows XP no desktop dela. É, parece Linux, mas é porque ela baixou uma captura de tela do desktop de outra pessoa e a colocou como plano de fundo. Merda. Qualquer técnico nessa cabana ludita provavelmente é tão falso quanto ela. Embora eu ache que nunca se sabe.
147|Dingus, você não ligou o bloqueador e o balão passou direto por mim! Argh, voltando para a transmissão ao vivo. Você é pior que o Spandex Daddy.
