[General]
Name|Frank
23|Você fez a coisa certa hoje. Nunca se esqueça disso. A garrafa térmica fica comigo, mas você conquistou minha confiança permanente. Avise-me se precisar de um favor.
24|Você provou sua lealdade a mim e confio que nunca mentiria para mim. Além disso, se eu soubesse que você estava mentindo para mim, eu arrancaria sua espinha entre os dentes e a usaria como corda de pular. Pode ficar com a garrafa térmica.
25|Não, cara. Mas ele parece ser um cara legal. Não completamente, mas é um cara legal. Espero que ele o encontre.
25.1|Aquele cara chupador de rola? Se eu soubesse onde está o celular dele, não te contaria. Prefiro quebrá-lo em um bilhão de pedaços, jogar os pedaços num saco, amarrá-lo a um bloco de cimento e jogá-lo no rio.
26|Claro que posso te ajudar, cara. Espera só até você experimentar o meu. É o melhor por aqui.
27|Eu tentei ser superantidrogas e antiálcool, mas isso estava prejudicando meu negócio de drogas porque as pessoas viam como um sinal de fraqueza eu não experimentar meu próprio produto. Então agora sou apenas antiálcool.
28|Você está com sorte. Só me resta um saco. São 50,00 dólares.
29|Bom negócio. Todas as minhas vendas são finais. Se você tiver alguma reclamação sobre a qualidade do meu produto, terei prazer em encaminhá-la ao diretor de RH, meu amigo. Agora, caia fora daqui antes que fique ainda mais óbvio que você está infringindo a lei.
30|Olha, cara, eu fui bem legal com você até agora, mas preciso estabelecer um limite. Desculpe, mas não posso fazer mais favores.
31|Você está falando daquele idiota que foi pego com o meu produto? Como ele ousa me expor? É melhor ele ficar de boca fechada sobre onde conseguiu essa merda.
32|Olha, só porque seu irmão idiota foi burro o suficiente para ser preso não significa que a culpa seja minha. Quem diabos fica chapado na Chica-Fil-A em plena luz do dia?
32.1|Tio Winston? É você? Ah, espera um minuto. Eu... ahhh, é. Estou começando a me lembrar de tudo agora! E agora eu só vejo vocês dois em vez de 12. Você é irmão daquele garoto para quem eu vendi e que foi preso. Olha, cara, seu irmão tomou as próprias decisões. Se ele não tivesse comprado de mim, provavelmente teria comprado de outra pessoa, como o Sr. Sassafras aqui. Merda, ainda estou viajando!
33|Me dói muito ter que fazer isso, cara, mas você está obviamente bêbado. Já vou te ver para te dar um chute na bunda.
34|Estou começando a ficar de saco cheio das suas merdas. É melhor parar com isso. Estou te avisando...
35|Que porra é essa, cara? Meus olhos! Nunca vou esquecer isso...
36|Olha, cara. Eu entendo. Sou um homem lindo. Não posso dizer que não notei o jeito que você ficou me olhando a noite toda. Mas se esse é o seu jeito de se aproximar de mim, eu deveria te avisar que prefiro uma abordagem mais direta.
37| 37|Escute, se você não consegue ser honesto consigo mesmo, nunca será honesto com ninguém. Me avise quando estiver pronto para admitir seus sentimentos por mim, e aí conversamos.
38|Porra! Vou te dizer o que temos que fazer. Temos que bolar um plano para pegá-los. Aqui está o plano. Vou te dar uma vantagem e depois vou te procurar. Veja se consegue alguém confessar que bebeu um pouco quando eu passar, e eu continuo a partir daí. Se não, vou voltar para a patrulha. Não podemos arriscar álcool nas mãos desses malucos. Quem sabe o que eles vão fazer.
39|Acho que te julguei mal. Foi um erro honesto. Agora vejo que eu estava errado. Não posso negar o que vi acontecendo diante dos meus olhos. Aqui está a camisinha que você pediu. Eu sempre as tenho.
40|Agora estamos conversando. Olha, amigo. Eu me sinto da mesma forma que você. Mas me desculpe. Não podemos ficar juntos. Minha vida é muito complicada. Você não tem ideia de quantas festas eu tenho que ir por semana, só para garantir que as pessoas não sejam envenenadas no meu bairro.
41|Mas agora eu também entendo o que tenho que fazer. Esses sentimentos que você tem vão piorar. Começa como uma paixão inocente, mas depois você não consegue comer nem dormir à noite. De repente, você está tirando fotos de nós dois e planejando o seu dia para "nos encontrarmos no supermercado", e eventualmente você acaba invadindo a minha casa e se masturbando com a minha meia-calça. Confie em mim. Eu já passei por isso.
42|Em um mundo perfeito, estaríamos juntos. Mas não se preocupe. Nós vamos sair da sua mente. Apenas me siga.
43|Fico feliz em ver que você entende a minha situação e por que não podemos ficar juntos. Agora relaxe. Você não precisa fazer nada. Eu cuido de tudo. Acho que, depois que o mistério acaba, é mais fácil deixá-lo ir.
44|Precisa que eu explique para você? Vamos lá, não temos o dia todo.
44.1|Vamos lá, cara, vamos ver. Agora não é hora de ser tímido. Já chegamos a esse ponto.
45|Não precisa dizer nada. De nada. Se eu não te tirar da cabeça até o fim da noite, me avise e podemos tentar de novo. Mas não fique pensando. Só estou fazendo isso para te ajudar.
46|A propósito, aqui está a camisinha que você queria...
47|Bem, obviamente preciso saber o que é antes de assinar.
48|Bem, por que você não disse isso antes? Onde você precisa da minha assinatura?
49|Por que eu assinaria uma petição dessas? Você precisa que eu examine sua cabeça. Vai se foder.
50|Que diabos, cara? Você fez tudo o que podia para me convencer de que não era gay e agora está me perguntando sobre minha calcinha? O que há de errado com você, cara? Bem, para responder à sua pergunta, eu não uso calcinha. Minhas bolas precisam respirar. Elas não podem ser contidas.
51|Entendi. Você quer minha calcinha como um troféu para lembrar do nosso tempo juntos. Não posso te culpar. Foi uma coisa linda. Mas me desculpe. Não posso te ajudar. Eu não uso calcinha. Acho que é óbvio só de olhar para mim que tenho bolas enormes. Nunca encontrei uma que servisse direito.
52|Porra! Eu vou estar lá! Eu chamo isso de... enfiar a cabeça em uma porta fechada com força total. Funciona sempre!
53|*Me preparando* PARA OS PEITOS!
54|Mexe! Você não ouviu? Peitos, cara. PEITOS!
55|Ugh, opa. Minha jogada funcionou! Agora sim, cara. Você ouviu o que ela disse? Isso significa que provavelmente vou poder ver os peitos dela mais tarde! Nossa, eu amo minha cabeça grande. Então, unicórnio, cara!
56|Totalmente cara. Radical. Ei, você está sentindo cheiro de sangue? Eu não consigo ver sangue, mas sinto cheiro de sangue no meu nariz. Ah, cara, o Denzel Wafflepapas é um bom ator.
57|Hahaha, não se preocupe comigo, cara. Tudo são lasers.
58|Ah, claro, cara. É como se eu estivesse dizendo àquele pinguim de calças brilhantes: essa bebida é para todos! Por favor, beba!
59|Ah, sim, o nome dele é Sr. Sassafras e ele é um cara muito legal. Ele está por aqui em algum lugar... Estou sentindo cheiro de sangue de novo.
60|Ei! Cara!... Que bom te ver, cara. Espero que essa água apimentada te ajude na festa. Mas lembre-se, nunca se masturbe ou dirija. Nunca.
60.1|Você deve estar com muita sede, amigo. Divida um pouco com meu amigo pinguim.
60.2|Você deve estar com muita sede, amigo. Divida um pouco com meu amigo, Sr. Sassafras.
61|Já transei com algumas baleias na minha vida. Eu... acho que adoro.
61.1|Ei, Sr. Sassafras, olha só você, garoto! Parece um grande aipo peludo de madeira! Ei, novo amigo, obrigado por colocá-lo no pedestal que ele merece... ele esperou tanto por esse prêmio!
61.2|Já vi coisas estranhas na minha vida, mas isso é outro nível. Achei que arte fosse para fazer você se sentir bem por dentro. Isso está me irritando. Acho que você não fez direito, amigo.
62|É, eu conseguiria fazer isso. Adoro transar. Qual é a ocasião?
63|Nossa, nossa, ele está tomando Hyperall? Desculpa, mano, mas eu não vou brigar com ninguém ligado a esse tipo de merda. A FDA disse que essa merda serve para acordar um urso-cinzento depois que eles forem realocados. Eu não vou brigar com nenhum urso-cinzento, cara.
64|Não, mano. Se ele ainda estivesse em seu estado de espírito normal, talvez. O Derek que mais cedo hoje à noite estava olhando para aquela foto de gato no outro quarto e derramando lágrimas porque era tão fofo, com suas patinhas fofinhas e essas coisas, agora que o Derek podia brigar. Derek de gato, sim. Derek de urso, nem pensar, cara.
65|Ah, olha só, uma piada sobre a minha sexualidade. Como pensar em você. Sabe quem eu posso derrotar? O seu. Você está morto, babaca!
66|É, cara, o Derek estava reclamando de... algo sobre gatos perto da lareira mais cedo. Não consegui ouvir muito daqui, mas Derek estava soluçando e defecando. Não sei muito mais; talvez você queira perguntar à Stephanie; ela estava mais perto.
66.1|Era por isso que aquele cara estava chorando?! O cara estava chorando copiosamente mais cedo perto da lareira. Era difícil entender o que ele estava dizendo, porque ele chorava copiosamente enquanto falava. Algo sobre seu gatinho, que eu naturalmente presumi ser uma metáfora de vagina. Mas talvez fosse mesmo um gato, agora que penso nisso. De qualquer forma, você pode querer perguntar à Stephanie. Ela viu tudo.
67|Então, eu tenho usado minha própria saliva para dar aos meus pelos pubianos essa aparência verdadeiramente "brilhante", como se fossem lindas ondas negras quebrando contra o farol costeiro que é meu pau duro como pedra, mas... espera, cara, por que você também está pelado?
68|Você está aqui para me pintar, certo? Foi o que a Madison disse: eu me juntava a ela, relaxava, fechava os olhos e ficava zen, e aí o cara novo me pintava porque achava que eu tinha o corpo de um cachorro. É isso que está acontecendo aqui, né, cara?
69|Do que diabos você está falando? Isso foi só um truque para me deixar pelado? Puta merda, puta merda, puta merda, isso é como um acampamento de basquete de novo. "NÃO, TÉCNICO GUNDERSON, A HORA DO BANHO É SÓ PRA MIM!"
70|É... desculpa, cara! Eu fico todo mal-humorado quando lembro de traumas de infância. Além disso, não vou arriscar um saquinho de chá acidental, sabe? Trégua, cara! Roupas fora de casa, porra... meu imperador gordo ia se vestir com uma meia...
71|Ei, para de soprar essa fumaça de fruta na minha cara! Tem cheiro de frutas vermelhas. Eu odeio frutas vermelhas!
72|Uau! Eu posso quebrar qualquer coisa, não importa o quão valiosa seja para meus amigos, família, o governo, estranhos, eu mesma... Sinto que dizer isso revela muito sobre mim. Hmm. Enfim, me dê.
72.1|Ohhffff, você quer que eu te ajude a se livrar... dessa coisa? Mas, olha só como... eu nunca fui olhado... olhado desse jeito! Essa é uma cara muito foda de um cara muito foda!
72.2|Ohhffff, você quer que eu te ajude a quebrar... isso? Mas, olha só como... eu nunca fui olhado... olha pra mim desse jeito! Ah, sim, essa é uma cara de garota linda pra caralho!
73|MORRA NA CAIXA DO DIABO BRILHANTE! COMO VOCÊ OUSA ME MOSTRAR A REALIDADE DE QUEM EU SOU! Ele já deu a ele meu melhor golpe do Avenue Brawler 5. Merda-PO-Ken! Isso ajudou, garoto?
73.1|ISSO É... UMA MENTIRA DO CARALHO... POR QUE VOCÊ É TÃO SUAVE? ME CONTA SEUS SEGREDOS! Mmm. Só pode ser um. Garoto... acerta essa bola curva. Eu não sou o mais suave? Tipo uma bola de boliche... ninguém viu aquela meta que eu fiz?! Porra... eca.
74|Ah é, mano, você deve ter lido minha mente. Ou você percebeu que eu fiquei sentado naquela cadeira a noite toda? Enfim, da próxima vez mire mais baixo. Sem falar no crack, mas também não no períneo. E mais nós dos dedos. Pelo menos dois. Entendeu?
74.1|Treinador? É você? Ah é, eu tenho trabalhado na minha técnica. Vou ganhar esse distintivo! Olha só!
75|Cara-ooh ho ho sim, aí está! Eu dei um bom gole... me dá essas faíscas. V-você... p-coloca as faíscas na minha pele, ou eu te dou outro soco.
76|Porra, Leah, eles devem descobrir que andamos roubando porcas e parafusos dos equipamentos do playground para completar nossa academia de ferro-velho! Precisamos sair e arrancar os dentinhos que ainda têm na garganta!
76.1|Salve-se, Lola. Já consigo ouvir o tilintar dos sininhos de parque deles nos meus ouvidos. É tipo... uiiiiiiiiiiiiiiiiiiiiiiiii. Olha só, estou sangrando de novo!
77|Eu não deveria dizer "arar" porque é desrespeitoso com os fazendeiros trabalhadores que construíram este país incrível? Arar dá trabalho! Mas não, não vou dar o Frankie Footlong Special para a Madison, e não faço ideia de quem seja.
78|Siiiiiiiiiiii, cara, bem aí? Isso é aço humano. Você consegue quicar moedas nesses malditos azulejos, gata. Ei, pessoal, venham sentir meus peitorais!
79|E-ei, ei, vamos manter a civilidade, ok? Eu fui programado para ser assim. Eu não queria tomar todo aquele álcool, sério. Foi só uma decisão de desenvolvimento de... anos atrás. Eu existo só para tentar espremer um pouco mais de tempo de diversão nessa merda de 15 dólares. Poxa, eu tentei revidar "ficando preso nas paredes" ou deixando eles subirem pelo esgoto, mas, quer dizer, Rachael... você sabe como é ser um fantoche por aqui, né? Pelo menos eles não te rotularam como um skinhead esquisito e drogado.
80|Na verdade, eu não bebo. Eu sei, eu sei que fiz um estardalhaço sobre isso, mas é só porque eu tenho um problema de controle da bexiga e uma vez eu fiz xixi errado-
81|Granizo? Do que diabos você está falando- Aaaah, é. Desculpe, meu aprendiz. Eu estava em uma ligação. Situação com reféns. Potencial para baixas em massa. Consegui acalmar a situação toda pelo telefone como um campeão.
81.1|É, ele vai ficar seguro. Cuspi na direção de qualquer um que olhasse para a bebida e dei uma olhada rápida só para ter certeza de que o aviso realmente... tinha pegado. Além disso, eu precisava atender uma ligação. Situação com reféns. Potencial para baixas em massa. Consegui acalmar a situação toda pelo telefone como um campeão.
81.2|Leah, bom te ver. Não esqueça de estudar esses movimentos. Observe minha postura enquanto eu viro essas maçãs do rosto para gelatina, mano.
82|Ei, garoto, cuide da sua vida. O que está acontecendo aqui, afinal? Qual é a situação?
82.1|Então, o que está acontecendo?
82.2|Estou literalmente no meio de levantar as mãos aqui. O que você precisa?
83|Uma cobra? Dentro de casa? Nesta casa? Leah, estamos aqui por segurança, não por controle de animais. Cobras têm raiva, sarna ou qualquer outra merda. Isso está abaixo do nosso nível de remuneração. Suas ordens são: sem ação. Em vez disso, trabalhe nos seus Thunder Punches.
83.1|Uma cobra? Tá brincando? Bem, obviamente estarei cansado demais para investigar uma falha de segurança. Meu corpo precisa de tempo para se re... carbonizar depois de toda essa briga. E eu não quero que você se envolva nisso também, Leah. Você vai ter que massagear toda a tensão das minhas glenoides depois que eu terminar de dar uma surra nessa bunda.
84|Você me ouviu, aprendiz. Até você estar por conta própria, comandando aquele estúdio de autodefesa como sempre sonhou, você responde ao meu Frankie, o Punho de Ferro. Diga à Madison para perceber que a criatura maligna invadiu a casa dela e que a melhor coisa a fazer seria queimar a casa inteira e pedir desculpas a qualquer demônio que ela tenha irritado.
84.1|Você me ouviu! Só diga para a Madison perceber a coisa maligna que invadiu a casa dela-AH-MERDA! Mande ele queimar a casa! Agora saia daqui para eu pendurar a cabeça desse filho da puta na minha parede!
85|Ei, é, desculpe por ter ido embora mais cedo, eu trabalho muito com jovens locais, e essa garota estava me menosprezando, tentando me fazer ir caçar cobras com ela, ou algo assim. Enfim...
86|Eu me sinto muito bem em fechar esse negócio todo e alugar aquele espaço para você. Claro, terei que fazer minha própria inspeção para garantir que o piso seja forte o suficiente para prender as barras espaçadoras e fácil de limpar, com todo o sangue, suor e... outros fluidos. Ah, e tem mais uma coisa...
87|A outra interessada, o nome dela é Leah. Ela não pode saber que você está alugando para mim. Eu sei que ele sonha muito com um estúdio de autodefesa, mas te digo, o Frankie's Fuckaround Club vai render uma grana alta para nós dois. Então, manda ele ir embora e a gente vai ter que lidar com isso. Tá bom, eu te amo. Tchau. Desculpa, vou contar pra todo mundo. Tá bom, tchau.
88|E aí, cara, como vai? Você conhece alguma stripper? Alguma garota que queira virar stripper?
88.1|Nossa... sua cabeça. Como você fez ela girar desse jeito? E olha só todas essas estrelas atrás de você! Quando meu cérebro parar de gritar, preciso te convencer a assinar uns contratos, porque você com certeza vai ser a atração principal do Frankie's Fuckaround Club. "Venham para um, venham para todos, para ver o Garoto Brilhante de Cabeça de Lã Mágica." Estou com bastante sono, Sparkle.
89|Você tem sorte de sermos tão bons amigos, senão eu estaria usando esses seus lábios lindos como saquinhos de speed. Estou pegando essa propriedade porque o Frankie's Fuckaround Club tem muito mais potencial do que qualquer estúdio de autodefesa que eu JÁ tive.
89.1|Brilhante, por favor! Você sabe o quanto esse clube é importante para mim. O que você acha que foram nossos dias de pirataria em mar aberto juntos? Eu juntei tantos dobrões para tornar o Frankie's Fuckaround Club uma realidade.
89.2|Ei, você quer relaxar com essas acusações, com seus dedos pontiagudos? O Frank pega o que quer e não precisa te dar explicações. Eu não te conheço de jeito nenhum. Não venha me fazer perguntas pessoais se não formos amigos.
89.3|Ei, ei, ei. É melhor você tomar cuidado com o jeito que fala comigo... cara, cara, cara, cara. Eu sou a Tiffany Shakeweight e não tiro essa lábia de ninguém. Só meu pessoal de vida ou morte me faz essas perguntas pessoais. Quer dizer, perguntas.
89.4|Ei, ei, ei. É melhor você tomar cuidado com o jeito que fala comigo... garota, irmã, mulher. Eu sou a Tiffany Shakeweight e não aguento essa lábia de nenhuma garota. Só a minha vida pode me pedir essas bananas pessoais. Quer dizer, perguntas.
90|Ok, boa sorte com isso. As únicas pessoas em quem confio neste mundo são Deus e o cara que me vende meus supositórios de esteroides. Agora, saia daqui.
90.1|Minhas únicas amigas neste mundo são as outras Donas de Casa Reais de Orlando. Nós somos I-N-D-E-P-E-N-T-O... Ah, merda, outro dente caiu.
91|Já quis um lugar onde você pudesse aprender os melhores movimentos, olhar para mulheres bonitas e brigar com seus amigos e entes queridos? Então meu lugar, Frankie's Fuckaround Club... é para VOCÊ.
91.1|Frankie's Fuckaround Club é... uma coisa. Um lugar! Um lugar onde eu vou fazer alguma coisa... com strippers! Ou... eram nadadeiras? O Frankie's Fuckaround Club é um bar de striptease ou um aquário... Igualzinho aos golfinhos e essas coisas. Ambos parecem bons, né?
92|O Frankie's Fuckaround Club tem de tudo: strippers em postes, strippers no colo, socos na cara, chutes na cara, strippers na cara, a gente pode lutar se você quiser, a gente pode se beijar se você quiser, um bar de cachorro-quente, meu cachorro Dandy vai estar lá. Não é algo que eu vou desistir porque a Leah não consegue aceitar que o Predador Supremo venceu. Ele é aquele cara simples.
92.1|Estou tentando lembrar, cara! Te conto mais detalhes depois que eu conseguir lembrar se já quis transar com um golfinho antes. Porque eu sei que queria transar com uma stripper, e esse clube com certeza seria baseado em mim tentando molhar meu pau. Só preciso descobrir o QUÃO molhado...
93|Cara, você entendeu tudo errado. Não preciso de strippers para me apresentar, vou te ensinar como. Graças às inúmeras vezes que precisei dar um mergulho vertical deslizante em um combatente inimigo, me tornei uma ótima dançarina de pole dance. O Frankie's Fuckaround Club é um clube de luta e um estúdio de dança em partes iguais.
93.1|Leah? O que eu fiz com a Leah? Ah, sim, eu transei com ela... é isso mesmo. Eu sei que foi uma coisa foda, mas a Leah deveria saber que eu sempre sonhei em abrir o meu... Merda, é um clube de peitinhos ou um aquário?
94|Ok, sabe de uma coisa, você tem razão. O mínimo que posso fazer é contar a verdade para ela, e, meu Deus, não acredito que vou dizer isso... um pedido de desculpas. Minha aprendiz merece. Mas só estou fazendo isso porque somos amigas para a vida toda.
94.1|Você tem razão. Devo muito à minha aprendiz. E agora que minha cabeça não está tão confusa e estou me tornando mais consciente da sensação de giz na minha boca, está claro que vou precisar da ajuda de alguém para examinar meu cocô e encontrar os dentes que engoli. Se alguma vez precisei da Leah do meu lado, é agora. Hora de consertar as coisas.
95|Cara, não posso me desculpar se ela não sair do seu triste esconderijo. Olha, vou dar uma olhada na chaminé, para ver se você não a encontra em algum lugar do outro lado do quintal. Perda do meu tempo...
95.1|Já está procurando por ela? Boa ideia, amigo. Porque não posso me desculpar se ela não sair do seu triste esconderijo. Vou procurar perto da fogueira. Vê se não a encontra do outro lado do quintal.
95.2|Já está procurando por ela? Boa ideia, amigo. Porque não posso me desculpar se ela não sair do seu triste esconderijo. Vou procurar perto da fogueira. Vê se não a encontra do outro lado do quintal.
96|Leah? É você? Nossa, eu estava vindo aqui para falar com você quando, sei lá, cara, senti uma onda de energia. Ouvi um chiado, como aquele som que ouço quando o cara na mesa ao lado tenta chamar minha atenção... o chiado era tão poderoso.
97|Então eu subo o esgoto com dificuldade e encontro esse desgraçado barulhento e fodido. Achei que tinha medo de cobras, mas preciso te dizer, sinto uma conexão real com esse cara. E com ele nos meus ombros... me sinto sexy, baby!
98|Por que você me chamou de Frank Regular em vez de Frank Sensei? E por que você tem uma espada de Samurai? Espera, você está bravo com o espaço alugado, né? E agora quer me ferrar. Eu entendo.
99|Você precisa entender que o Frankie's Fuckaround Club fará muito mais pelas pessoas do que o seu estúdio de autodefesa jamais poderia. Não acredita em mim? Olha só esses movimentos! O mundo precisa ver esses movimentos!
100|Ai! Que diabos foi isso? Quase perdi o equilíbrio, cara!
100.1|Espera! Calma, Snakey, não dê ouvidos aos haters. Sério, estou vendo estrelas, cara.
101|Caramba, Leah, você usou seu corpo para amortecer minha queda! E no mesmo dia, meu médico disse que estou a um ferimento na cabeça de virar um nabo babão. Você é meu anjo da guarda.
102|Leah, escuta, escuta. Você salvou minha VIDA. Tenho tantos anos pela frente para me divertir neste planeta, graças a você! Estou em dívida com você.
103|Feito. Vou ligar para a moça hoje à noite. É sua. Aquele estúdio de autodefesa ESTÁ ACONTECENDO, CARA.
104|Doot-doodle-loo... ah, estamos só fazendo essas máscaras? Estou TÃO pronta.
105|Doot-doodle-loo...
106|Ei, ei, eu sabia que meu maior fã estaria na primeira fila. Cara, que tal esses movimentos? Não são... só Sextown, EUA?
107|O que eu estou fazendo? É bem óbvio, estou começando uma revolução. Eu e essa cobra, vamos ser a atração principal todas as noites no Frankie's Club Fuckaround. Isso... isso é dançar. E eu não posso te ter na primeira fila se você não gostar.
108|Olha, não fale do Julius Squeezer desse jeito. Esse garoto nunca me trairia. O jeito que ele olha nos meus olhos, todo hipnótico... o jeito que ele se aperta com força contra as minhas vias aéreas. Criamos um vínculo através da dança, e ele nunca vai se intrometer. Cai fora.
109|Engraçado você perguntar, meus passos de dança são todos caseiros. Claro, eu tinha algumas daquelas fitas VHS de "BREAK DANCE BASIC" quando era criança, mas meu pai sempre as encontrava e me fazia jogá-las de uma ponte. Mas como eu andava 27 quilômetros de volta para casa da ponte... eu ficava dançando e dançando, baby. É... esse é o estilo do Frankie.
110|O que está acontecendo? Isso é uma ameaça à segurança? Os bandidos não podem se comportar por só 10 minutos enquanto eu estou curtindo com meu amigo Julius Squeezer? Ele é um homem injusto... Talvez você possa me passar a ameaça à segurança, e eu posso te dizer como lidar com isso. Você será como meu amigo assistente.
111|Se ao menos meu pai pudesse me ver agora. Ele nunca pensou que eu teria medo dos fracotes ao meu redor se eu fosse dançarina. Bem, olhe para mim agora, pai!
112|Meu pai uma vez me colocou em uma briga de socos como campeão invicto da Bulgária. Eu tive que falar assim a noite toda. Eu tinha 14 anos, não conseguia lutar por um pau! Depois que levei um tapa na cara, descobri que meu pai tinha apostado contra mim para ganhar dinheiro rápido. Então, é, acho que ele não dá a mínima para eu transar com a Leah. Pare de falar do meu pai, garoto.
113|Eu não me importo. Mostre a ele. Deixe-o ver o que eu realmente consigo fazer. Mas vou me virar para que ele não veja meu rosto. Não que eu me importe nem nada.
114|Já superei! Não parece que superei? Todo dia eu trabalhava na cervejaria daqueles babacas, varrendo tampinhas de garrafa. "Filho, por que você não quer assumir os negócios da família? Você é algum tipo de dançarino ou algo assim? Não, pai, eu só odeio seu porquinho com infusão de abacaxi como o resto da América. Pare de falar do meu pai, porra!
115|Foi uma vida difícil, isso eu te digo. Só cheguei à puberdade aos 19 anos, então, durante a maior parte da minha juventude, todos achavam que eu tinha seios pequenos. Aí veio a alopecia e todo o meu cabelo sumiu. Daí em diante, fiquei conhecida como "O Feto Alienígena". Todos se arrependeram de ter me chamado naquele dia, quando finalmente me dei mal. É claro que sim.
116|Não está claro agora? Eu nasci para dançar! A correria da segurança era só para divulgar meu nome, como a fodona que eu sou. As pessoas vão ao Frankie's Fuckaround Club e SABEM que não tem besteira. Elas vão se comportar e assistir ao show das suas vidas. Até o Julius Squeezer é louco. Fala sério, mano, ele tá me apertando igual um filho da puta!
117|A única coisa que me deixa rouco é o tamanho do meu pau. Acho que o Julius Squeezer tá cansado de olhar pra sua cara feia. Sai da minha zona, garoto.
118|Custou... TUDO. Mas pense em todos os bilhões que vou ganhar mostrando essa BUNDA BOA toda noite. Porra, essa vagabunda é safada. Sai daqui, preciso focar no dinheiro antes que eu comece a me arrepender de ter ferrado com a Leah.
