[General]
Name|Patrick
18|De jeito nenhum, mano. Já é ruim o suficiente eu ter perdido meu vinho. Se eu beber, vou ficar totalmente sóbrio.
19|Nossa, por que você não me disse que era o café irlandês, mano? Pega um mano!
20|Valeu, mano! Isso vai me ajudar muito a manter a minha bebida!
21|Ei, mano, tem certeza de que era um café irlandês? Minha bebida acabou completamente.
22|Nossa, esse café está super gelado, mano. Pode esquentar para mim?
23|Ah, é, mano! Deixa eu pegar com ela.
24|Brittney! Mana! Estou totalmente sóbrio! Pode me devolver o celular?
25|Desculpa, mano! Acho que não te conheço o suficiente para confiar em você. Nada pessoal, só que um mano tem que se cuidar, sabe?
26|Nossa! Valeu, mano! Você encontrou meu vinho com certeza! Devo ter deixado cair quando o Frank me deu um soco.
26.1|Nossa! Valeu, mano! Você encontrou meu vinho com certeza! Devo ter deixado cair quando a Madison me bateu.
26.2|Opa! Valeu, mano. Que bom que você encontrou meu vinho. Achei que tinha perdido depois que a Rachael me deu um tapa.
26.3|Opa! Valeu, mano. É melhor eu acabar com isso rapidinho... Não sei quando nem de onde virá o próximo soco. É quase como... uma conspiração furiosa contra mim!
27|Valeu, mano!
28|Ei, mano! Peguei meu celular da Brittney. Aqui está. Pode usar agora. Promete que não vai me devolver a menos que eu pareça sóbrio, tá?
28.1|Ei, valeu pela ajuda com o meu celular, mas agora que estou sóbrio e pensei naquela merda que você fez comigo... Acho que vou ter que te dar esse favor. Só os melhores manos merecem minha doce, doce tecnologia.
29|De jeito nenhum, mano. Eu não toco nas coisas. Isso mexe com a minha fábrica de boatos.
30|Nossa. Essa é uma ideia totalmente incrível, mano. Se fossem dois contra um, acho que o Frank não tem a mínima chance. Mas eu não consigo lutar sóbrio. Eu te ajudo se você me ajudar a recuperar a minha euforia.
30.1|Nossa. Essa é uma ideia totalmente incrível... se fossem dois contra um, acho que o Frank não tem a mínima chance! Esse cantil estava cheio até a borda com um suco de briga de primeira, então me avise quando estiver prestes a desabar.
31|Nossa, você está me dando isso? É um cantil lindo, mano, mas eu não posso aceitar isso... Quer dizer, está vazio.
32|De jeito nenhum, mano! Eu aceito isso e te ajudo com o Frank. Só me avise quando precisar de mim.
32.1|De jeito nenhum! Eu aceito isso! Droga, isso cheira a pelos no peito, punhos suados e injunções! Valeu, mano! ...hm, pode ser pelo da perna, na verdade... ou pelo das costas...
32.2|Nossa, nem pensar, mano! Vou tirar isso das suas mãos com prazer! E agora que o Frank se foi, talvez eu não precise mais enfiar isso na minha calça! Está ficando um pouco pantanoso lá embaixo...
33|É isso aí, mano! Mal posso esperar para me vingar dele por roubar meu vinho!
34|Nossa, mano. Não é uma boa ideia beber tanto, a menos que você seja um profissional treinado como eu...
34.1|Nossa, habilidades de bebida de nível amador, mano. Se as coisas tivessem sido diferentes esta noite, eu poderia ter secretamente despejado alguns sachês de conhecimento alcabrálico exclusivo em você. Ei... na verdade, talvez o Frank pudesse te ajudar! Vá buscar a sabedoria dele!
35|Que mano! Você tem dois pênis! Espera aí, eu só estou bêbado.
35| 35.1|Se você prefere aproveitar todos os recursos desta realidade que criei para você... que assim seja.
36|Festaaaaaaa!
37|Com certeza, mano! Um mano está sempre preparado. Nunca se sabe quando vai ter que se sujar, sabe o que quero dizer? Ah, espera, você disse camisinha? Não, eu não tenho uma dessas, mano. Desculpa.
38|Nossa, eu adoro pedidos! Espera, pra que serve isso? Tem que tomar cuidado com o que assina hoje em dia...
38.1|É, cara, eu adoro pedidos... mas não. Me engane uma vez, fico envergonhado, me engane duas... merda, é, isso também acontece. Mas não dessa vez. De jeito nenhum.
39|Desculpa, mano. Quer dizer, ouvi dizer que ele tinha mamilos franceses, mas aposto que ele ainda fica bem bonito sem camisa. Vai acabar com minhas chances com as mulheres.
40|Nossa! A única coisa que eu amo mais do que pedidos são surpresas! Minhas duas coisas favoritas! Como eu poderia dizer não, mano?
41|De jeito nenhum, mano! Truques para mim!
42|E aí, e aí? Ashley, mano, festa incrível! Por que você e eu não saímos mais? Família precisa relaxar, mano. Você sabia que existe até uma palavra havaiana para família? É... Irmã. Você é minha IRMÃ, Ashley!
43|O quê? Você quer dizer... Rambro: Primeiro Sangue? Qual é, Ash, estou cansado dessa família achar que eu não sou profundo e essas merdas. Vem comigo até a fogueira, a gente coloca o papo em dia e conversa como dois cientistas de colete.
44|Então, claro, é a vez que você e a Madison colaram minhas mãos quando estávamos na primeira série - haha, bom demais, mano, bom demais. Vocês sempre foram rainhas das pegadinhas.
45|Incêndios nem sempre são a pior coisa que pode acontecer. Às vezes, são um recomeço, mano. Deve muito ao governo em impostos atrasados? Queime sua propriedade e declare falência! Mas faça o que precisa fazer, Ash. Obrigado por me atualizar. Vou esvaziar a cobra.
45.1|Apocalipse zumbi... É difícil. Por sorte, sou portador de tantas DSTs que o CDC diz que meu sangue pode conter a cura para todos os vírus conhecidos. Vou passar na casa deles mais tarde, mas vou beber mais um pouco primeiro. Melhor ir abrir espaço para aquela cerveja rapidinho.
45.2|Caso de merda espontânea - já passei por isso, mano. Tenho um homem com quem posso te colocar em contato: ele ensina como centralizar o chi e o esfíncter. Corpo são, mente sã. Enfim, preciso ir ao banheiro.
46|É, é, mano. É diferente. Mas, como Diretor de Conferências, não falo sobre compras em festas, principalmente quando meus primos estão aqui. Só vou dizer que o lugar está em reforma, então sem apresentações por enquanto. Desculpa, mano.
47|Ei, vocês estão falando da Oprah Winfrey? Ela é um ídolo — nossa! Por favor, vistam-se! Derek, vocês são bons, mano. Espera aí, vocês eram? Puta merda, isso é bom demais!
48|O que temos aqui, mano? Ah, é, mais combustível para festa! Não sei se você sabe disso sobre mim, mas eu gosto muito de cerveja. Se eu tivesse que listar minhas três coisas favoritas na vida... seriam garotas gostosas, não precisar mais usar tornozeleira eletrônica e cerveja.
49|Ah, uma coisa que eu fiz em Las Vegas. Estou sob ordem judicial para não falar dos detalhes, mas eu gosto de você, mano, então vou te contar que envolveu um imitador da Cher, um macaco chamado Mordecai — nossa, um dos melhores crupiês de blackjack da região — e uma assistente de mágico maravilhosa que usava as mãos para MUITO mais do que só tirar coelhos da cartola. Heh. Agora, não me entenda mal, foi tudo consensual; é só que o estado de Navada não gostou que a gente fizesse isso no meio da Strip.
50|Ah, sabe... só o pensamento incômodo de que o jeito que eu me comporto como um lagarto sem alma, bêbado e depravado me condenou a uma vida sem companhia verdadeira, o que significa que nunca conhecerei o abraço terno de um parceiro de vida amado. Ah, e cobras também... E ele está ficando sem bebida, né, mano? Mas graças a você, isso nunca vai acontecer.
51| 51|Obrigado novamente pela bebida. Ainda tenho meu vinho, então parece que vou tomar uma dose dupla hoje à noite, agora que estou nessa! Faz tempo que não tomo uma boa dose dupla de punhos. Espero que o Frank não me veja. Ele é muito durão quando se trata de punhos.
51.1|Obrigado novamente pela bebida. Desde que perdi meu vinho, parecia que havia um... buraco na minha vida. O lado bom é que não sou completamente dependente das coisas, porque eu podia sentir esse buraco começando a crescer e virar um buraco sem fim de desespero e depressão paralisante. Desviei de bala, né?
51.2|Bem, acho que te devo um obrigado, mano. Não estou falando merda, mas aquele café irlandês que você me deu era mais como um café normal... Quem sabe, talvez minha tolerância esteja chegando a um nível sobre-humano. Puta merda, puta merda, me chame de cachorro do álcool!
52|Mais cerveja? Você é o melhor entre os melhores! Espera... mano? Mano? Mano? Irmão? Irmão? Qual é? Com certeza vou ter que brindar a isso. Forte.
53|Ainda estou pensando nisso. Tem algumas pessoas para quem preciso ligar e perguntar, meu coach de vida, por exemplo. Este pode ser o maior problema que um desencarnado já enfrentou. Vou te manter informado.
54|Cerveja! O rio dourado flui mais uma vez, desta garrafa para os meus lábios, vou aproveitar esta bebida dourada a cada gole, meu amigo. Deus, eu queria poder tomar banho com esta coisa... Uma chuva dourada sem fim... Consegue imaginar?
55|Mano, eu não sabia do que estava falando desde 1997.
56|O que é isso? Mais cerveja? É isso aí, cara! Você está a caminho de ser o melhor mano de toda esta festa. Não que a competição seja tão acirrada. Não conte para o Frank, eu disse isso.
57|Há! Essa é fácil. Talvez você já tenha ouvido falar dele. Ele era presidente... inventou a eletricidade... cavalgou até Gettysburg quando os britânicos chegaram... ele é Abraham Lincoln, sem dúvida. Quer dizer, além de tudo o que ele fez, pense no nome dele. Abraham Lincoln. Está no nome, meu chapa! Ele foi o começo de tudo...
57.1|Ha! Essa é fácil. Talvez você já tenha ouvido falar dele, ele foi presidente... ele inventou a eletricidade... ele também fez todos aqueles memes da internet... é Abraham Lincoln, sem dúvida. Quer dizer, além de todas as coisas estúpidas que ele fez, pense no nome dele. A-BRAH-HAM Lincoln. Está no nome, meu irmão! Ele foi o começo de tudo...
58|Ele é o fundo do poço. Estou falando de um 2, talvez até de um 1. É assim que funciona, sabe? Algumas pessoas têm e outras não. C'est brother vie, como dizem.
59|Oh la la, um pouco de cabernet, você disse? Isso é incrível! Dois vinhos tintos... caramba, vou parecer um vampiro no final disso. Bem, esse é o fardo que devo carregar.
59.1|Oh la la, um pouco de cabernet, você disse? Isso é incrível! Realmente compensa o vinho que me foi tirado tão misteriosamente quando eu estava, hum, ocupado. Valeu, mano!
60|Mais vinho! Olha só, agora eu tenho um tinto e um branco. Sou como aquele cara do Matrix. A garrafa vermelha vai te mandar para um mundo de embriaguez diferente de tudo que você imaginaria... a garrafa branca... faz exatamente a mesma coisa! Eu sou o escolhido!
61|Isso é só uma garrafa de vodca vazia? Mano, isso é maldade... Retira isso.
61.1|Isso é só uma garrafa de vodca cheia de água? Mano, você não me engana, eu tenho um sexto sentido para esse tipo de coisa. Retira isso.
62|Whack Spankiel's... meu chapa, essas coisas são a bala de prata. Tenho lembranças ruins o suficiente para mergulhar de volta. Talvez se você tivesse um pouco de tequila ou mais vinho, a gente conversaria. Agradeço a oferta de qualquer forma, mano, mas vou ter que recusar.
62.1|Whack Spankiel's... meu mano. Que nunca se diga que o velho Patrick recusou uma bebida, mas cá entre nós... essa coisa é a minha bala de prata. Tenho memórias ruins demais para mergulhar nisso ainda. Talvez se você tomasse um pouco de tequila, ou um pouco mais de vinho, a gente pudesse conversar. Agradeço a oferta de qualquer forma, mano, mas vou ter que recusar essa.
63|Espera aí, então isso é tequila? Tem certeza?
64|Nesse caso, vamos para o sul da fronteira, mano! Ba na na na na na na nat nat TEQUILA! Ba na na na na na na nat nat NÃO É WHISKY!
65|Mano, eu agradeço o empurrão, de verdade, mas mesmo alguém como eu, que foi classificado como alcoólatra de nível nuclear, ainda precisa de um tempinho entre as bebidas. Deixa eu terminar isso, aí a Igreja do Patrick estará aberta novamente para doações.
65|Mano, eu agradeço o empurrão, de verdade, mas mesmo alguém como eu, que foi classificado como um alcoólatra de nível nuclear, ainda precisa de um tempinho de descanso entre as bebidas. Deixa eu terminar isso, aí a Igreja do Patrick estará aberta para doações novamente. 66|Cerveja... Nunca pensei que te veria de novo. Você significa tanto para mim, cerveja. Ah, desculpa, mano, eu estava me perdendo nos meus próprios pensamentos.
67|Nossa, mano! Você realmente mostrou quem você é ao me conectar com essa loucura. Talvez eu tenha que encontrar um lugar para você na minha formatura. Precisamos de mentes brilhantes e cheias de cerveja como você.
68|Rum? Eu amo rum! Me lembra do baile de formatura... quando eu bebi rum demais e vomitei em cima da garota que paguei para ir comigo. O ensino médio foi o máximo!
69|
70|Ah, isso dói, Ash, não fala assim. Você sabe que as coisas só aumentam de valor quanto mais tempo eu as tenho.
71|Também tem aquela vez que ela... ah, oi Madison, minha querida Brahama Mama que veio da casa da irmã da minha mãe. Que festa maravilhosa!
72|Ha-haaa, eu ouvi as palavras "Animal Celestial" e sabia que tinha que vir ver o que estavam dizendo sobre a Madison. Eu a amo de morte, mas cara, essa merda é muito, muito longe, mano. Tipo, fora deste planeta. Embora, eu acho que faria sentido, já que os animais... vivem no céu. Hmmm...
73|Droga, a tia Cece vai levar uma surra por isso...
74|Essa é uma grande nota 10-4, Ash. Boa sorte, mano.
75|A única bolinha de gude aqui está na cozinha, e na minha barriga, mano.
76|Nossa, então você gosta de... hum, não é um tipo mais difícil de massinha de modelar? Merda, mano. Esse era meu plano de verão para uma pegada quebrada, pelo menos para a minha mão esquerda. O objeto menor, bem, era aquele trágico, trágico obstáculo à tirania e à opressão que você chamaria de "armário de bebidas", mas acho que agora devo dizer que é o pinguim com cara de peido que a Ashley estava animada para trazer hoje à noite. Está na garagem, eu acho...
77|Heh, tem um vibrador aí. Bela arte, mano. Vou te chamar de Salvador Brahli.
77.1|Huh, tem um vibrador. Eu já... vi piores, Salvador Brahli.
77.2|Heh, tem um salame como cachorro-quente. Bela arte, mano. Vou te chamar de Salvador Brahli.
77.3|Heh, que pato ridículo. Bela arte, mano. Vou te chamar de Salvador Brahli.
78|E aí, Salvador Bhrali? Fazendo uma arte nova relacionada a vibradores? Estou no mercado, sabia?
79|Vamos festejar mais um pouco? Não precisa me pedir duas vezes. Mostre o caminho, vamos ver se a Stephanie ainda está com o vestido preso na calcinha.
79.1|Entendi, entendi, o velho Pat não é mais bem-vindo aqui e você está fazendo as pazes com a Mads. Ok, vamos ver se a Stephanie ainda está com o vestido preso na calcinha.
80|Droga, não tive tanta sorte hoje, mano. Valeu pela escolta mesmo. Até mais.
80.1|A Madison pediu para você me dar uma olhada? Droga, nem um pouco frio. Eu ficaria totalmente ofendido se não estivesse em uma busca mágica e heroica para encontrar mais álcool. Estou bem, mano.
80.2|Mano... a calcinha dela... comeu o vestido dela! Preciso sentar e pensar no que isso significa. Te vejo por aí... se a calcinha não te pegar primeiro.
80.3|Estou bem. De volta para começar minha festa. Solo, para o mano.
80.4|Uau... a luta entre o vestido e a calcinha dela... finalmente acabou. E no final, só houve um vencedor. Nós, mano! Estou certo? Enfim, obrigada pela escolta... Acho que estou exatamente onde preciso estar.
81|Mano, ele finalmente chegou! Estou esperando desde... espera, você não é aquele cara que você encontra no ponto de ônibus? Desculpe, estou vendo em dobro. Você é um mano novo! E aí, eu sou Patrick, também conhecido como Pat da Festa, também conhecido como Pat da Fraternidade, também conhecido como Patty Maionese.
81.1|Mano, é você. Desculpe, estou vendo em dobro. Pensei que você fosse alguém que conheci em um ponto de ônibus antes da festa. Eu o convidei, mas ele ainda não apareceu. Embora... talvez seja um efeito colateral da experiência bramântica recente do meu rosto.
81.2|Ah, uh... Oi. Desculpe, estou vendo em dobro. Pensei que você fosse alguém que conheci em um ponto de ônibus antes da festa. Eu o convidei, mas... uh, deixa pra lá.
81.3|Brahhh, oh, é você? Desculpe, estou vendo em dobro. Pensei que você fosse alguém que conheci em um ponto de ônibus antes da festa. Eu a convidei, mas ela ainda não apareceu. Embora... talvez ela seja um efeito colateral da experiência bramática recente do meu rosto.
81.4|Ah, uh... oi. Desculpe, estou vendo em dobro. Pensei que você fosse alguém que conheci em um ponto de ônibus antes da festa. Eu a convidei, mas... uh, deixa pra lá.
81.5|Mano, você finalmente chegou! Eu estava esperando desde... espera, você não é aquela garota que eu conheci no ponto de ônibus? Desculpa, estou enxergando em dobro. Você é um mano novo! E aí? Eu sou o Patrick, também conhecido como Pat da Festa, também conhecido como Pat da Fraternidade, também conhecido como Patty Maionese.
82|É, isso foi incrível. Aquela Rachael, ela é uma bomba, heh. Foi ótimo como ela fez isso onde as pessoas pudessem ver. Eu sou um... mano defensor da transparência. Um dia desses, muito depois de resolvermos nossas diferenças, ela e eu vamos olhar para trás e rir desta noite.
83|Hmmm, eu provavelmente deveria conversar com alguém sobre isso. Mamãe sempre dizia: "Siga os conselhos quando os tiver." Isso, e "só porque eu moro aqui não significa que eu seja seu pai." Argh, o treinamento de Krav-Ma Brah da Rachael realmente valeu a pena, porque essa dor é surreal. Antes de dizer qualquer coisa, preciso encontrar algo para fazer essa dor ir embora.
83.1|Hmmm, acho que poderíamos conversar quando você tiver um bromento. Mamãe sempre dizia: "Siga os conselhos quando os tiver." Isso, e "só porque eu moro aqui não significa que eu seja seu pai." Argh, o treinamento de Krav-Ma Brah da Rachael realmente valeu a pena, porque essa dor é surreal. Ainda bem que você me deu esses analgésicos, senão eu estaria em péssimo estado.
83.2|Isso é meio que entre mim e a Rachael, ok? Argh, essa dor é surreal. Preciso encontrar algo que me dê um alívio... tchau.
84|Acho que sim, mano. Por enquanto, preciso continuar lutando... como um guerreiro Sbrahtan.
85|Meu mano, entrando na briga! Se você tiver analgésicos. Qualquer um serve, provavelmente. É só ciência: qualquer coisa que venha em forma de pílula fará você se sentir melhor automaticamente, sem nenhum outro componente. Estou me referindo a este vinho, então terei algo para engolir.
85.1|Meu mano, entrando na briga! Se você tiver analgésicos. Qualquer um serve, provavelmente. É só ciência: qualquer coisa que venha em forma de pílula fará você se sentir melhor automaticamente, sem nenhum outro componente. Só... preciso encontrar meu vinho, então terei algo para engolir a ciência.
86|Obrigado, mano. Achei que o tapa ouvido ao redor do mundo seria o meu fim. Estou me sentindo melhor agora... se não um pouco gasoso... Vou dar um tempo.
87|Uau, pessoal, se acalmem! O Patrick tá prestes a fazer umas comprinhas de cocô!
88|Cara, você me traiu com suas pílulas de cocô! Eu tinha grandes planos pra você hoje à noite. Mas pode esquecer isso agora... Droga, que sorte que essas Pampers aguentaram. Preparem-se para a festa doentia...
89|Ah é? Bem, eu gostaria de sentir umas boas vibrações com o meu pênis.
90|Tanto faz. Então, o que a Rachael disse sobre a Muah? Espera, o que a Rachael disse sobre... cara? Legal, Patrick, você arrasou.
91|Cara, isso... não é novidade. Eu sou bem legal na verdade. Mas é pra isso que servem o álcool e um estilo de vida festeiro e louco... cara!
91.1|Tá, merda, vamos focar, precisamos aumentar a aposta!
92|Espera, você... A Rachael disse mesmo isso? Parece estranho, depois daquele tapa na cara...
92.1|Espera aí, você... A Rachael disse mesmo isso? Parece estranho, ela não me disse nada sobre isso...
93|Sai daqui! Isso é fantástico! Vou dar um abraço bem apertado nela! Espero que minha ereção não esteja muito forte.
94|Rachael, muito obrigada por ver a luz. Agora vem cá, é hora do clássico momento Patty Two-Tight Arm. Vamos lá, beliscões e beliscões, mano!
95|Nossa, isso foi brutalmente brutal... Não acredito que caí na velha pegadinha do "Ei, alguém gosta mesmo de você!" de novo. Ei, danem-se todos. Chega de socialização hoje à noite. Alcoolismo implacável, você é meu único amigo de verdade!
95.1|Nossa, isso foi brutalmente brutal... Eu devia ter pensado melhor antes de confiar em elites intelectuais. Esse mano estava pelo menos... um passo à minha frente. Ei, porra, ele acabou com as pessoas hoje à noite. Alcoolismo implacável, você é meu único amigo de verdade!
96|Mano, eu te conto a história, se você tiver tempo para ouvir. Ele é um cara.
97|Tudo bem, prepare-se, mano!
98|A escolha é sua, mano. Inscreva-se quando tiver tempo, posso ter, digamos, uma oportunidade de negócio para você. Até lá, vou encontrar mais álcool para enfiar nas minhas calças. Uau!
99|Há muito tempo, na terra distante do Vale de San Brahnando, vivia um menino, um mano em desenvolvimento...
100|Este bebê não tinha muito potencial, mas seus professores sempre o faziam se sentir mal porque palavras com mais de 4 letras pregavam peças e não faziam sentido! Ele também gostava de incendiar coisas e roubar revistas pornográficas do posto de gasolina. Por esses motivos, aquele garoto foi rotulado de "garoto brahblem"...
101|Pfftt, tudo bem. Acho que você não é muito bom em contar histórias. Aqui está o texto: Sou um gênio do caralho que é dono de uma empresa onde as pessoas podem compartilhar fotos nuas. Isso me deixou rico e também fodão.
102|Ah, bem... este site que eu tenho se chama BarrioObservador.com. Já ouviu falar dele? Digamos que não... Eu consigo ver isso em você, seu cachorro-brah sujo.
103|Mas o jovem brah não ouviu! Oh-ho-ho não, ele nunca desistiu! Enquanto outras crianças já estavam aprendendo matemática e tudo sobre a Constituição, este jovem brah estava aprendendo tudo sobre... a INTERNET...
104|Começou bem simples, buscando coisas que lhe interessassem. Tits.com, ass.com, titsandass.com... e logo ele se tornou um mestre em digitar... junto com mais alguma coisa, heh...
105|O jovem garanhão, sempre em busca dos MELHORES peitos e MELHORES traseiros da web, começa a explorar o novo mundo da otimização para mecanismos de busca. SE-BRO era desconhecido para muitos na época, e nele, o jovem garanhão viu OPORTUNIDADE...
106|Então, o que o jovem garanhão disse, meu caro? Ele construiu seu próprio site e empatou como um galo de cabeça redonda em uma briga de galos em Tijuana. E seu site... EXPLODIU. Em pouco tempo, tornou-se o site de compartilhamento de imagens de qualidade número um da web... desde que essas imagens de qualidade sejam de qualidade, é claro.
107|Agora, isso pode te chocar, mas e o jovem garanhão dessa história? Essa era sua de verdade! Passando de ser chamado de criança problemática com "uma das mais graves dificuldades de aprendizagem já documentadas" para o dono de um dos MAIORES sites de compartilhamento de arquivos. Não mais um jovem valentão, mas um valentão. Dá para acreditar?
108|E daí? O que você acha? Uma história impressionante de pobreza à riqueza, né?
109|Caramba! Depois que ganhei bastante dinheiro, comprei "Hooked-on-Brahnics". E não estou dizendo que comprei só uma cópia. Comprei a EMPRESA INTEIRA, valentão. Agora eles são uma empresa de acompanhantes online. "Hookers-on-Brahnics".
110|Você não está errado. Hoje em dia, eu só espalho minha semente pegajosa nos lençóis mais finos. Merda de luxo. Hashtag egípcia brahtton!
111|Vamos lá, valentão... Pretendo vender os direitos de filmagem da minha história algum dia. Vou chamá-lo de "Em Busca da Felicidade".
112|Como eu disse, o NeighborhoodObserver é conhecido mundialmente por ser o repositório das fotos mais incríveis de pinto, bunda, saias e tudo o mais. E quando digo "entre", é claro que me refiro às fotos do Gooch. Uma das maneiras de nos tornarmos os melhores é que os usuários enviem suas próprias fotos. Coisas caseiras, sabe o que quero dizer?
113|Tudo bem, mano. Não é um site ótimo e saudável, mas às vezes... os usuários vão contra o meu código de conduta. Sabe, amigos furiosos postando fotos de suas ex-namoradas, ou manos postando evidências de uma noite com a Miss Pensacola County 2016. Tudo isso acontece sem a permissão da garota, e eu não concordo com isso!
114|Se eu tivesse essa sorte. Você poderia apagar isso do site. Quer dizer, digamos que a internet é para sempre, mas minha empresa está trabalhando em uma tecnologia agora que... hum, deixa pra lá. Não, a Rachael é só uma boa pessoa, mano. Ela está defendendo as mulheres em todos os lugares. Droga, quando eu digo assim, acho que sou o babaca...
115|Ela quer desligar a internet para sempre. Limpar os discos, desligar os servidores. Aniquilação completa. Não é só ela. Ela tem um exército de pessoas por trás dela, e vou ser sincero, isso me deixa triste. Porque eu amo o NeighborhoodWatch! É meu bebê... mas eu tenho um plano.
116|Gravando algumas palmas, mano, conquistando ela com um doce, doce óleo de palma. O cara que eu conheci no ponto de ônibus me disse que é assim que se conquista alguém. Meu único problema é que eu não tenho a mínima ideia do que isso significa. Você pode me ajudar? O que significa "passar óleo na palma de alguém"?
116.1|Engordurando a palma da mão, mano, conquistando ela com um pouco daquela graxa de palma doce, doce. A garota que conheci no ponto de ônibus me disse que é assim que se conquista alguém. Meu único problema é que não tenho a mínima ideia do que isso significa. Você me ajuda? O que significa "engordurar a palma da mão de alguém"?
117|Porra, mano! Foi o que eu pensei que ela quis dizer... Cara, não acredito que tenho que me masturbar para um estranho só para me safar DE NOVO. Vou explicar por que se chama "engordurar a palma da mão" agora, porque minha palma vai ficar... espera um segundo... A Rachael não tem pênis! Não dá para tirar aquilo que está faltando... hum... suas partes íntimas... mano.
118|Ahhhhh! Tá bom, tá bom, eu entendooooo. Essa frase não faz sentido nenhum para mim, mas você parece ser um mano esperto. Então eu tenho que subornar... Certo, eu tenho que ter certeza, porque aquele homem com a capa preta e o martelo de madeira uma vez me disse que me pegou subornando pessoas, talvez em uma grande encrenca.
119|Porra, eu odeio o sentido que isso faz. Certo, bem, o cara no ponto de ônibus disse que isso daria certo, e você também confirma isso. Lá vou eu, mano, hora de lubrificar a palma da mão da Rachael.
