[General]
Name|Leah
9.4|Nossa... ah, você esperava que eu gritasse de alegria? Você não é tão gostosa assim, aprendizzinha.
10|Cara, não me faça colocar as mãos em você. Estou tentando manter a calma, mas você está dizendo que eu gosto de você e começando a fazer reféns.
10.1|Vamos lá! Eu não me inscrevi para repetir a aula! Ah, quer dizer, a menos que você esteja planejando mostrar suas habilidades para todo mundo. Isso é uma atitude de alfa. Respeito.
11|Ok, ok, faz tempo que não vou a uma dessas aulas de festa. Que bom estar de volta, ha-haaa!
11.1|Uau, ok, o sensei manda bem dentro e fora do dojo! Sorte sua? Talvez você até descubra por que o chamam de "O Socador"!
11.2|Uau! Boa forma, Frank. Bem, divirta-se. Ah, talvez você descubra por que o chamam de "O Punho"!
11.3|Ok, ok, essa festa está uma loucura! Eu poderia fazer mais louco, mas minhas lutas são 1x1, entendeu? Divirta-se e venha me encontrar quando estiver pronto para sentir o toque de um mestre.
12|Ai, minha doce mãe, Mustafa! Você me deixou louco. Você realmente me deixou louco. Eu nem consigo... tem umas pessoas para quem preciso ligar sobre isso.
13|Ai, você estragou tudo agora. Estou sob ordens estritas de gritar com qualquer um que beba. Aí vem a dor!
14|Puta merda, Frank, o que aconteceu?
14.1|Cabeçada de enfermeira, Sensei! Você viu isso? Não há porta que possa parar o mestre!
14.2|Não acredito que vocês ficaram parados enquanto o Sensei Frank era atingido. Era o tipo de golpe que eu previa, e eles continuaram vindo, mas enfim, essa merda não funciona.
14.3|Chale' Sensei, acho que você precisa praticar seu trabalho de pés.
15|Ah, droga, tudo bem! Mostrem o que vocês sabem fazer, meninas!
16|Ok! Ele deu um tapa naquele filho da puta do Tommy Brahama, que abandonou o ensino médio, de olhos arregalados! Que tipo de monstro usa camisas tropicais, afinal?
16.1|De novo não! Droga, o Frank vai ter que arrumar um problema para vocês hoje à noite!
17|POW! Mostrem para esse merdinha o que é bom, Sensei!
17.1|Ooooh Derek... se eu quiser ver uma bunda sendo fodida com mais força do que essa, preciso procurar por um minuto. Ei, uh, em que bloco de celas seu irmão está?
18|Ei! Sai de perto de mim com esses pulmões de fruta! Juro por Deus que se alguma dessas merdas de fruta estragar meu tempo de milha, eu acabo com vocês.
18|Ei! Sai de perto de mim com esses pulmões de fruta! Juro por Deus que se alguma dessas merdas de fruta estragar meu tempo de milha, eu acabo com vocês.
19|Ahhhh, tá, eu não sabia disso! Droga, eu adoro aprender coisas novas.
19.1|Tire as patas de mim, seu cachorro! Porra, você vai me fazer PERDER a cabeça logo logo.
20|...que você queria morrer hoje à noite.
21|Você derrotou o Frank sozinho? Droga, se eu não tivesse visto ele nocautear com meus próprios olhos, eu nunca teria acreditado!
21.1|Oi, eu sou a Leah, a lutadora do Sensei Frank em treinamento. As instruções do Frank eram bem claras: "Leah, na improvável, quase impossível chance de eu entrar em uma briga, você vai ter que me vingar... e também garantir que ninguém desenhe na minha cara." Mas o que é melhor: vingar o perdedor ou aprender com o vencedor? Então, foi você mesmo quem o nocauteou? 22|Que diabos... então você de alguma forma enganou o Frank para que ele levasse uma surra, e você é um mentiroso? Você está a caminho, seu babaca. Acertou em cheio...
23|Se importa se eu fizer algumas perguntas sobre a preparação mental e a parte física do prédio? O que... não me entenda mal, você é um filho da puta do Tinkleberry, mas não é tão ruim assim. Você deve ter uns movimentos de Bruce Lee. O corpo grande, tipo ogro, do Frank... ele consegue levantar peso, mas velocidade é o segredo. Flutua como uma borboleta e tudo!
24|Droga... tá, respeito, no entanto. Cuidado nunca é demais. Deveria ter sido mais esperto do que perguntar. Droga, disciplina. Pensamentos impulsionam ações! Merda!
25|Ah, sensei! Vou te chamar assim agora. É uma coisa. Vamos começar com a parte física! O que isso faz para um ataque mortal?
25| 26|Bem, é, eu sei, mas é bom ter uma confirmação! Alguma sugestão para deixá-los em melhor forma?
26.1|É, pergunta boba, sensei! Achei que os meus estavam em boa forma, mas minha barriga sempre precisa de um pouco mais de força. Alguma recomendação?
26.2|Uhh... tá. Não é a primeira coisa que eu pensaria, mas... nossa. Então, como você sugere que eu fique enorme aí embaixo?
27|Ok, é isso que eu tenho. Nada de especial até agora, mas estou feliz por não ter ficado parado sem fazer nada a noite toda. Ok, o que vem a seguir?
27.1|Ok, já estou sentindo um cheiro de merda aqui. Me recuso a acreditar que alguém como você nunca deu um soco no Frank... ou que eu já te chamei de sensei! Prepare-se para levar uma!
27.2|Huu ... Vamos lá, sensei, o que mais você tem para mim?
28|Bem, não me arrependo mais. Não sei se você teve sorte com o Frank ou se o seu estilo simplesmente não funciona para mim, mas acho que não vamos nos dar bem como aluno e professor. Paz, eu acho.
28.1|Ok, estou sentindo um cheiro de merda aqui. Me recuso a acreditar que alguém como você derrotou o Frank... ou que eu te chamei de sensei! Prepare-se para pegar uma!
28.2|Eeeeaaaah, olhe para você, garota! Meus horizontes se abrem, e caramba, uma bela bomba. Então... você, você realmente me incendiou esta noite, eu tenho que dizer! Não pensei que esta noite seria assim... você tem algum conselho final para o seu MUITO estimado aluno?
29|Haha... bem, eu meio que estou, e não estou, rindo de você. Primeiro, essa merda é bobagem. Não importa o quão impressionante seja o seu "shake de proteína", ele nunca será minha primeira escolha. Segundo, foi realmente essa a sua frase? Isso foi como... um filme do Quentin Tarantino com o Jet Li, mas com uma fonte de alívio cômico sem fonte e um narrador gripado. 
29.1|Haha... tá, tô rindo de você e não tô rindo de você. Primeiro, essa merda não tem graça. Não importa o quão importantes esses "exercícios de língua" sejam, eles nunca vão fazer parte da minha rotina principal. Segundo, foi mesmo essa a frase que você escolheu? Isso foi tipo... um filme do Quentin Tarantino com o Jet Li, mas com fonte Comic Sans e um narrador gripado.
30|Uh, hah... agora não. Putz, que jeito de cagar com uma vibe perfeitamente boa. Valeu pela orientação e tudo, mas tô fora.
31|Cara, você tá com sorte, eu AMO esse filme! E humildade. Até um ótimo professor precisa de um pouquinho. Mmmmmm, tá. Tudo bem. Vou concordar com sua oferta idiota de "reabastecer", e talvez... talvez seja hora de eu te mostrar uma coisa ou duas. Tá pronto pra essa porra de piroca? Posso te prometer: nisso... não tenho igual. 
31.1|Você acha que isso vai me impressionar? Você tem sorte que eu AMO esse jogo. Embora eu sempre tenha preferido o tipo "KITTY UPPERCUT!". Mmmmmmm, ok. Ótimo. Acho que é hora de te mostrar uma coisa. Contemple minha maestria na lendária arte de... penis-fu.
31.2|Ah, você acha que isso vai me impressionar? Você tem sorte que eu AMO esse jogo. Embora eu sempre prefira o tipo "CAT SNAP!". Mmmmmmm, ok. Ótimo. Acho que é hora de te mostrar uma coisa. Contemple minha maestria na lendária arte de... clitóris.
31.3|Cara, você tem sorte que eu AMO esse filme! E humildade. Até um grande mestre precisa de um pouco. Mmmmmmm, ok. Ótimo. Concordo com sua oferta boba de "reabastecer", e talvez... talvez seja hora de te mostrar uma coisa ou duas. Você está pronto para um pouco desse clitóris? Posso te prometer: nisso... não tenho igual.
32|Aham, bem... talvez não tenha sido uma fonte de proteína tão ruim, afinal. Esta foi realmente uma noite esclarecedora. Preciso me lembrar de pesquisar um pouco quando chegar em casa. Vou dar uma olhada, sensei. Este cálculo vai ser um saco... devo medir em mililitros ou cm³... ou gramas? Devo perguntar ao sensei sobre a dieta dele? Droga, se controle, Leah...
32.1|Aham, bem... esta foi realmente uma noite esclarecedora. Para nós dois, eu acho. Vou relaxar com os outros, mas te vejo por aqui, sensei. Em breve, espero. É isso aí, eu acertei nessa também. "Tiger PRONTO!"... Não, isso não funciona.
32.2|Bem, então... esta foi realmente uma noite esclarecedora. Para nós dois, eu acho. Vou relaxar com os outros, mas te vejo por aqui, sensei. Em breve, espero. É isso aí, você acertou em cheio. "ORGASMO DE TIGRE!" ...Não, isso não funciona.
32.3|Bem, então... Acho que minha língua se exercitou bastante, não é? Foi uma experiência muito esclarecedora. Talvez eu precise ir para casa e pesquisar mais sobre a língua... Até mais, sensei. A língua precisa de um dia de descanso entre os treinos? Devo perguntar ao sensei se ele tem algum peso pequeno para me emprestar? Droga, se recomponha, Leah...
33|Hmm, um pouco clichê, mas depois de ver o quanto ainda tenho para melhorar hoje à noite... definitivamente vale a pena ter em mente. Tenho algum método testado e comprovado que possa usar para me superar? E você, sensei? Como se superou, hein? Sabe, se esforçando ao máximo?
33.1|Hmm, um pouco clichê, mas depois de ver o quanto ainda tenho para melhorar hoje à noite... definitivamente vale a pena ter em mente. Você tem algum método testado e aprovado que eu possa usar para realmente me esforçar ao máximo? E você, sensei? Como você... se esforça até a beira do clímax?
34|Ensino Médio Central... dica? Se eu quisesse um conselho de nível de ensino médio, você acha que eu te pediria? Escuta, obrigada pela ajuda e tudo mais, mas estou desistindo. Estou fora. Até mais.
35|Droga, sério? Ok, me siga, rápido. Quer dizer, MUITO rápido... porque estou animado agora! A energia está fluindo! Preciso te perguntar uma coisa particular. Reputação e tudo, além de papo de mestre privilegiado em artes marciais, sabe?
36|Caramba, ele nem consegue acompanhar o aluno? Não tem como eu respeitar isso. Ou... nossa, esse Sensei Brad voltou? Nossa, odeio ser socorrido! Qual era? Não. Não posso perguntar. Isso vai arruinar a minha marca. Só sorria e aguente firme, Leah. Ou faça uma careta e aguente firme... você é um urso. Rawr.
37|Com licença, Srta. Lady ou Lety, tanto faz. Tenho uns negócios para discutir com você. Uma oportunidade que pode mudar a minha vida! Vamos a algum lugar onde possamos conversar de verdade, hein? Me siga!
37.1|Ei! Puta merda, alguém viu para onde o Lettuce foi? Merda, a garota com o nome fofo? Ei, ei. Se você vir... Lety, sim, diga a ela que eu realmente preciso bater nela por alguma coisa. Estarei lá fora.
38|Você realmente se levantou e me agarrou desse jeito? Estou literalmente prestes a apresentar meu plano de negócios para um estúdio de autodefesa para lidar com filhos da puta como você. Talvez a Lety queira uma demonstração do que eu vou ensinar.
39|Puta merda? Estou literalmente prestes a apresentar meu plano de negócios para um estúdio de autodefesa para lidar com filhos da puta como você. Talvez a Lety queira uma demonstração do que eu vou ensinar.
40|É, continue correndo! Você tem sorte de ter investidores em potencial para recorrer. Droga, nem me lembro em que parte do meu discurso eu estava! Esqueça essa garota, Lety, tenho que começar de novo com outra pessoa.
41|Ah, merda, Frank, você ouviu aqueles tiros? O Ricky Gorduroso e o resto daqueles garotos imundos do parque devem estar voltando para se vingar!
41.1|Frank! Frank?!... Desculpe, Frank, mas não tenho tempo para sangrar. Vou honrar sua memória, sua vagabunda distraída!
41.2|Frank! Frank?! Ah... desculpe, Frank, mas não tenho tempo para sangrar. Boa sorte com... o que quer que esteja fazendo. Tô fora!
42|Não, não vou tocar em nada que o cavalheiro coloque no bolso. Só tenho a sexta sensação de que a tela dele está muito grudenta. Não, eu não.
42.1|Para que diabos essa mancha de merda usaria esse telefone? Fique longe de mim, tenho coisas mais importantes para resolver.
43|Para que serve?
43.1|Você? Não. Não vou fazer nada por você agora.
43.2|Qual é o sentido, aprendiz? Rápido!
44|Normalmente, eu assinaria algo assim, mas Frank e eu andamos numa guerra de território com os nômades urbanos ultimamente. Eles gostam muito da nossa academia de ferro-velho e estão travando uma guerra de guerrilha séria para botar as mãos nela. Estamos falando de merda de vomitar fezes. Não posso assinar isso, por princípio.
44.1|Eles não deram uma escorregada ultimamente? Umas botas, talvez? Claro que não, que se danem.
45|Quer dizer, sim, eu assino. Ele é um cara legal, e as obras de arte nesta casa são de dar engasgo. Preciso de algo para olhar.
45.1|Humpf. Tá, tudo bem, eu assino isso. Você não está atendendo aos meus padrões de beleza mesmo. Agora sai da minha frente!
46|Não, eu não uso mais essas coisas. Eu tinha um tio que serviu no Vietnã. Ele usa uma camisa com a bandeira americana todos os dias. Mas ele também guarda o dinheiro dentro de casa para que o governo não tenha acesso, então não sei se ele gosta ou odeia os Estados Unidos. Enfim, não, não estou usando nada parecido.
46.1|Parece que estou usando algo com a bandeira americana? Não? Acho que não. Agora pare de me fazer perder tempo com essa bobagem.
47|Então, você é tutor de crianças ricas, ensinando-as a falar espanhol e tocar marimba, certo? Você deve ganhar muito dinheiro fazendo isso... renda disponível é uma coisa importante...
48|Ei, ei, escuta, estou abrindo meu próprio dojo de autodefesa naquele shopping perto da rodovia. Agora, como você gostaria de transformar um investimento de apenas US$ 4.000 em-
49|Não eram 3 quarteirões, eram tipo 1 e meio. Aquele cara estranho, o frango, já foi, acho que está preso. Era a propriedade dele, e quando a lavagem química secar e as pessoas puderem se aproximar do local sem queimar a pele, AQUELA propriedade vai ficar QUENTE. Vai ser um imóvel PRINCIPAL, e é por isso que preciso da sua ajuda...
50|Não, droga! Eu simplesmente estive onde as pessoas adoeceram. Vai ser um SER. DEFESA. ESTUDO. Eu ensino as pessoas a se defenderem. Em situações de combate? Chutando os agressores no pau?
51|Não, que diabos? Ok, pergunta simples: você está saindo do bar, algum babaca tenta te agarrar e te levantar para dentro da sua têmpora escondida, o que você vai fazer? ME DIGA! O QUE VOCÊ VAI FAZER?
52|CARACA! NÃO, VOCÊ VAI FAZER ISSO! RRRRAAAAAAHHH!
53|Puta merda. Parei e... merda, derrubei outro investidor em potencial. Ei, Lety, me desculpe por ter te derrubado, mas você estava sendo muito burra. Escuta, não sei se você consegue me ouvir, mas se tiver interesse em investir algum dinheiro neste projeto, por favor, *entre em contato* comigo. Talvez essa tenha sido a escolha errada de palavras... entre em contato. Estou indo agora.
54|Ei, cuidado onde você está jogando merda! Ah, você, estou no meio de algo importante e o som desses poppers me fez ter flashbacks do Frank e estou em guerra com os malditos circenses. Bem, adivinha com quem estou em guerra agora, seu punk?
55|Uma ameaça à segurança, hein? Deixa eu adivinhar, a garota de óculos chamou alguém de babaca de novo... ou o cara loiro de camisa florida ainda não consegue encontrar o celular. Meu Deus, o que eu não daria por uma boa facada. Isso é uma ameaça à segurança.
55.1|Acordo de Segurança?! Droga. Olha, eu não consigo trabalhar sem o meu Sensei Frank, e ele está passando por um traumatismo craniano, pelo visto. Vamos ver se ele se recupera, depois falamos sobre a ameaça à segurança dele.
55.2|Ameaça à segurança? Droga. Olha, eu não consigo trabalhar sem o meu Sensei Frank, e agora ele está um pouco indisposto. Vamos esperar até que ele se recupere, depois trataremos da ameaça à segurança dele.
55.3|Ameaça à segurança? Isso vai ter que esperar... você ouviu esse estrondo? Você sente essa fúria no ar? Esse é o som e a sensação do meu sensei no calor da batalha! Não vou interrompê-lo em seu momento de glória, então vamos esperar para lidar com a ameaça à segurança dele.
55.4|Uma ameaça à segurança? Normalmente eu aproveitaria a oportunidade, mas... sem o Sensei Frank aqui para me guiar, eu nem sei o que fazer. Espero que você consiga resolver essa merda sozinho. Me desculpe.
55.5|Resolva essa merda sozinho, como um chefe de merda, então. Não há nada mais fraco do que pedir para outras pessoas resolverem seus problemas. Merda, que covarde de merda.
56|Tem uma cobra solta nesta casa? Ok, merda, isso É uma ameaça à segurança! Oh, querida, eu estava esperando... espera, *suspiro* de acordo com meu contrato, eu tenho que escalar todas as questões de segurança para cima na cadeia de comando...
57|Eu sei, nós temos que... não, eu jurei servir ao Sensei Frank e sou uma mulher de palavra. Temos que falar com ele. Ele vai bolar o plano de ataque.
58|Isso é... realmente uma ameaça à segurança? Quer dizer, sim, isso é realmente uma bagunça e alguém provavelmente vai levar uma surra por isso. Vou dar uma olhada na cena do crime, eu acho. Quem diabos faria uma coisa dessas?
58.1|Ha! Que engraçado pra caralho. Quem me dera ter pensado nisso antes que alguém chegasse antes de mim! Preciso ver isso...
59|Quem diabos faria uma coisa dessas... de novo? Vou dar uma olhada na cena do crime, acho... pode ser uma imitação.
59.1|De novo? Hahaaaa merda, quer dizer, uma vez é divertido. Duas vezes é... divertido pra caralho! Vou dar uma olhada. Se você descobrir quem é, me avise para eu apertar a mão dele. Supondo que tenha lavado a mão depois, claro.
60|Sensei Frank, aí está você! Fiquei preocupado por um segundo, você não estava respondendo aos meus cumprimentos.
60.1|Sensei Frank, aí está você! Você não guardou a bebida? Está tudo bem?
60.2|Franco! Não me admira que você não tenha conseguido atender meus cumprimentos, você está no meio de uma surra!
61|Sensei Frank, temos uma, hum... criatura solta aqui dentro. Tem uma COBRA na casa.
61.1|Bem, se você pudesse, sabe, terminar isso, seria ótimo. Porque temos o que pode ser considerado um problema de segurança muito sério. É uma cobra, Frank!
62|Frank, mas-
63|Não, eu não bebo quando estou trabalhando. Isso me dá nos nervos e tudo mais. Aliás, não deixe o Sensei Frank te ver com isso. Só estou olhando.
63.1|Ei, me dá isso! Tenho ordens expressas de dar uma surra de bebida na bunda de qualquer um nesta festa. Considere isso seu único passe livre. Da próxima vez que eu te pegar... tenho que fazer o que o Sensei Frank disser.
63.2|Ei, me dá isso! Você não sabe que o Sensei Frank me colocou a serviço de alguém pego com álcool? Eu gosto de você, então vamos fingir que é daquele cara de camisa florida.
63.3|É, o quê? Ah, você está distribuindo presentes, aprendiz? Não posso prometer que vou beber agora... mas talvez mais tarde eu beba isso bem na frente da bunda de vagabunda do Frank e veja se ele se contorce.
64|Filhote, quando o Sensei fala, o submisso leal deve obedecer. Frank disse que leu na contracapa de um DVD adulto chamado Shaolin Suck-N-Fuck. Então, acho que é verdade.
65|O Sensei Frank fez muito por mim. Ele está até me ajudando a procurar um lugar onde eu possa abrir meu próprio estúdio. Não seria certo ir contra as ordens dele. É contra o código. O Código Kick-Ass.
66|Droga, o jeito que você disse isso foi tipo... se eu tivesse um pau agora, seria difícil. Temos que fazer a coisa certa por todas essas pessoas inocentes. Elas não sabem nada sobre legítima defesa, o que significa que nenhuma delas conseguiria desviar de uma mordida no pescoço. Encontrar essa cobra é a coisa certa a se fazer.
66.1|Acho que você está pensando nos Sith de Star Wars... mas entendo o que você quer dizer. Vou começar esse estudo de autodefesa em breve... talvez seja hora de começar a tomar minhas próprias decisões. É, isso é bom. É bom, tipo...
67|Certo! Se fizermos isso, vamos precisar de uma luz. Há muitos cantos escuros neste lugar, e eu não vou simplesmente me esconder nas sombras assim. Já vi esses filmes e não vou morrer antes dos créditos iniciais.
68|Duvido que Ashley e Madison tenham uma caixa de ferramentas cheia de tudo o que você precisa para evitar que a casa desmorone, incluindo uma lanterna. É melhor a gente pegar o celular de alguém para usar. Veja o que você consegue encontrar.
69|É, geralmente a gente conseguia, mas eu deixei meu celular na academia. Me distraí vendo um cara batendo um novo recorde no supino. Hmm... "Steve-600" mesmo.
70|É, é. Espera, e você? Cadê o seu celular?
71|Isso não responde à minha pergunta... e, no entanto, de alguma forma, responde.
72|O que... isso significa? Estou começando a achar que você inventou essa história toda. Isso é um pedido de ajuda?
73|É bem engraçado se for verdade. Ele mal podia esperar para tirar uma foto do bumbum dele até sair do banho? Tinha que ter aquele BRILHO, haha!
73.1|Isso é bem engraçado se for verdade. Você mal podia esperar para tirar uma foto dos seus peitos até sair do banho? Tinha que ter aquele BRILHO neles, haha!
74|É, é um sonho meu, abrir um lugar onde eu possa ensinar as pessoas desta cidade a bloquear um soco ou se esquivar e sair de uma situação difícil. O melhor ataque é uma boa defesa, como dizem.
75|Interessante E um salva-vidas. Estou tão feliz que está tudo dando certo: o Sensei Frank me levou para ver um espaço incrível para alugar outro dia. Pense nisso: eu poderia ser conhecida como Instrutora Leah até o final do mês! Quem sabe você pode ser minha primeira aluna, né?
76|Ah, não, não, não, acredite em mim. Com grandes poderes vêm grandes responsabilidades e tudo mais. Meu programa será 100% profissional. Fico feliz em saber que você também tem esses valores.
77|Caramba, você acha que esse é o objetivo? Olha, eu posso ser um filho da puta durão, mas não quero machucar as pessoas, principalmente se elas não merecem. Pessoas como você, eu me preocupo com o futuro. Você pode precisar provar do seu próprio remédio um dia desses.
78|Cara, eu já tenho uma cobra para caçar. Guarde seu pênis.
78.1|Por que você tem que fazer isso? Estou tentando proteger esta residência de uma ameaça, e você deveria ser meu parceiro aqui. Você está me deixando louco, cara...
78.2|Que FOCO. Temos uma cobra para caçar. Guarde sua boceta.
79|Ok, ok, agora você está se masturbando. Você realmente está com a cabeça no jogo, não é? Droga, estou ficando louco.
80|Uau, para mim? Não sei dizer o quanto isso vai ajudar a acalmar meus nervos. Chocolate é meu favorito. Valeu, cara.
81|Lá vamos nós! Vamos brilhar como um diamante com esse telefone. Tudo bem, não sou o Steve Irwin, mas cobras gostam de lugares escuros e úmidos para se esconder. Vamos começar pelo primeiro andar e subir se for preciso.
82|E você vai correr, meu chapa. Mas não se preocupe, se acontecer alguma coisa, eu estarei lá para dar um golpe de judô naquele filho da puta sem pescoço.
83|Aqui vamos nós, aqui vamos nós! Podemos acender... segure o botão de parada. Este telefone está bem trancado. Qual é a senha?
84|Vamos lá, cara. Saia da frente e destranque essa coisa!
85|Escuro e úmido, meu chapa. E não estou falando da xoxota daquela nerd. Vamos continuar procurando.
86|Ei, cara, vou ficar olhando para manchas a noite toda se você continuar com essa merda. Lustre isso em outro lugar.
86.1|Ei, pare com isso!
87|A garagem... é, é um lugar úmido, se é que eu já vi um. E não estou falando de "Ei, essa grama está úmida pra caramba". Quero dizer, de "Tem cheiro de saco de bolas velho aqui dentro". Estou bem atrás de você, campeão.
88|Caga na minha bunda e me liga na terça. Você viu o TAMANHO daquela coisa? Achei que estávamos falando de uma cobra de jardim pequenininha! Aquela coisa era o GODZILLA de todos os macarrões perigosos. As apostas mudaram, meu chapa.
89|O que há de errado com você, cara? Você é muito lento. Você não tem medo, né?
90|A maioria das pessoas tem que viver a vida com o tempo todos os dias. O que você precisa é de confiança nas suas habilidades.
91|Posso ser um cavaleiro de armadura brilhante, mas isso não é uma operação de uma mulher só. O que você precisa é de confiança, confiança nas suas habilidades.
92|Ahhh, agora a culpa é minha? Acho que a realidade é que você nunca enfrentou uma ameaça como essa antes, e isso te faz borrar as calças. Você tem que confiar nas suas habilidades!
93|O que eu quero dizer é que eu preciso poder confiar em você para me apoiar. E se você não estiver confiante, vou sentir como se minha bunda nua e macia estivesse balançando ao vento. E eu não estou tentando não ficar com marcas de presas na minha bunda hoje à noite, não é.
94|Isso não é suficiente. Como eu disse, confiança nas suas habilidades. Ou seja, mental... e física. Falando nisso... vamos lá, levante as mãos e me mostre o que você tem.
95|Confie em mim, não vai ser uma luta. Eu sou legítima defesa, minha querida, lembra? Você ataca, eu bloqueio. Consiga 5 golpes e eu saberei que você tem o que é preciso para me ajudar a levar essa fera de volta para onde ela veio.
96|Sério, cara? Sério? Eu te peço para provar e você surta e sai correndo? Esquece, eu vou lidar com essa situação sozinho.
97|Agora é disso que eu estou falando! Não foi bom?
97.1|Agora é disso que eu estou falando. Com certeza.
98|Estou te entendendo. Acredite, esse tipo de agressão também está no topo da minha lista. Se esse meu currículo de autodefesa funcionar, eu vou fazer esse treino durante o dia e aquele treino à noite. Excitação 24 horas por dia!
98.1|Lá vamos nós de novo, mais um cara que acha que eu sou algum tipo de fetichista de luta livre. A quantidade de vezes que me pediram para estrangular um cara enquanto ele se masturba... sério, eu poderia ter clientes todas as noites da semana.
99|Porra, pelo menos eu sei que posso contar com você. É melhor voltarmos à caça.
100|Realmente não é hora de fazer truques, mas entendo que esta foi provavelmente a primeira vez que você teve que mover esses bracinhos de macarrão em um tempo. Faça uma pausa e me avise quando estiver pronto para continuar caçando.
101|Bem, uma cobra tão grande... não pode ser daqui. Devemos ter algum tipo de... situação de "fuga do zoológico" em mãos aqui.
102|Você não pode estar falando sério. Essa coisa MORA aqui? Me ensina.
103|Uau, uau, uau, uau! Nossa sessão de sparring terminou na garagem, cara! Você nunca bate em um oponente quando ele não está pronto para isso. Isso é covardia.
104|Eu estava mantendo AQUELA cobra gigante nesta jaulazinha? Não é à toa que ela veio atrás de sangue. É como quando fizeram aquele bruxo com o pau na testa viver embaixo da escada. 
