[General]
Name|Amy
26|Hmm. Deixe-me ver o que sobrou que não foi feito. Ops. Não sei... os últimos requisitos estão ficando bem excêntricos. Eu quero muito fazer parte da irmandade, mas não tenho certeza se vale a pena me rebaixar. O que você acha?
27|Sabe de uma coisa? Você tem razão. Pensando bem, é meio idiota se esforçar tanto para fazer parte de um grupo. Não sou eu. Fico feliz que tenhamos tido essa conversa. Estou muito feliz em te conhecer.
28|Você tem razão. Foda-se. Honestamente, sair da minha zona de conforto pode me beneficiar. Para ser completamente honesto, algumas dessas coisas me excitam...
29|Hmm. Acho que as próximas são fotos que eu deveria tirar com meu celular. Primeiro, preciso de uma foto de alguém usando a bandeira americana de alguma forma.
30|Nossa, acho que não! Perfeito. Vou tirar uma foto!
31|Nossa, cara. Eu sei que você disse que faria qualquer coisa para me ajudar, mas não achei que fosse isso literalmente! Droga, pensei que estávamos chegando perto. Ok, divirtam-se vocês dois!
31.1|OOOoooh bem, uau, ok, eu... oh. Uau. Legal. Excelente. Isso é... simplesmente ótimo. Vou voltar para a festa, talvez eu me divirta sendo enganado por todos os outros aqui esta noite. Vocês dois se divirtam muito.
31.2|Oh, merda. Desculpe. Eu... pensei que estávamos nos dando bem. Devo ter interpretado mal. Jesus, e eu normalmente nem me apaixono por garotas. Deus, isso é constrangedor. Vou deixar vocês dois em paz. Preciso organizar meus pensamentos. Merda!
32|Bem, ainda sou novo na cidade, mas tenho certeza de que encontrarei outras maneiras de fazer amigos. Agora, quero ir para a fogueira. Isso me lembra de casa, em Rhode Island. Naquelas noites frias, acendíamos uma fogueira no quintal com um chocolate quente. Bons tempos. Enfim, você quer vir?
33|Eu sei, né? Tem algo numa fogueira que me relaxa. Talvez eu seja piromaníaco! Acho que sempre apreciei as pequenas coisas. O que você gosta de fazer para relaxar?
33.1|Olha... eu sei que você está tentando me impressionar. Mas não, não estou a fim, grandão.
33.2|Olha, eu entendo o que você está fazendo, mas... desculpe, não me desculpe.
34|Ah. Isso é... interessante...
35|Olha, cara, eu entendo que você está tentando me impressionar, mas não precisa se esforçar tanto. Eu só quero saber mais sobre você.
35.1|Ei, garoto, escuta. Eu entendo que você está tentando me impressionar, mas não precisa se esforçar tanto. Eu só quero saber mais sobre você.
36|Ah, olha você com os acessórios! Você não estaria tentando ganhar pontos comigo, estaria?
37|Bem, você é um doce. Estou feliz por ter te conhecido. Eu estava preocupado em não fazer muitos amigos aqui. Parecia mais fácil em casa. Talvez seja só eu, mas parece diferente de alguma forma.
38|Ei, eu sou de Rhode Island, não de Long Island, garoto. Você estava me ouvindo ou esperando uma oportunidade para enfiar a língua na minha garganta?
38.1|Ei, eu sou de Rhode Island, não de Long Island. Você estava ouvindo alguma coisa que eu estava dizendo ou está apenas esperando uma oportunidade para enfiar a língua na minha garganta?
39|Ok, talvez tenha sido uma má ideia. Prazer em conhecê-lo. Estou indo embora.
40|Sabe de uma coisa, você tem razão. Não vejo por que é diferente aqui. Tenho certeza de que há pessoas de qualidade em todos os lugares. Você só precisa procurá-las.
41|É, desculpa, garoto. Acho que não.
41.1|É. É que eu não estou a fim. Garota, desculpa. Vou deixar passar.
42|Sabe de uma coisa? É totalmente diferente para mim transar com um cara numa festa, mas te conhecer foi muito divertido e diferente. Tudo o que você fez me ajudando com a caça ao tesouro foi incrível, e acontece que você consegue ter uma conversa com seu pau sem pensar a cada cinco minutos. Isso é muito legal!
42.1|Sabe de uma coisa? É totalmente diferente para mim ficar com uma garota aleatória numa festa, mas te conhecer foi muito divertido e diferente para mim. Quer dizer, tudo o que você fez para me ajudar com a caça ao tesouro foi incrível, e acontece que você consegue simplesmente relaxar e conversar. Isso é uma grande vantagem!
43|Eu nunca fiz isso antes, mas acho que esta é minha última chance de agir como uma universitária. Me siga.
44|Argh. Por favor, não mencione minha mãe. Vamos parar de falar antes que eu mude de ideia...
45|Olha ali. Tudo isso e um pouco de senso de humor! Considere-me apaixonada!
46|Nossa! Você encontrou chocolate quente? Obrigada por tentar me fazer sentir em casa. Agradeço! Você se superou completamente, mas não estou reclamando!
47|Acho que é uma ideia incrível. O que você tinha em mente?
47.1|Então, você gostou do que viu? Estou inspirando mais ideias incríveis?
47.2|Quem diria que se pavonear poderia ser tão divertido, né? Falando nisso... você tem algum pedido?
47.3|Me divertindo? Ok, eu também.
47.4|Ah, sim, sim, com certeza! Vou seguir seu exemplo... claramente minha mente está focada em outras coisas.
47.2| 48|Acho que deveríamos fazer algo pelas outras pessoas primeiro...
49|Bem... Acho que hoje é seu dia de sorte...
50|Hã... Não me entenda mal. Eu gosto de você. Não tenho problema em me divertir um pouco, mas acho que isso pode levar as coisas um pouco mais longe do que eu gostaria. Que tal fazermos algo diferente?
51|Ah... é tão grande. Hum... ah, eu disse isso em voz alta?
52|O que aconteceu? Estou meio ocupado...
53|Desculpe, garoto. Parece que sua atenção está em outras coisas além de me ajudar. Estou bem de agora em diante. Obrigado.
53.1|Olha, garoto, me desculpe, mas parece que sua atenção pode estar mais focada em outras coisas além de me ajudar, pelo que vejo. Estou bem de agora em diante. Mas, mesmo assim, obrigado.
54|Mrph ermph emperermp rahngerurmpgh!
54.1|Estou um pouco ocupado aqui...
55|Era disso que eu estava falando quando disse que estas ficam um pouco mais ousadas. Preciso de uma foto minha com uma calcinha "Goodbye Kitty". Não sei onde vou encontrar algo assim. Me avise se tiver alguma ideia.
56|Nossa, você está incrível hoje! Elas parecem um pouco pequenas, mas acho que não terei uma opção melhor. Ok, vou experimentar e tirar uma foto.
57|Vejo que você decidiu se juntar a mim. Não se preocupe. Depois de tudo o que você fez por mim, acho que você merece um show.
58|Continuando... Agora, preciso de uma foto minha nadando nua com pelo menos mais duas pessoas. Hmm. Acho que vou fazer isso, mas preciso de mais duas pessoas para fazerem isso comigo. Acho que você não está a fim, não é?
59|Por que você não fica com a blusa por enquanto? Vamos descobrir quem mais vai.
60|Nããão, de jeito nenhum, cara. Eu não vou ficar pelado primeiro. Preciso desse item, mas não tenho confiança para ficar pelado primeiro. Convença a Brittney a tirar a roupa primeiro, e eu faço isso.
60.1|Nããão, cara! Eu não vou ficar pelado primeiro. Eu realmente preciso desse item de caça ao tesouro, mas não tenho coragem de liderar essa. Você tira a roupa da Brittney primeiro, e eu vou atrás.
61|Ok, tudo bem para mim. Sério, isso é meio emocionante. Vamos lá!
62|Ah! Hum... certo!
63|Eu te desafio. Me dá!
64|Ok, vou fechar os olhos e fazer isso. Aqui vou eu!
65|Não acredito que vou fazer isso. Aqui vou eu...
66|Ah! Certo! Fiquei tão imersa no momento que esqueci disso!
67|Ah! Que pergunta! Sério, eu adoro beijos no pescoço. Nunca disse isso em voz alta para ninguém.
68|Não, na verdade não. Mas tudo tem uma primeira vez, né?
69|Claro. Eu teria que deixar todos nus para completar essa caça ao tesouro!
70|Sinceramente, achei um pouco estranho você querer me ajudar com a minha caça ao tesouro no começo, mas você é um cara tão legal, e eu estou destruindo essa caça!
70.1|Sinceramente, achei um pouco estranho você estar tão ansioso para me ajudar com a minha caça ao tesouro no começo. Mas você acabou se revelando muito legal. Acho que posso dizer que agora somos amigos.
71|Para ser sincero, Brittney. Os peitos dela ficam tão lindos por dentro dessa blusa que não consigo parar de pensar em como eles ficam quando saem!
72|Por que você não escolhe a Brittney dessa vez? Parece que estou no meio de um conflito!
73|Ah, merda, você tem razão! Fiquei tão entretido no momento que esqueci. Deixa eu preparar uma cena!
74|Bem, isso foi muito divertido, mas estou ficando tímido aqui parado assim. Devíamos fazer isso de novo algum dia. Vou entrar...
74.1|Bem, isso foi muito divertido, pessoal, mas estou ficando muito constrangido. Devíamos fazer isso de novo, no entanto.
75|Ah. É, acho que sim. Desculpe... Eu estava... hum... olhando. Ok, aqui vou eu...
76|Porra, de jeito nenhum! Vamos mesmo conseguir? Vamos lá!
77|É, desculpe. Isso tudo é novidade para mim. Nunca estive tão... aberta, eu acho. De repente, fiquei muito tímida. Ao mesmo tempo, estou tendo sentimentos que nunca tive antes. Sentimentos estranhos... como se eu estivesse realmente excitada com tudo isso. É tudo tão confuso.
78|Sério. Quer saber, esquece. Tenho que descobrir isso sozinha; este não é o lugar...
79|Mas acho que estou gostando. Sabe... Não consigo mentir sobre como isso me faz sentir. É difícil superar aquela vozinha na minha cabeça que me diz que isso é ruim por algum motivo.
80|Não sei. Acho que preciso pensar um pouco mais sobre tudo isso. Obrigada por toda a sua ajuda, mas acho que devemos deixar isso para lá por enquanto.
81|Eu... acho que você tem razão. Eu deveria ouvir meus sentimentos e me aceitar! Obrigada pela sua ajuda. Descobri coisas sobre mim esta noite que eu nunca soube, mas vou pensar sobre isso mais tarde. Por enquanto, vou fazer algo que nunca fiz antes. Dane-se! Estou entre amigos de qualquer maneira, certo?
82|Sabe de uma coisa, você tem razão. Além disso, se eu fosse um cara, estaria rasgando a minha camisa. Argh, isso é tão injusto. Acho que vou me divertir um pouco, mas não quero enlouquecer. Não tem sentido na minha camisa, certo? Obrigada pela conversa!
83|Hum, não poderíamos ir para um lugar um pouco mais reservado?
84|Ei, a banheira de hidromassagem te deixou excitado por alguma outra coisa? Meu Deus, não acredito que disse isso. Ainda estou tentando me acalmar. Obviamente, ainda tenho muito trabalho a fazer.
85|Ei, bonitão. Devo dizer que gostei do prêmio no final da caça ao tesouro. E não estou falando apenas de entrar para o clube. Bem, estou falando de "entrar", mas não do clube.
85|Ei, bonitão. 86|Droga, é isso que posso esperar agora que estou a caminho de receber minhas cartas? Eu amo a faculdade!
87|Parece que você já tem planos esperando por você. Eu vou... comer merda.
88|Ai! Ufa, machuquei a ponta do meu dedo do pé. Por que essa é a pior dor do mundo?
88.1|*Para si mesma* Bem, Amy, talvez eu devesse procurar amigos em outro lugar.
89|Ummmm, obrigada, Stephanie. Farei exatamente isso mais tarde.
90|Ei, cara, ouvi você conversando com a Stephanie. Ela é muito prestativa quando não está, sabe, chapada.
90.1|Ei, cara, ouvi você conversando com a Stephanie. Ela é muito prestativa quando não está, sabe, chapada. Ah, é a Amy. Sou novo nesta cidade, então não interprete esta conversa que estou forçando como algo mais do que meu desespero para fazer novos amigos. Só consigo passar um número limitado de noites com meu gato, sabia?
91|Você sabe que sou novo aqui, né? Não sei sobre a vida dela. Mas eu sei sobre as pessoas, e se eu tivesse que chutar, conviver com as mesmas pessoas a vida toda e ficar onde você nasceu e cresceu pode fazer você pensar muito sobre o futuro. Foi por isso que eu saí da minha cidade. Isso e o que eu fiz com o prefeito, mas eu não falo sobre isso.
92|Não sei, cara! Deixe as pessoas viverem suas vidas. Mas elas não estão sendo realmente aproveitadas agora... Se houvesse uma emergência médica, aposto que a Stephanie sabe que pode fazer algo para ajudar. Mas isso é totalmente hipotético. Porque criar uma emergência médica do nada seria um desastre... né?
93|Mas se uma emergência médica acontecesse do nada, sem a ajuda de ninguém, seria bem engraçado se acontecesse com aquela garota, a Katherine, que disse, e eu cito: "Só porque você é chinesa não significa que você seja mais inteligente do que eu." Isso seria bem engraçado... mas só se uma emergência médica acontecer "do nada".
94|Correto. Só se acontecer "do nada", bem, vou embora agora e agir como se nunca tivéssemos conversado sobre isso. Porque não conversamos. Tchau!
94.1|Correto. Só se acontecer "do nada", bem, vou ficar aqui enquanto você vai embora e agir como se nunca tivéssemos conversado sobre isso. Porque não conversamos. Tchau!
95|Katherine, dá uma chance a ela. Steph sabe brincar de médica. Ela está pensando em estudar esse tipo de coisa. Ela até aceitou que terá que largar as drogas e o álcool para isso! Não é ótimo?!
96|Foda-se! Stephanie desmaiou! Alguém venha ajudar!
96.1|Ah, merda, o que foi isso? Foi... foi a Stephanie? Rápido, alguém ajude ela!
97|Você viu como eu fiz a Stephanie ir ajudar a Katherine? Não sou muito de me vingar, principalmente quando estou tentando ser amiga, mas não gosto muito da Katherine. Steph, não sei muito sobre ela, mas ela parece meio babaca. Só pensei: por que não ver o que posso fazer pela minha amiga Katherine? Hehehe
98|Arte? Meu pai é curador de um museu de arte e minha mãe é uma fotógrafa premiada dos anos 80. Ela tem histórias malucas daquela época, como a vez em que tomou ácido com o Sr. T... aff, preciso relaxar. É, eu entendo de arte.
99|Nunca ouvi falar de nenhuma festa que exija uma escultura. Eu deveria ter feito uma escultura? É uma festa do tipo "traga sua própria escultura"? "BYOS"? Espero que ninguém tenha pegado o pinguim que a Ashley trouxe para a garagem. Era isso que eu usaria como base para a minha escultura, mas ela pareceu querer.
100|Caramba!
101|Hum, hum, não conte a ninguém, mas eu definitivamente acabei de tomar um Hyperall. Eles me foram prescritos para me ajudar a estudar, mas também me tornam muito sociável. E hoje à noite eu vou fazer uns amigos, nem que seja a última coisa que eu faça. Ou a primeira coisa que eu faça. Quer ser meu amigo?
102|Tenho quantos eu precisar. É tudo o que tenho a dizer sobre o jeito.
103|Não consigo piscar, meu Deus, por que não consigo fechar os olhos? O... hum... bem, não consigo parar de olhar para isso! É, sim, é ótimo, sim! Estou tão feliz por estarmos todos aqui com essa arte!
103.1|Não consigo piscar, meu Deus, por que não consigo fechar os olhos? Ma... hum... bem, não consigo parar de olhar para isso! Mesmo que eu queira muito! Merda, eu disse isso em voz alta?
104|Hmmm... é algo sobre o Purgalicious, ou algum drama feminino. Mas ele não me contou muito sobre o segundo...
105|É, cara... o gato dele? Ele nunca te contou sobre o "pequeno Pergie"? Hã. Enfim, aconteceu alguma coisa com o Pergie. Não conversamos sobre isso, mas eu o vi chorando e conversando com a Steph sobre algo mais cedo... Acho que tinha a ver com o Pergie.
105.1|Purgie? É, ele está obcecado por aquela bolinha de pelos. Achei que algo pudesse ter acontecido. Eu o ouvi conversando com a Stephanie mais cedo, mas ainda não tive a chance de colocar o papo em dia. O Purgie sumiu? Cara, que chato. O Derek provavelmente precisa de um abraço agora.
106|Ei... O Derek disse que você me chamou de "Boneca de China" e que "quer me amar por muito tempo". Espera, não estou me precipitando quando pergunto, qual é o problema, cara?
107|Uhhh, que... não, ele LITERALMENTE não está. Você estava transando agora? Nossa... hora de ir. Fique longe de mim.
108|Uh, sim, incrivelmente. Como você não entende isso?!
109|Bem, tudo bem. É, eu gostaria que isso não tivesse acontecido, mas pelo menos parece que você está disposto a crescer um pouco... Acho que te vejo por aí. Seja uma boa menina.
110|Ah, tá, sim, sim! Qualquer coisa para me distrair de ranger os dentes! Esses malditos Hyperalls, cara!
111|Então é isso? Está... chegando. Espera, ele piscou para mim?!
112|Bem, precisa de ação. Por que chamam de "O Pensador"? Ou "O Grito"? É porque isso está literalmente acontecendo na arte. Nossa, pareço tão profundo agora. Meu pai ficaria tão orgulhoso.
113|Desculpe, o que estou dizendo é que você precisa de ação aqui. O que esse passarinho vai fazer? Desculpe, estou tentando me conter para não usar bobagens. O que esse passarinho bobo vai fazer?
114|A verdade nua e crua sobre a arte é que a melhor arte é aquela que é sexual. É por isso que existem cucos e pelos na maioria das artes antigas. Elas eram todas sobre sexualidade. Você tem que dar um pouco de sexualidade a esse pinguim. Quer dizer, ele tem um buraco na virilha. Coloque um pouco de pássaro nesse passarinho malvado! 
114.1|O segredo sujo da boa arte, que poucas pessoas sabem, é que a melhor arte geralmente é aquela que provoca algum tipo de resposta sexual no observador. É por isso que há tantas caudas e pelos pubianos na arte antiga. Este pinguim precisa de sex appeal. Quer dizer, ele tem um buraco na virilha. Isso é o oposto de sex appeal. É quase como se algo estivesse faltando. Não vou especular sobre como resolver isso — isso é problema seu —, mas tenho certeza de que você é criativo o suficiente para descobrir algo. Mas, na minha opinião... não use comida. Isso seria um pouco estranho e nojento.
115|Muita arte moderna tenta dizer algo. Trata-se de enviar uma mensagem para a pessoa que aprecia a arte. Este pinguim não está dizendo muita coisa agora. Ele tem uma placa e tudo. Tente usar esse espaço para enviar sua mensagem.
115.1|A maior parte da arte moderna tenta dizer algo. É tentar mandar uma mensagem para a pessoa que aprecia a arte. Este pinguim não está falando muito agora. Mas ele tem uma placa e tudo. Tente usar esse espaço para passar sua mensagem. Mas não seja tão óbvio, tipo, eu não recomendaria nada hipercomercializado. Sem muito dinheiro ou política, isso já foi exagerado.
116|Ugh, que porra é essa? É como se alguém tivesse colocado uma vela perfumada no meu olho!
117|Ugh, eu não queria acreditar na Katherine, mas ela estava certa. Os caras literalmente só querem uma coisa, e é nojento pra caralho! Você é nojento!
117.1|Pare com isso! Meu Deus! EU NÃO GOSTO disso. O que há de errado com você?
117.2|Porra... por favor, pare! Por favor! Meu Deus... Eu não consigo fazer isso... Eu só queria conhecer pessoas e talvez terminar algumas caças ao tesouro previsíveis. Eu não posso... Vou embora. Eu NUNCA vou te perdoar por fazer isso.
117.3|Porra... por favor, pare! Por favor! Meu Deus... Eu não posso fazer isso... Eu só queria conhecer pessoas e talvez terminar algumas caças ao tesouro previsíveis. Não posso. Cadê o Derek?! Argh, esquece. Vou garantir que ele saiba disso!
117.4|Ei, o que houve? Mãos para você, gata! Eu não sei se você gosta disso!
118|Ah, sim, isso é tão bom. Como... como eles se sentem? Ah, seja safada quando responder... ninguém fala sacanagem comigo!
119|Meu Deus, perfeito. Por favor... sim!
120|Ah, quer saber... esquece. A gente só tem que... entender a essência.
121|Isso é realmente maldade sua... ou você está apenas "vivendo a sua verdade"? Merda. Relevante, mas não engraçado nem sexy, Amy. Bom, pelo menos você acha TUDO ISSO sexy, certo?
121.1|Cara! Tempo! Tem gente por aí!
122|É, em que contexto? Eu sei o que são, se é isso que você está perguntando.
122.1|Uhh, nossa... é dois a dois hoje à noite, hein?
123|Ahhh, claro, a espada Katana, usada por guerreiros samurais. Do Japão. Que sábio da sua parte vir até mim com essa pergunta, gafanhoto. Por favor, deixe-me ver a espada.
123.1|Você já jogou a bola uma vez hoje à noite, e AGORA está presumindo que eu entendo de armas ninja. Não. Estou. Interessado.
124|Sim, sim, esta espada tem muitas histórias para contar. Mas receio que minha visão não venha de graça.
125|Não posso continuar com isso. Eu ia te ferrar pelo resto da noite, mas você já me ajudou a riscar algumas coisas da minha lista de caça ao tesouro, então ganhou algum crédito comigo.
125.1|Está claro que você não está pronto para aprender mais sobre esta reverenciada arma ancestral. Continue me ajudando com minha caça ao tesouro para aprender mais sobre seu significado e sobre você. Então, e só então... você estará pronto. Sem perguntas. Agora cace, gafanhoto!
125.2|Está claro que você não está pronto para aprender mais sobre esta reverenciada arma ancestral. Somente embarcando em uma jornada épica de descoberta você será capaz de entender o significado da katana e de si mesmo. Felizmente, tenho um teste pronto para você... uma caça ao tesouro!
126|Sem dúvida! Isso é quase ofensivo! 1. Sou descendente de chineses e 2. Nasci em Rhode Island.
127|Mas não preciso ser um guru samurai japonês para saber que essa espada é algo que um garoto gordo compraria num parque de diversões. Olha, até diz "Propriedade do Kurt" aqui. Essa espada é lixo! E grudenta, então pode retirar.
128|Você acertou. O Derek foi uma das únicas pessoas que se dignaram a conversar com um novato como eu. Ele é um cara legal. Ele me disse que vocês se meteriam em coisas realmente estúpidas no passado.
128.1|É, não sei se você sabe disso, mas o Derek e eu dividimos uma aula juntos. Nós dois fomos em busca de notas A fáceis, então fizemos Introdução à Nave Espacial Fictícia, o que é irônico porque a matemática por trás das viagens na velocidade da luz é INCRÍVEL. Aliás, é legal combinar um rosto com todas as histórias que ele contou sobre você. Ele me contou umas histórias bem profundas do espaço sideral.
128.2|Você é a pessoa que o Derek disse que era macia como manteiga? Imagino que um cara tão em forma quanto o Derek esteja usando algum tipo de creme de soja na torrada matinal, porque VOCÊ não é o cara.
129|É verdade que vocês tentaram formar uma boy band antigamente? E o nome da banda era mesmo "Softass Boys"? Como grande fã de música, eu aprecio isso. Como grande fã de boy bands que odeiam, só consigo achar que é a coisa mais ridícula que já ouvi. Mas também meio fofa.
130|Ah, não! Espero que esteja tudo bem. Vou procurar... obrigada por me avisar!
131|Ah, não! Quando você expõe sua arte para o mundo, você quer separá-la do mundo! Porque o mundo é MUITO bonito. Aí, em algum lugar oposto à Terra... em algum lugar PLANO! Ah, não, e! AYYYYYYY... se a peça tiver uma conexão pessoal com alguém, exiba-a em algum lugar ESPECIAL para essa pessoa! Estratégia artística de ponta de 2020, mano!
132|Você está cheio de boas ideias hoje à noite, não é? Sorte sua... minha cabeça está exatamente na mesma coisa. Só um segundo...
133|Obrigado, mas estou bem. Este "cenário" me serve muito bem por enquanto.
133.1|Ah, uma mudança de ares, hein? Que ótima ideia! Vamos começar com, hmmm... sei lá... algum lugar onde você não esteja?
133.2|Como um vilão! Quer dizer... uh... é... desculpe. Estou totalmente pronto! Para onde devemos ir?
134|Ah, essa é, uh... uma pergunta e tanto! Isso é tipo verdade ou desafio? Acho que eu teria que escolher o tamanho do pênis. ... Posso ter uma pergunta diferente agora?
135|Como é? Sou sino-americano, não "étnico", e sou da porra de Rhode Island!
136|Ei, ei, ei, calma. Me corrijam se eu estiver errado, mas acho que não somos próximos o suficiente para termos essa conversa. Talvez tentar amolecer uma garota antes de me aprofundar nas minhas preferências sexuais?
137|Ok, não vou ter essa conversa com nenhum de vocês agora. Vou procurar outra coisa para fazer enquanto vocês dois resolvem isso.
138|O quê? Eca, não. Deixa eu adivinhar. Esse babaca te arrastou para isso. Jesus Cristo, sua missão hoje à noite é me ofender de todas as maneiras possíveis? O que te faz pensar que eu ficaria remotamente bem com algo assim? Sai de perto de mim.
138.1|Ummmm, puta merda, o que está acontecendo agora? Acho que preciso de um adulto. Espera, eu sou um adulto. Droga. Odeio ser um adulto e você estar me fazendo lidar com isso. Hum... uh, quer dizer, vocês dois parecem legais, mas eu não me sinto confortável o suficiente com nenhum de vocês para... bem, isso. Ok, estou indo agora porque não sei mais o que dizer. Ok, tchau!
138.2|Quer dizer, sim, eu ESTAVA superentusiasmada, mas isso foi antes e agora é agora. Você tem agido como uma vadia desde antes, e eu não gosto dos seus joguinhos. Honestamente, toda essa situação está ficando suspeita a essa altura. Por que você não deixa com o trio por enquanto, pelo menos até me convencer de que não está só brincando comigo?
139|Merda, eu uh. Nossa... Quer dizer, eu pensei que ser um pouco mais ousada abriria novas oportunidades, mas nunca pensei... Quer dizer, nossa, nós dois juntos? Ao mesmo tempo? Mas como poderíamos...? Quer dizer, sim. A resposta é sim. Só sei que é a primeira vez que faço algo assim e-
139.1|Nossa, você REALMENTE quer que eu me dedique a essa vida de irmandade, não é? Bem, eu disse que aceitaria hoje à noite. Além disso, nunca fiquei com uma atriz pornô antes. Aposto que você poderia me mostrar uma coisa ou duas. Que droga, nunca fiz um ménage à trois! Merda, estou fazendo isso de novo, não estou? Onde é que eu fico falando porque estou nervosa? Hum. É. A resposta é sim. Ficar com você foi o ponto alto da minha mudança para cá. E agora... agora com vocês duas. Nossa. Merda, nem acredito que isso está acontecendo na MESMA noite. Quer dizer, eu sei que provavelmente...
140|Uhhhh... uh huh...
141|Sabe de uma coisa? Acho que o vi dando para a Brittney guardar. Deve ser algum tipo de coisa estranha de confiança loira, porque Madison se ofereceu para trancar no cofre dele e ele a ignorou completamente. Foi meio engraçado, na verdade, e provavelmente a única razão pela qual me lembro de tudo isso.
142|Excelente. Você voltou E está se expondo. Ganhei na loteria?
143|A Madison precisa de mim? Ah, tá. Estranho, mas... claro. Diga a ela que estarei lá em cima.
144|Meu Deus. Meu Deus. Me desculpe, Madison, eu não queria... Quer dizer, eu não vi nada... Quer dizer... Eu vou... recuar e fingir que não vi nada. ... Meu Deus, uh... é... Desculpe, desculpe, desculpe...
144.1|Caramba, eu não tenho ideia de que tipo de exposição de arte é ESSA, mas a escola de arte para a qual meus pais me mandaram certamente não me preparou para nada assim.
145|O quê, outra? Não era bem o que eu esperava indo para uma festa na casa da Madison, mas estou super a fim. Pode contar comigo.
