[General]
Name|Madison
16.5|Esqueci que estou de fio dental. Quer verificar para mim?
16.6|Ei. Desculpe, vou sair do seu caminho.
17|Que diabos? Se vocês vão conspirar contra mim, pelo menos façam isso em algum lugar onde eu não possa ouvir. Que par de idiotas. Ashley, vocês estão tão chateadas com isso.
18|Tenho quase certeza de que a Rachael estudou com ela. Ela faz parte do círculo dela.
19|Caramba, você está com as roupas da Ashley! Não achei que você conseguiria! Agora só precisamos dar um jeito de tirá-la daquele quarto. Não posso me envolver porque nunca mais ouviria o fim da história se ela soubesse que eu estava por trás disso. Eu fico com essas roupas.
20|Sério? Você está indo embora agora? Que chatice. Tanto faz, cara. Te vejo por aí. E pensar que eu ia te comer hoje à noite.
21|Belo pacote. O que é uma festa sem um pouco de nudez, né?
21.1|Meu Deus, o que você vai fazer com isso?
22|Argh. Sério? Tá.
23|Meu Deus, isso é totalmente épico! Meu Deus, eu adorei! Que chato ser você agora, Ashley, né?
24|Que porra é essa? Você encontrou meu celular? Espera, como diabos você descobriu minha senha? Devolva isso!
25|O quê? Aquele filho da mãe! Já volto.
25.1|Idiota de merda, deve ser isso que a Ashley está fazendo com ele perto da lareira. Espero que ela o recupere. O mínimo que ela pode fazer...
26|Que porra é essa? Como você viu isso? Ela não mostrou para ninguém, mostrou?
27|Meu Deus, obrigada. Estou um pouco envergonhada que você tenha visto, mas fico feliz que não tenha ido mais longe!
28|(Engoli em seco). O quê... o que você quer que eu faça?
29|Não mande essas fotos para ninguém! Eu faço qualquer coisa!
30|Ah, uh. Certo. Que tipo de pose você quer que eu faça?
31|Digite o texto do diálogo aqui.
32|Uh, isso é obviamente um remix.
33|Ei, seu idiota!
34|Que porra é essa. Você está em cima de mim.
34.1|Eu simplesmente não aguentava esperar, né? Eu tenho esse efeito...
35|Gr.. gr.. obrigada por isso. Eu gostei porque eu sou uma... vagabunda.
36|Não com toda essa gente por perto!
37|O que você fez com a minha irmã foi épico. Você merece. Eu vou te matar.
37.1|O que você fez com a minha irmã foi épico. Você merece. Eu vou cuidar bem de você.
38|Que porra é essa, cara? Espero que você não crie o hábito de pedir para garotas que você mal conhece te matarem. Arranje uma vida, babaca.
38.1|Que porra é essa? Espero que você não crie o hábito de pedir para garotas que você mal conhece te comerem. Arranje uma vida, monstro.
39|Mrph erfff ermm gerf grunph merkin?
39.1|Mmmmm...?
40|O quê? E... você quer que eu me misture com meus convidados vestida assim?
41|Ah, obrigada. E obrigada por não postar essas fotos. Eu morreria! E... eu estou... aqui para você a qualquer hora.
42|... Certo. Eu... Deus, isso vai ser horrível. Vou parecer uma vagabunda, mas não posso arriscar que essas fotos vazem.
43|Oi, eu sou Madison, e parece que é a sua primeira vez jogando House Party. Quer que eu explique como tudo funciona?
44|Certo, então. Acho que você pode olhar as instruções se quiser aprender a jogar.
45|Bem, primeiro de tudo, você precisa saber como olhar ao redor. Normalmente, você pode simplesmente mover o mouse para olhar ao redor, mas quando estiver em um diálogo como este, precisará manter pressionado o botão direito do mouse para olhar ao redor. Experimente agora antes de me responder.
46|Nossa, você entendeu rápido. Vamos lá. Quando quiser interagir com algo, basta focar na mira no centro da tela e clicar com o botão esquerdo nela. Alguns itens terão um menu de interação, mas todos os personagens do jogo têm, e muitos itens pela casa também. Se você conseguir inspecionar algo, verá o nome do item aparecer ao lado da mira. Quando estiver pronto, conclua este diálogo, clique em mim e use meu menu de interação para falar comigo novamente.
47|Bom trabalho. Se preferir não ver a mira e as dicas de ferramentas, você pode pressionar Tab para ativá-las e desativá-las. Além disso, às vezes você poderá pegar itens e colocá-los no seu inventário. Você pode pressionar a tecla "I" para abrir seu inventário, mas somente depois de pegar algo. Vá em frente e tente você mesmo. Algum babaca deixou uma colher suja no micro-ondas. Vá buscá-la para mim e depois volte e me devolva. Use W, S, A e D para se mover. Ou você pode reconfigurar isso na aba de entrada da janela que aparece quando você inicia o jogo pela primeira vez.
47.1|Ainda esperando aquela colher, cara.
48|Incrível, obrigado! Você também pode interagir fisicamente com os itens pressionando a tecla Control. Volte para onde você encontrou a colher e pressione a tecla Control. Você verá o cursor se transformar em uma mão. Você pode clicar para pegar objetos com a mão. Você também pode arremessar objetos movendo o mouse enquanto solta o botão. Volte para onde você encontrou a colher e clique em um dos copos de plástico no balcão e arremesse-o. Depois, pegue o micro-ondas. O micro-ondas é um pouco mais pesado, então você não pode simplesmente pegá-lo e sacudi-lo, mas pode arrastá-lo. Volte e fale comigo novamente quando tiver resolvido isso.
49|Você se divertiu destruindo minha casa? Enfim, vamos lá, há missões no jogo que você precisa completar. Você pode abrir seu registro de missões pressionando a tecla "R". No momento, você só tem uma missão para falar comigo, mas à medida que começar a conhecer e interagir com mais personagens, receberá mais missões. Você também será notificado sempre que uma missão for obtida, concluída ou falhada no canto inferior esquerdo da tela.
50|Percebeu que, enquanto estou falando com você, há barras embaixo da minha foto? Essas barras indicam meu relacionamento com você. A primeira barra com o ícone de rosto sorridente mostra o quão próximos somos como amigos. A segunda barra com o ícone de coração indica o quanto eu gosto de você romanticamente, e a última barra com o ícone de cerveja indica o quão bêbado eu estou. Você deve usar esses medidores como uma medida do que você deve ou não dizer a cada personagem. Você pode ter que recomeçar algumas vezes antes de ter uma conversa perfeita com uma das garotas para desbloquear uma missão.
51|Ótimo. Você pode abrir o menu do jogo pressionando Escape. Lá, você pode fazer todo tipo de coisa, como carregar e salvar jogos, ajustar as configurações do jogo ou recomeçar. Não tenha medo de recomeçar de vez em quando, porque neste jogo, a história muda dependendo das suas escolhas. Algumas escolhas farão com que você falhe automaticamente em algumas missões e, ao mesmo tempo, desbloquearão um caminho para completar uma missão diferente. É impossível completar todas as missões em uma única partida, e você pode alcançar vários finais dependendo das missões que completar a cada partida. Você precisa imaginar que, cada vez que recomeça, é uma nova noite e ver para onde a história o leva conforme você faz suas escolhas.
52|É, certo. Ok, onde estávamos? Ah, é, eu mencionei que você pode tirar o seu pênis pressionando a tecla "P"? Eu não recomendaria fazer isso na frente de algumas garotas aqui. Elas podem se ofender, especialmente se não te conhecerem tão bem. Você também pode realizar algumas, digamos, ações especiais especificamente quando seu pênis estiver exposto pressionando as teclas numéricas. Para uma lista completa de controles, pressione F1.
53|Exatamente o que eu sinto. Acho que isso deve ser o suficiente para você começar. Divirta-se!
54|Ótimo! Antes de começar, se o jogo parecer lento em algum momento, você pode pressionar Escape e brincar com as configurações. Você também pode tentar alterar as configurações de qualidade e resolução na janela que aparece quando você executa o jogo pela primeira vez.
55|Além disso, lembre-se de que este jogo ainda está em desenvolvimento, então todas as histórias ainda não estão terminadas e ainda há muito mais por vir. Eca! A Games geralmente lança uma nova versão todo mês. Você pode saber mais sobre como ajudar os desenvolvedores na tela de título. Eles também adorariam ouvir suas sugestões e feedback!
56|É. Acho que vou arriscar com o Raymond.
57|Eu não o vi, no entanto. Ele está sempre perdendo a cabeça. Eu não me preocuparia muito.
58|Na verdade, acho que faço isso no meu celular em algum lugar. Mas eu não vou entregar sem receber algo em troca. Tá a fim de uma brincadeira rápida com a minha irmã?
59|Essa é fácil. Tá vendo aquela blusa que a Ashley tá usando? Está amarrada atrás. Um puxãozinho e ela se desfaz toda. Faça isso por mim e você pode ficar com o número da Vickie. Só se certifique de estar por perto quando fizer isso.
60|Você ganhou de cara. É 555-6969. Só não conte para ela que eu te dei.
61|Minha irmã curte essa merda. Você provavelmente vai ter mais sorte perguntando para ela.
62|Você não vai ficar aqui hoje à noite...
63|Você pode, por favor, não ir na minha festa?
64|Espera! Acho que eu sei mesmo como dar uma festa...
65|Que porra é essa! Então você é o babaca que anda roubando minhas coisas! Vou procurar o Frank. 
65.1|Que porra é essa! Então você é o babaca que anda roubando minhas coisas! Vou encontrar o Derek.
65.2|Que porra é essa! Então você é o babaca que anda roubando minhas coisas! Vou encontrar a Leah.
65.3|Que porra é essa! Então você é o babaca que anda roubando minhas coisas! Derek!? Frank!? ...Leah!? Não se preocupe. Vou encontrar alguém para te dar uma surra!
66|Uma petição? Para quê?
66.1|Não. Por que diabos eu faria isso? Você precisa voltar às minhas boas graças antes que eu sequer considere assinar seu pedaço de papel idiota.
67|Que porra é essa? Não. Eu só posso pregar peças na minha irmã idiota. Diga a mesma coisa para outra pessoa que assinou isso.
68|Uhh, sim, isso definitivamente aliviaria as coisas por aqui. Tô dentro.
69|Adeus, Kitty? É, na verdade, eu era muito fã. Por que você pergunta?
70|Que porra é essa? Pervertido! Vou pegar o Frank!
70.1|Que porra você está fazendo? Você não vai embora fácil depois do que fez!
71|Bem, acho que você descobriu. É, dá para dizer que eu estava um pouco obcecada. Eu tinha a lancheira e os bonecos de ação. Eu até tinha a calcinha da Goodbye Kitty. Acho que ainda tenho em algum lugar.
72|Que pergunta estranha. Sabe de uma coisa? A Brittney usa esse tipo de coisa o tempo todo. Mas é melhor não perguntar, senão ela vai continuar falando até o fim dos tempos. Mas se tem alguém usando calcinha com a bandeira americana, com certeza é ela.
73|Você está bisbilhotando meu celular? Nossa, se você vai bisbilhotar minhas coisas, pelo menos não faça isso na cara de todos. Que idiota. Agora, se não se importa, vou ligar para o Frank e mandar ele te dar um pé na bunda!
73.1|Você está bisbilhotando meu celular? Meu Deus, se você vai bisbilhotar minhas coisas, pelo menos não faça isso na cara de todos. Que idiota. Agora, se não se importa, vou encontrar alguém para te dar uma surra!
74|Meu Deus, tá bom, tá bom, tudo bem. Você não quer fazer uma cena no meio da minha festa.
74.1|Puta merda, tá bom, calma. Você não quer fazer uma cena no meio da minha festa.
75|Querido Diário, convidei todo mundo para a minha festa, mal posso esperar! Amanhã vou beber com o Derek, depois terei o resto da semana para deixar tudo pronto. Agora, só preciso descobrir como garantir que a Ashley não esteja lá. Quem estou enganando? Ela está grudada nos meus amigos como uma sanguessuga. Todo mundo que ela conhece vai estar lá.
76|Querido Diário, você não vai acreditar, mas o Derek e eu finalmente fizemos amor!!!!!!!! A gente andava falando nisso há um tempo, mas finalmente aconteceu! E só uma semana antes da minha festa. Vai ser estranho entre nós... mas, ei, talvez a gente faça de novo, quem sabe? Preciso ir, a Ashley está batendo na porta. Que chata.
77|Derek, hum... ei. Espero que você esteja se divertindo... Quer dizer, espero que todo mundo esteja se divertindo. É só uma festa com amigos, nada de especial.
78|Olha, me desculpe se...
79|Espera aí, então você quer que a gente...
80|Meu Deus, você não tem ideia do quanto eu estou bem com isso! Só não estrague as coisas entre a gente. Prometa que não vai acontecer.
81|Atendendo às necessidades da anfitriã no meio da festa dela? Que amigo gentil você é, Derek. Eu aceito com prazer.
82|Ashley, isso é demais! Eu não quero ser uma estrela pornô!
83|Eu me sinto tão humilhada! Sai da minha frente!
84|Ah, sim, com certeza. Sem problemas. Tenho certeza de que a Ashley pode cuidar dos convidados por um tempo, onde quer que ela esteja. Vamos conversar no meu quarto.
85|Não quero dizer, mas... por que diabos você precisaria do meu telefone depois de ter me dado ele?
85.1|Você está tentando de novo? Por favor, me explique por que eu deveria te dar meu telefone.
85.2|Não quero dizer, mas... por que diabos você precisaria do meu telefone depois de ter me dado ele? Ah, e não vamos esquecer que você derramou cerveja em mim e arruinou meus planos.
85.3|Hummm, não. Já tenho sorte de alguém como você não ter fugido com meu telefone. Não quero abusar da sorte.
86|Merda, tem tanta coisa nesse celular! Por favor, dá pra Katherine ou coloca num saco de arroz... faz alguma coisa!
87|Meu Deus, Derek, você tem um celular enorme! Eu faria isso a noite toda, mas preciso descer rapidinho.
88|Sim! Derek, não para! Continua! Continua!
89|Que porra é essa? Ashley? Que porra você está fazendo aqui? Saiam do meu quarto, seus pervertidos!
90|Ashley, esse é um exemplo perfeito de por que você não é bem-vinda aqui! Espera, por que a Vickie está com o celular na mão? Você estava nos filmando?
91|Que pena, porque eu não vou te devolver o celular. Além disso, você nem sabe o código PIN agora.
92|Vickie Vixen (A atriz pornô - amiga da Rachael): 5556969. Nota: Tentei ligar para ela uma noite quando estava bêbado - nunca atendi. Tentei ligar mais quatro vezes - mesmo resultado. Conclusão: o telefone da Vickie está quebrado.
93|Ah, Derek... Rachael, você pode me deixar sozinha com o Derek? Prometo que passo aí em breve.
94|Ash... Ai, meu Deus, você está com cheiro de álcool. Quanto você bebeu?
95|Ashley, se acalme, ok? Essa festa é minha. Podemos conversar sobre sua raiva reprimida amanhã, quando estiver sóbrio.
96|Derek, fique fora disso. Se ela quiser resolver isso como uma prostituta de rua, então eu vou me rebaixar ao nível dela! Abaixa, Ash!
97|Você não entende o nosso relacionamento. É assim mesmo, sempre foi assim. Então me siga e faça a sua parte, novato.
97.1|Você não entende o nosso relacionamento. É assim mesmo, sempre foi assim. Então me siga e faça a sua parte, novato.
98|Ei, quem você pensa que é? Estou encharcado! Seu babaca, preciso me secar agora.
99|Puta merda, você viu isso? Eu sei que acabamos de nos conhecer, mas a vadia da minha irmã realmente mereceu.
99.1|Puta merda, você viu isso? A vadia da minha irmã realmente mereceu.
100|
101|Ah, você quer dizer problemas de digestão? Eu não teria necessidade disso, claro. Mas eu guardo um pouco para os convidados, claro. Você pode encontrar no meu banheiro, perto do vaso sanitário. Uma... convidada teve que usar depois que insistiu em comer três burritos de feijão assado supremos do Nacho Daddy's.
102|Espera aí, você é amigo do Derek, certo? Oi, eu sou a Madison. Esta é, uh, a minha festa!
102.1|Patrick, não posso ir tomar aquela porra de bebida com a Fran... ah, desculpa, pensei que você fosse meu primo. Você é amigo do Derek, certo? Oi, eu sou a Madison. Esta é, uh, a minha festa!
102.2|Ah, sem querer ser rude: eu sou a Madison, aliás. Bem-vindos à minha festa, e tudo mais.
103|Ah, é, nem precisa falar. Derek disse: "Ei, tenho um amigo que não conhece ninguém porque ele acabou de se mudar para cá, e eu garanto que ele não é um babaca." E o Derek e eu estamos no meio disso... deixa pra lá, e eu não queria deixar as coisas ainda mais estranhas, então tinha certeza de que tinha trazido seu amigo. Então, é, fico feliz que você tenha vindo.
104|Desculpe, foi grosseria. Minha cabeça está uma loucura. Sabe aquela sensação, quando você adora dar festas até estar no meio de uma? Aí você lembra que as pessoas são as piores e que o primo dele tem um problema sério com álcool, e ele definitivamente deveria ter comprado mais comida.
105|É uma coisa legal de se dizer, mesmo que você só esteja tentando ganhar pontos extras... Sempre foi uma frase tão estranha para mim: pontos extras. Que diabos são esses, afinal?
106|Ah, ha, foi uma piada de pai muito ruim, mas eu agradeço o esforço. Enfim, foi bom conversar com você e te conhecer. Preciso voltar para a festa, mas venha me encontrar mais tarde, e podemos nos conhecer um pouco mais, talvez tirar algumas fotos para a minha avó. Ah, e não se esqueça de se misturar! Tem gente incrível aqui.
106.1|De qualquer forma, foi bom conversar com você e te conhecer. Preciso voltar para a festa, mas venha me encontrar mais tarde, e podemos nos conhecer um pouco mais, talvez tirar umas fotos para a minha avó. Ah, e não se esqueça de se misturar! Tem gente incrível aqui.
107|Que porra você acabou de dizer? Essa foi uma merda estranha que acabou de sair da sua boca. Calma, novato.
107.1|Que porra você acabou de dizer? Essa foi uma merda estranha que acabou de sair da sua boca. Calma, novata.
108|Ei, preciso resolver algumas coisas agora, mas como eu disse, me dá um tempo e podemos conversar mais tarde.
108.1|Eu entendo que você provavelmente esteja desesperado para fazer amigos aqui, mas você precisa me dar um espaço pessoal aqui. Tipo, um minuto para mim seria ótimo.
108.2|Ah Meu Deus, me deixa em paz, cara! Derek, você vem buscar seu cachorrinho? Ele fica tentando transar com a minha perna.
108.3|Meu Deus, me deixa em paz, cara! Derek, você vem buscar seu cachorrinho? ... Derek?! Ugh, o que diabos há de errado com ele... escuta, eu sei que você não aceita bem a rejeição, mas você precisa encontrar dentro de si a força para se foder rápida e completamente. Continue com esse tipo de merda e não vai ser uma boa noite para você.
108.4|Meu Deus, me deixa em paz! Derek, você vem tirar essa garota de cima de mim porque ela está me testando?
108.5|Meu Deus, me deixa em paz! Derek, você vem tirar essa garota de cima de mim porque ela está me testando? Derek?! Ugh, o que diabos há de errado com ele... escuta, eu sei que você não aceita bem a rejeição, mas eu tenho coisas para fazer e você tem que se foder. Você não está causando uma boa impressão agora, e as coisas vão ficar muito feias para você se não fizer isso Relaxa.
109|Nossa, estou impressionada. Um passarinho me contou que você conversou com cada pessoa que foi à minha festinha. Você é bem sociável, né? Uma pessoa de verdade... isso me faz pensar qual seria o seu Animal Celestial...
109.1|Nossa, estou impressionada. Um passarinho me contou que você conversou com cada pessoa que foi à minha festinha. Você é bem sociável, né? Uma pessoa de verdade... isso me faz pensar qual seria o seu Animal Celestial...
110|Você não sabe. Bem, acho que é um segredo bem guardado. Rastrear animais celestes é o estudo antigo de ler o céu e conectá-lo com o animal que você vê nas nuvens ou nas estrelas. É como astrologia, horóscopos e tudo mais, mas muito mais interessante porque foi descoberto por uma tribo nativa americana de verdade, então você sabe que é totalmente legítimo. Meu Animal Celeste me ajuda a me manter fresca em noites como esta, quando estou constantemente prestes a arrancar meus cabelos. Fora.
111|Bem, pergunte à vontade. Sou praticamente um especialista nisso.
111.1|Claro, pergunte à vontade.
112|Ahhh, ele tem muitos nomes, mas eu o conheço como "Lobo Uivante". Só o encontrei uma vez, mas foi a experiência mais esclarecedora da minha vida. Ashley e eu estávamos embarcando no ônibus saindo de Nevada, deixando aquela velha vida para trás para sempre... e lá, sentado entre os viciados em metanfetamina e jogadores, estava Lobo Uivante. Bem, ele se parecia muito com os outros viciados em metanfetamina, mas havia apenas um... BRILHO nele. Eu sabia que ele não era apenas um viciado em metanfetamina.
113|Bem, sentei-me ao lado dele porque era o único assento disponível, e ele imediatamente começou a falar sem parar, me contando sobre todas as visões que estava tendo, seus próximos processos judiciais e como ele estava em alta... e eu pensei, uau — e então, como uma bela revelação, ele deixou escapar: "O CÉU ESTÁ CHEIO DE ANIMAIS". Profundo, não é? Então, passei as duas horas seguintes ouvindo Lobo Uivante explicar essa arte mágica. Foi tão poderoso que eu conseguia até sentir, sabe, esse CALOR subindo pelos bancos do ônibus e entrando no meu corpo. Foi incrível. UMA ENERGIA QUENTE E ÚMIDA de verdade vinha do assento dele para o meu.
114|Ah, sabe. É claro que eu tinha que provar que era digna de me conectar com meu Animal Celeste, o que não era tão difícil assim. O Lobo Uivante disse que minha mente estava pronta, mas eu precisava dar a ele 200 dólares para apaziguar o Grande Espaço de Ferramentas, onde vivem todos os Animais Celestes. Paguei minhas dívidas e, quando me dei conta, estava conhecendo meu próprio Animal Celeste. Nossa, me arrepio só de pensar!
115|Acho que alguém como você não conseguiria simplesmente olhar para mim e dizer qual é o meu Animal Celeste, mas na minha mente iluminada, é bem óbvio. Meu Animal Celeste é o honrado guaxinim da lata de lixo. Engraçado, astuto, sempre disposto a defender o que é dele. Sou eu mesmo.
116|Não é bobagem. Olha, eu sei que é meio estranho, mas é uma arte incrível e antiga que só os poucos dignos dela conseguem experimentar. Talvez você simplesmente não seja... digno.
117|Nossa, tá. Escreva uma experiência transformadora e volte a ficar olhando para os peitos da minha amiga ou seja lá o que for que você veio fazer aqui.
118|Aproveitando sua sestinha de provocação? É divertido falar de mim pelas costas? Da minha própria família. E você, eu pensei que você fosse meu amigo. Obviamente não. Nem agora posso. Preciso ir meditar com o guaxinim lixeiro.
119|E isso que você disse foi uma coisa muito nojenta, Patrick! Muito nojenta!
120|Vai embora.
121|*Silêncio*
122|Entra, eu acho.
122.1|Vai se foder, seu filho da puta!
123|Você está aqui para conversar mais um pouco comigo, cara legal?
123.1|Você está aqui para conversar mais um pouco comigo, garota legal?
124|Eu sei o que ouvi, não sou louco. Eu estava pensando que você era esse cara legal, e quando me dei conta, você estava aconchegado ao lado da minha irmã bruxa e do meu primo de merda, falando toda aquela merda. Quer dizer, esse é o seu jeito de fazer amigos?
124.1|Eu sei o que ouvi, não sou louco. Eu estava pensando que você estava fazendo um novo amigo, e quando me dei conta, você estava aconchegado ao lado da minha irmã bruxa e do meu primo de merda, falando toda aquela merda. Quer dizer, esse é o seu jeito de fazer amigos?
125|Legal. Muito legal, cara. Acho que está na hora de você ir embora. E não estou falando deste banheiro. Quero você fora da minha festa. Sai da frente, vou chamar o Derek.
126|Isso é para ser engraçado? Eu nem te conheço; você tem, tipo, esquizofrenia ou algo assim? O Derek te conheceu num hospício? Porque se você está aqui mesmo para ser um babaca, essa conversa não vai acabar bem.
127|Você acha que eu não sei? Eu sei que é ridículo pra caralho! O uivo do lobo fedia a urina, e eu tinha uma tatuagem no pescoço que dizia "Eu transo por sobras!" Eu só queria as minhas coisas, ok? Pronto, você me pegou no meu plano maligno: eu só queria ter algo que fosse único e interessante, e todo meu.
128|Você não tem ideia de como era a minha vida em Nevada. Ou você se encaixava no molde ou tentava ser diferente e era ridicularizado todos os dias. Eu esperava que, quando me mudasse, eu estivesse livre de toda essa merda. Mas agora que estou livre, talvez eu tenha ido longe demais com tudo. Arte, literatura... Não li nem metade dos livros que tenho nas prateleiras por aqui.
129|Acho que ainda estou tentando descobrir quem sou "eu". Mas, ainda assim, você tem razão. Eu não deveria exibir essa imagem de mim mesma que acho que as pessoas vão gostar. É só que, tanto faz. Eu vou dar um jeito.
130|Droga... você estava indo tão bem. Estou quase te expulsando, mas pelo menos você me ajudou a entender toda essa bagunça que é Madison. Você pode ficar, mas precisa mesmo melhorar seu charme. Sai da frente, eu vou descer.
131|É verdade, isso é bem reconfortante. Olho para pessoas como a Rachael e o Derek e todos parecem ter tudo tão bem planejado. Mas aí me lembro que o irmãozinho do Derek foi preso por usar metanfetamina e a Rachael acha que vivemos num mundo virtual onde as pessoas controlam nossas ações por meio de uma tela. Que loucura, né?
132|Hum, só para você saber, eu não sou uma daquelas garotas que procuram o primeiro pau para pular quando estão se sentindo mal. Em outras palavras, eu não vou te comer, não agora, mas você tem sido uma ótima amiga. Eu gostaria de retribuir esse favor, se puder. Digamos que, se em algum momento desta noite você se meter em uma enrascada com alguém e perceber que essa pessoa não é muito fã sua, é só me avisar e eu te coloco de volta nas graças dela. Se você estiver certa sobre ser só eu, então espero poder reconquistá-la só com o meu charme. Não precisa de animais do céu, haha.
132.1|Eu diria que isso não é o suficiente para me levar para a cama, mas acho que estamos um pouco nas nuvens, não é... Sr. Packer? Bem, indo além do seu compromisso com as belas artes, se em algum momento desta noite você se encontrar em uma situação ruim com alguém e perceber que essa pessoa não é muito fã sua, é só me avisar e eu te coloco nas boas graças dela. Espero poder reconquistá-la só com o meu charme. Não precisa de animais do céu, haha.
132.2|Eu diria que isso não é o suficiente para me levar para a cama, mas... Acho que estamos um pouco nas nuvens, não é? Indo mais além, se em algum momento desta noite você se encontrar em uma situação ruim com alguém e perceber que essa pessoa não é muito fã sua, é só me avisar e eu te coloco nas boas graças dela. Espero poder reconquistá-la só com o meu charme. Não precisa de animais do céu, haha.
132.3|Ei, eu agradeço por tudo isso. Sinto que te devo uma. Se em algum momento desta noite você se encontrar em uma situação ruim com alguém e perceber que essa pessoa não é muito fã sua, me avise e eu retribuirei a boa vontade. Espero poder reconquistá-la só com o meu charme. Não preciso de animais do céu, haha.
132.4|Sei que acabamos de nos conhecer, mas você foi mais amiga minha esta noite do que eu posso dizer de alguns dos idiotas que convidei aqui. Gostaria de retribuir esse favor, se puder. Digamos que, se em algum momento desta noite você se encontrar em uma situação ruim com alguém e perceber que essa pessoa não é muito fã sua, me avise e eu retribuirei a boa vontade. Se você estiver certa sobre ser só eu, então espero poder reconquistá-la só com o meu charme. Não preciso de animais do céu, haha.
133|Sério? Porque sou apaixonada por coisas que acho interessantes? Isso é tão idiota. Eu tento e tento, mas as pessoas só querem te derrubar. Mas talvez eu esteja exagerando um pouco com o visual que estou querendo.
