[General]
Name|Stephanie
35|De jeito nenhum! A festa chegou! Você já ouviu essa música antes? Ela nunca cansa! Pedi para a Madison repeti-la a noite toda!
35.1|A dança vai ter que esperar; estou no meio de algo aqui. Além disso, a melhor música está lá embaixo, não na banheira de hidromassagem.
35.2|De jeito nenhum! A festa chegou!
35.3|De jeito nenhum, isso significaria que eu teria que parar de dançar! E se você me conhece, sabe que isso não vai acontecer!
36|Para onde foi a música? Eu queria saber como funciona essa coisa. Música eletrônica é tããão confusa. Agora preciso fazer a Madison ligar de novo.
37|Nossa, isso é incrível! A única coisa melhor do que dançar essa música é dançar essa música lá fora!
37.1|A dança vai ter que esperar, estou no meio de algo aqui.
38|Ah, Amy! Eu te entendo totalmente, é o pior. Sabe, uma boa maneira de se recuperar de uma pancada no dedo do pé é pegar qualquer analgésico básico e amassá-lo até virar um pó fino. Misture com qualquer tranquilizante para cavalos que você encontrar. Depois, inale o pó com uma nota enrolada, mas certifique-se de que seja maior do que um vinco! Depois disso, você não vai se lembrar da dor! Nem do resto da noite.
39|Ei, você! Que bom que você viciou o Patrick naqueles analgésicos. Ele ficou reclamando da cabeça a noite toda. Eu estava tentando pensar em como ajudá-lo, e dançar me ajuda a pensar. Agora posso aproveitar a festa de novo. Dançando!
40|Bem, eu acho. Eu só gosto de fazer as pessoas felizes, e os comprimidos costumam fazer isso. E, caramba, ah, e porra, ENQUANTO tomo os comprimidos. Os comprimidos são simplesmente... muito, muito legais.
41|É, acho que você tem razão. Eu gosto de ajudar as pessoas. Fazê-las se sentirem melhor. Além disso, o corpo humano é bem fascinante, se você pensar bem. Bem, comecei a pensar em transar de novo agora.
42|Estudar? Ah, não sei. Estou fazendo todas as coisas gerais agora, só para tirá-las do caminho. Para ser sincero, não sei bem o que quero fazer depois disso. Mas isso é uma festa, então não vou pensar na magnitude da decisão que eventualmente terei que tomar, que, por sua vez, mudará para sempre o rumo da minha vida. Vamos cair fora!
43|Ah, eu trabalho no Chubbies, aquele bar esportivo com comida gordurosa e, sabe, garçonetes sem camisa.
44|É, o conselho de saúde nos ODEIA. Eu sempre tento limpar meus seios com aqueles lenços umedecidos químicos, mas sei lá, tem alguma coisa neles que me dá uma coceira horrível. Mas ajuda com os conselhos, porque meus seios também incham bastante.
45|Ah, acho que de novo. Vou te dar uma dica: não estou lavando louça, e meus seios também estão de fora.
46|E temos uma vencedora! Então, o que você acha disso?
47|Você quer dizer tipo médica ou enfermeira? Hmmm, não era bem isso que eu tinha em mente. Médicos não são muito inteligentes? As pessoas sempre me chamam de cabeça de vento, o que é muito estranho para mim, porque cada ser humano consome aproximadamente 550 litros de oxigênio por dia... e é exatamente por isso que bufar é tão engraçado! Mas cabeças de vento não podem ser médicos, eu acho.
48|Acho que vou pensar nisso, mas estou inclinado a não pensar. Entendo o que você está dizendo e acho que você está certo. Sei muito sobre o corpo humano, pílulas, não overdose ou algo assim, mas simplesmente não acho que a profissão médica seja certa para mim. Vamos lá, vamos voltar e não pensar na quantidade cada vez menor de tempo que tenho para me dedicar a um caminho de vida! Uhuu!
48.1|É, não. Acho que não. Talvez eu pudesse ter pensado nisso antes, mas agora que estou a caminho da cidade da exclusão, realmente não quero pensar nessa merda. E eu tenho que agradecer a você! Uhuu!
49|Ai, você viu aquela briga? Foi brutal. Brigar é tão idiota, mas já vi o suficiente para reconhecer uma concussão quando vejo uma. Parece que todo mundo vai ficar bem dessa vez. De volta à dança!
49.1|Meu Deus, tem tanta briga hoje à noite! Brigar é tão idiota, mas já vi o suficiente para reconhecer uma concussão quando vejo uma. Parece que todo mundo vai ficar bem dessa vez. De volta à dança!
49.2|Você viu o Frank usar a cabeça como aríete? Isso é uma concussão, sem dúvida. Eu ficaria mais preocupado, mas o Frank quebrou o recorde médico de maior número de concussões que uma pessoa já teve sem morrer. Ele é como o Superman, se o Superman fosse um completo idiota.
50|Psh, ótimo para você, talvez. Só dá para ouvir as mesmas piadas várias vezes. "Eu pediria o de 30 centímetros, mas já tenho um dur-hur-hur." Mas pelo menos levo para casa uma refeição grátis todas as noites. O que, ironicamente, costuma ser uma longa distância, porque eles são muito bons. E longos.
51|Nossa, que gentileza sua dizer isso. Como você chama quando todo mundo aprova as escolhas de uma pessoa?
52|O quê? Não, foi isso que meu pai teve que pagar para minha mãe todo mês depois que eles se divorciaram, porque descobrimos que as viagens de negócios dele eram, na verdade, férias sexuais com a secretária. Enfim, você é um cara legal por ser tão legal a respeito disso. Não é o que eu quero fazer para sempre, mas por enquanto está tudo bem.
52.1|O quê? Não, foi isso que meu pai teve que pagar para minha mãe todo mês depois que eles se divorciaram, porque descobrimos que as viagens de negócios dele eram, na verdade, férias sexuais com a secretária. Enfim, você é muito gentil por ser legal a respeito disso. Não é o que eu quero fazer para sempre, mas por enquanto está tudo bem.
53|É, você é muito legal. Como todas aquelas músicas de rap dizem: "Pega isso, pega esse jornal!" Cortar música... isso realmente me toca.
54|Nossa, eu achei você legal, mas acontece que você é só um idiota. Vai entender! Eu acho você nojento e sei lá o que essa outra palavra diz. Até mais, filho da puta!
55|Katherine? Ah, não! O que aconteceu com ela? Que tipo de pessoa doente ela é? É aquela coisa do tipo "Comi cogumelos demais e agora as paredes são feitas da cara do Stephen King", tipo "Tentei colocar ácido no verso de selos antigos e agora ela acha que é o Tio Sam"?
55.1|Ah, não! Que horror... Talvez eu pudesse ajudá-la... mas você me ajudou a me ferrar, e agora eu só quero me ferrar mais! Espero que ela se sinta melhor!
56|Ei, garota! Obrigada por assistir ao nosso conteúdo alfa. É tudo o que temos por enquanto, mas não se preocupe, tem muito mais a caminho! Ok, tchau!
57|Longa história - provavelmente é melhor eu ir ver com meus próprios olhos, né? Ela está naquele banheiro ali na esquina?
58|Preciso ter certeza de que ela está bem! Ela está no banheiro ali na esquina?
59|Toc. Toc. Oi, Katherine... Como você está se sentindo, querida? Tem alguma coisa que eu possa fazer?
60|Sério, eu só quero ajudar, Katherine. Me diz o que está te incomodando e eu vejo o que posso fazer.
61|Acho que estou considerando, mas não sei bem... espera, você disse que eu não posso usar drogas e não posso falar o tempo todo?
62|Bem, isso tem sido muito frio e tudo, mas vou me foder agora porque a Dra. Stephanie não é a favor dessa vida sóbria. Uh, melhore, Katherine, tchau!
63|Você! Ela com certeza me levou para a cova dos leões com essa. Quer dizer, claro, eu gosto de ajudar as pessoas, mas abro mão das minhas atividades favoritas para fazer isso... ah, não, de jeito nenhum! É tipo, você está brincando comigo? Nossa, acho que estou tendo um ataque de pânico. Não consigo recuperar o fôlego. Vai buscar alguma coisa para respirar. Rápido, droga!
63.1|Ah, vou desmaiar... Vou desmaiar...
63.2|Ah... merda...
64|Rápido, me dá isso! Sabe, estão dizendo que isso é uma péssima ideia e que a TV e os filmes tornaram isso uma realidade. De qualquer forma, me lembra dos meus dias de bufar e resfolegar, o que está me ajudando muito a me acalmar.
65|Vou esclarecer que surtei um pouco com a ideia de, bem, limpar. É pedir muito, mas pelo menos eu poderia tentar pelo resto da noite, eu acho. Se não me deixar em pânico de novo, talvez eu esteja certa sobre toda essa conversa sobre a Dra. Stephanie. Certo, vou descer e ver o que posso fazer.
66|Ei, Kat, voltei. Eu tive um pequeno... colapso, mas estou aqui para ajudar agora. Totalmente dentro. Então me diga, quais são os seus sintomas?
67|Escute, obrigada por tentar me fazer descobrir meu potencial ou algo assim, mas eu realmente não acho que sirvo para ser uma profissional. Meu gerente na Chubbies diz que eu mostro grande potencial para ser a chefe de garçons sem cabelo... então isso é algo que está acontecendo comigo. Ok, voltando a dançar e ignorando o que poderia ter sido!
68|Droga! Isso parece a vez em que usei um velho frasco de gota como mata-borrão para meu LSD caseiro! Eu posso consertar isso! Eu posso consertar isso!
69|Ok, só preciso que você pegue duas coisas: Gut Grip e um copo grande de água. Tipo, muita água. Faça isso e eu estarei aqui. Sem pensar em drogas. Katherine, nossa amiga aqui vai te dar umas coisas que vão te fazer sentir melhor enquanto eu te faço companhia e você não pensa em drogas, ok?
69.1|Ah, você já deve estar procurando! Que ambiciosa! Só que eu não estou pedindo para você ficar com a Molly e cruzar o caminho com... espera, é esse o termo certo? Tanto faz. Preciso de Gut Grip e um copo grande de água. Katherine, nossa amiga vai voltar logo. Eu te faço companhia, ok?
70|Ah! Ah! Ei, amigão, estamos só garantindo o nosso último ingrediente. Me dá o que você tem e eu já volto. Te vejo lá embaixo. Cara.
71|Ok, obrigado. Te vejo lá... Tchau.
72|Vou pegar o último ingrediente, droga! Eu já disse isso. Vai lá embaixo, não posso trabalhar com você olhando por cima do meu ombro.
73|Stephanie, você deveria ser médica. Stephanie, Katherine não para de cagar nas calças. Stephanie, você está estranha. Você não vai parar, né? Desça logo.
74|Ok, Doutora Stephanie, ela só vai dar uma fungada e depois vai salvar o dia. Uma fungadazinha para acertar. Depois talvez outra.
74.1|*Você consegue ouvir a Stephanie dizendo algo para si mesma, mas está muito longe. Parece que ela vai descer logo.*
75|Ack! Ei! Pare! NÃO pegue meu saco de papel. Esse é o MEU saco de papel; você me deu, então é meu!
76|Ok, desculpe, ok? Fiquei com muito medo, então voltei aqui para fungar. Desculpe, mas o saco que você me deu era perfeito. O jeito que se mistura com gordura de hambúrguer velho... Tô te dizendo, é ótimo... Quer tentar comigo?
77|Eu sei, eu sei! Erro meu. Terminei isso DE VEZ. Vamos, vamos ajudar a Katherine.
77.1|Você tem razão, essa é a coisa certa a se fazer. Vamos, vamos ajudar a Katherine.
78|Sério? Incrível, você vai adorar. Aqui está a sacola. É só levar aos lábios, se surpreender e ver um mundo totalmente novo onde os problemas não existem!
79|Ah, isso não é bom! Não acredito que você me enganou...
80|Estou tão feliz por ter ajudado! Nunca pensei, nem em um milhão de anos, que encontraria algo em que fosse tão bom. Mas, pensando bem, um milhão de anos atrás, Cristóvão Colombo provavelmente nunca pensou que chegaria à América. A gente nunca sabe como é a vida!
81|Estou tão impressionada com o quão bem funcionou! Você é como o conselheiro que eu nunca tive... porque o Sr. Faygan foi preso por organizar brigas de galo na academia. Amanhã vou conversar com meu conselheiro sobre como posso entrar no caminho certo para a faculdade de medicina.
82|Sim, é muito emocionante! Mas hoje à noite... hoje à noite acho que gostaria de te dar uma aula de anatomia. Não tenha pressa e me avise quando estiver livre... talvez possamos ir encontrar um lugar agradável e tranquilo. Não quero interrupções na nossa aula.
83|Você me ajudou a descobrir que cérebro eu tinha, então eu quero te foder até a morte. No entanto, isso não é possível porque o sexo é feito por... bem, vamos visualizá-lo.
84|Mostre o caminho. Encontre-me em algum lugar tranquilo.
85|Ahhhh, as endorfinas estão bombando... Eu estou... bem. Ok, vamos descer e fazer algumas coisas de médico.
85|Ahhhh, as endorfinas estão bombando... Eu estou... bem. Ok, vamos descer e fazer algumas coisas de médico. 86|Estou bem, estou bem.
87|Ei, Katherine, aqui é a Stephanie de novo, daquela vez. Estamos aqui para... te dar um jeito. Trouxe o melhor médico da cidade comigo. O nome dele é... o Huffassauro Rex!
88|O Huffassauro Rex quer ficar mais alto!
89|Ei, amigos. Estou aqui para salvar o dia, porque sou médica. Como foi previsto quando fui selecionada para minha casa mágica... Lufa-Lufa. Entenderam? Huff-Lepufa.
90|Sim, sim, estou. Subi as escadas, encontrei um monte de tinta e coloquei neste saco que você me deu, e deixa eu te contar, gordura de hambúrguer e tinta são muito sólidas.
91|Ahhh, olha como ficou bonito ali! Vou lá fora tentar fazer uma constelação que se pareça com o Danny Devito. Boa sorte com a sua bunda, Katherine!
92|Eca, que nojo. Você sabe que eu trabalho naquele lugar, né? Eu não confiaria na comida deles. Já vi as pessoas que cozinham essas coisas, e eles são melhor descritos como uns idiotas gordurosos com mandados. Mas vendem muito bem!
93|Ei, ainda estou sóbrio. Juro. Eu nem pensei em como isso é incrível, nem uma vez.
93.1|Ei, ei. A Katherine disse que queria um pouco de espaço, então eu dei espaço a ela. Sabe? É. Inverta a cama. Fique o mais longe possível do paciente.
93.2|Deite logo!
94|Ah, qual é, você sabe, Gut Grip. Você não viu os comerciais? "Livre-se da merda com Gut Grip!" Aposto que a Madison tem um por aqui em algum lugar.
95|Não sei. Parece estranho uma casa não ter copos. Talvez a Madison tenha guardado copos para aquele jogo enorme de beer pong! Mas eu não pegaria. Use qualquer coisa que possa conter bastante água.
96|A água está em todo lugar. Está em todo lugar. Eles até colocam em peitos falsos! Encontre um pouco e encha uma garrafa. Temos uma vida inteira de sobra aqui!
97|Certo? Pode ir agora. Ordens médicas.
98|Vamos lá!
99|Humm, não estamos realmente sozinhos aqui. Eu gostaria de um lugar mais privado, ok?
99.1|Agora, este é um lugar chique. Vamos começar sua aula muito especial?
100|A aula 1 é bem simples. Estes aqui são meus peitos incríveis. Peitos são incríveis, mas os meus são realmente incríveis.
101|Para a aula 2, vou precisar de um recurso visual. Embora tenha muitos nomes, meu favorito é "pinga". Você tem alguma que eu possa ver?
101.1|Para a aula 2, vou precisar de um recurso visual. Embora tenha muitos nomes, o meu favorito é "vagina". Você tem algum que eu possa dar uma olhada?
102|Um belo exemplar. Da variedade não circunscrita, eu acho. Agora, para a aula 3... ah, que se dane, não posso ir à cidade agora.
102.1|Hmm, sim, os pequenos lábios estão com um tom rosa perfeito. Seu clitóris parece inchado e MUITO ansioso para ser estimulado. Agora, para a aula 3... ah, que se dane, não consigo mais ficar longe de você.
103|Que bom que você ganhou estrelas douradas! Me avise se quiser outra aula.
104|Eu deveria estar quase seca...
105|Vamos lá, agora não é hora!
105.1|Meu Deus, agora você me fez pensar em sexo, cansei!
105.2|Pelo menos vamos para um lugar privado...
105.3|*Através dos dentes lascados* Olha o seu pau! Aqui está!
105.4|*Através dos dentes lascados* Olha os seus peitos! Mas eles são grandes e sensuais!
106|Ah, valeu! Continue assim. Obrigada pelo link. Tive um dia bem ruim, então essa bebida é exatamente o que eu preciso.
107|Claro que sim, sexo oral, a gente se diverte e caga. Me ajuda a esquecer aquele trabalho de merda que eu tenho. Embora eu talvez queira ir mais devagar. Não só fico super excitada quando estou bêbada, como também costumo fazer coisas das quais me arrependo no dia seguinte. Heh, acho que essas coisas andam juntas, agora que penso nisso.
108|Acho que você não entende quanta merda eu tenho que passar naquele lugar. É uma bagunça! Aquelas danças idiotas que eles nos fazem fazer, e foda-se o MORT!
109|Ah, heh, não pensei que você pudesse pegar tudo tão rápido. Por que você está andando por aí com remédio para diarreia? Espera, este frasco está vazio. Ah, eu vou encher rapidinho, sem problemas! É, não deve demorar nem um segundo nem um minuto.
109.1|Ah, heh, não pensei que você pudesse pegar tudo tão rápido. Por que você está andando por aí com remédio para diarreia? Tá bom, esqueci que tem outro ingrediente muito, muito importante nessa mistura. Então agora fique aqui e fique numa boa postura enquanto eu pego o último ingrediente vital.
110|Eu odeio aquele lugar. Foda-se a Chubbies, foda-se meu empresário gordo, foda-se meus peitos o dia todo - EU ACHEI MOSTARDA NOS MEUS PEITOS SEMANA PASSADA! Aquele lugar é uma PORCARIA!
111|Porra, sim, eu deveria. Vou ligar para o Mort agora mesmo e... e não sei o que vou dizer, mas quando eu terminar com ele, ele vai ter lágrimas escorrendo pela cara! Cadê meu celular? Porra, perdi meu celular. E minhas chaves, porra!
111.1|Não vale a pena! Vou ligar para o Mort agora mesmo e... e não sei o que vou dizer, mas quando eu terminar com ele, ele vai ter lágrimas escorrendo pela cara! Cadê meu celular? Porra, perdi meu celular. E minhas chaves, porra!
112|Katherine, eu preciso disso.
113|Shh - só SHHHH! Feche esses seus lindos lábios.
114|*Ao telefone* Mort, aqui é Stephanie... Sim, esse é meu nome verdadeiro, não "Tits O'houlihan". Esse apelido é uma merda, aliás. Eu nem sou francês, seu idiota!... Não, eu não vou me acalmar. Aliás, estou ligando para dizer que estou saindo, entendeu? Você nunca mais vai ver esses peitos!
115|*Ao telefone* O que eu vou fazer? O que eu quiser. Sou jovem e tenho dois créditos universitários, meu Deus! Meu pai é dono de uma loja de ferragens! Eu posso fazer qualquer coisa. Aliás, vou ser médica. Vou estudar cérebros e corações e abrir uma instituição de caridade onde faço os menores peitos para mulheres superdesenvolvidas em países subdesenvolvidos... como em Cleveland! Então, caia fora e dane-se o Chubbies' Bar and Grill. Até nunca mais, Mort! A não ser quando eu for receber meu último salário.
116|Eu consegui! Estou no topo do mundo! Uau! Vou nadar pelada!
117|É só o meu trabalho idiota. Não quero estragar a sua noite falando dessa merda. É que eu trabalho no Chubbies, aquele bar esportivo com garçonetes sem camisa, e duvido que precise explicar mais alguma coisa. Hoje eu tinha um grupo de 12 caras, cada um com sua própria piada sobre peitos e pés de frango. Enfim, muita maconha para beber!
117.1|Argh, é só o meu trabalho idiota. Não quero estragar a sua noite falando dessa merda. É que, sabe que eu te contei que trabalho no Chubbies? Hoje eu tinha um cara, cada um com sua própria piada sobre peitos e pés de frango. Enfim, muita maconha para beber!
118|Quer dizer, além de trabalhar sem camisa? Tirando isso, a pior parte é o Mort. Ele é o troll das cavernas que é o gerente, que faz inspeções diárias dos nossos peitos de moto. Ele diz que é política da empresa, mas eu tenho minhas dúvidas.
118.1|Quer dizer, além de trabalhar sem camisa? Eu sei que vou deixar as meninas saírem agora, mas é diferente quando você está cercada por pais assexuais tentando seduzir. Mas a pior parte é o Mort. Ele é o troll das cavernas que é o gerente e faz inspeções diárias dos nossos peitos de moto. Ele diz que é política da empresa, mas eu tenho minhas dúvidas.
119|E VOCÊ nem sentiu o cheiro. Não quero mais pensar naquele cara, obrigada pela bebida.
120|Estou falando do Chubbies. Quanto mais eu bebo, mais percebo que sou muito melhor do que aquele lugar. Mas eu preciso do dinheiro. Os peitos, quer dizer, as gorjetas de lá, são incríveis pra caramba.
121|*Falando com os dentes quebrados* Eu escorreguei e caí e agora minha boca está doendo.
122|Ai, tem algo se revirando no meu estômago. Muito ruim.
123| 123|As estrelas são tão bonitas! Deixe-me ficar aqui mais um pouco.
124|Ah! É muita coisa de uma vez! Obrigada, mas preciso manter pelo menos uma mão aberta. Se tem uma coisa que trabalhar na Chubbies me ensinou, é sempre ter uma mão pronta para dar um tapa em um babaca tentando agarrar sua bunda. Tenta de novo em um segundo.
124.1|Preciso ir mais devagar ou vou para a cidade da exclusão. Eu quero ir para lá... só me dá um minuto.
125|Obrigada, mas preciso encontrar meu caminho para a banheira de hidromassagem agora mesmo.
126|Ah, é, querida. Alguém me disse uma vez que o mundo ia--
127|Ah, é... foi bem triste! Aquele porta-retrato um pouco perto da adega... ela o pegou e ficou com os olhos marejados. Ele disse que costumava ser o gato dele, mas deu de presente para a Madison, mas ele fugiu. História triste, né? Ah, bom, vamos voltar a dançar!
128|Ahhh, o que é que você tem nesse seu palito de papagaio-do-mar? THC? DMT? OPP, você me conhece? Ah, só nicotina? Que patético.
129|Nossa, que diabos você está fazendo? Acha que só porque eu sou "a garota que dança" e estou fedendo a problemas de abuso de substâncias, você pode colocar suas mãos imundas em mim? De jeito nenhum!
129.1|Ei, você está acabando com a minha vibe, babaca. Você tem sorte de eu amar tanto dançar... porque se não amar, BOOM, eu vou colocar meu pé na sua bunda... liberalmente.
129.2|Ei! Mãos para você até a aula começar! Meu Deus, que aluna ansiosa você é!
130|É, e DEPOIS Ashley vê Derek uivando por causa daquela foto de gatinho e ELA surta. Ela corre para fora e começa a chorar perto da banheira de hidromassagem como se estivesse em cima do túmulo do seu falecido sugar daddy. Pessoalmente, eu gosto de ver o lado pessoal de um cara, mas tem algo em ver o Derek chorando pelo seu gato... simplesmente a pegou.
130.1|É, e DEPOIS disso, a Ashley vê o Derek uivando por causa daquela foto do gatinho e ELA surta. Ela corre para cá e começa a chorar tipo ali, bem em cima daquela terra. Era como se ela estivesse em cima do túmulo do seu falecido sugar daddy. Pessoalmente, eu gosto de ver o lado pessoal de um cara, mas tem algo em ver o Derek chorando pelo seu gato... simplesmente a pegou.
131|Sabe, as pessoas acham que eu sou burra, mas eu sou super atenciosa. Quer dizer, você ouviu tudo o que eu acabei de dizer? Acho que mereço uma boa dose de alguma coisa, não acha? VAMOS DAR UMA VOLTA NESSA ESTRADA NEVADA, CARA!
131.1|Sabe, as pessoas acham que sou burra, mas não sabem que vou ser médica! E todos os médicos são superobservadores como eu! ...A não ser que tenham seu próprio programa de TV. Acho que eles só usam isso como "credencial" para ganhar fama e fortuna, capitalizando os outros em um momento vulnerável da vida. Filhote, cada um com o seu gosto! Hora de dançar a noite toda!
132|Ooooh sim, sim, por que... ah merda... tão natural! Você está... aprendendo tão rápido.
132.1|É, é! Ah, é? Gostaria de fazer uma mudança no currículo de hoje... uh... uh?
132.2|Mmmff, você está bem informada?
132.3|Você está... aprendendo rápido demais!
133|Ok, desculpe! Eu não estava julgando mesmo... puritana.
132.1|É, é! Ah, é? 134|Não sei bem se você sabe do que está falando ou se está só misturando as palavras. Tá, eu vivo esses sentimentos! Mas não estou convencida. Sabe o que convence? Esses passos, querida!
134.1|Argh, você esqueceu... "companhia: merda." Você foi um babaca comigo antes e agora quer que eu vá com você? Uh-uh, isso é tipo... um baita esboço.
134.2|Acho que posso dar uma pausa na dança por alguns minutos. Aonde você quer ir?
135|Ah, não, que pena. Mas eu tenho que seguir o código da "Doutora Stephanie". Primeiro, não faça mal. Segundo, não ajude nenhum babaca.
135.1|Ah, não! Outra emergência hoje à noite? Quem precisa de mim e como posso ajudar?
136|Ok, não sei quem precisa ouvir isso... mas bolas enormes NÃO são excitantes. Se você não acha que precisa de ajuda médica, então é meu dever como aspirante a médico seguir os padrões e recomendações médicas estabelecidos pela CIA e pela AARP, e minhas ordens seriam não me envolver. Ou pelo menos acho que é assim que tudo funciona. Mas se você cair em si e quiser fazer um check-up, me avise! Ok, tchau!
137|Bem, estou tentado a dizer não... mas isso pode ser divertido. E pode me fazer esquecer o idiota que você foi esta noite. Ok... eu faço isso. Vou abalar o mundo dele! Meu amigo da Chubbies acabou de me ensinar alguns movimentos novos, e eu estou tipo... morrendo de vontade de experimentá-los!
137.1|Oooh, isso parece divertido. Obrigada por me avisar. Vou abalar o mundo dele! Minha amiga da Chubbies acabou de me ensinar uns passos novos, e eu tô tipo... morrendo de vontade de experimentar!
138|Prepare-se, Frank! Vou te dar a lap dance da sua vida! Garanto que você nunca viu esses passos antes!
138.1|Hum, tipo, qual é o seu problema? Você é o cara menos interessado em quem eu já fiz uma lap dance. Espera aí, você tá babando? ... Argh, eu te alcanço depois.
139|Nossa, espera aí. Tipo, o que é isso? Tem algo estranho e... tipo... enorme na sua calça, e com certeza não é o seu pênis!
140|Uhhh, pensando bem, acho que vou voltar a dançar. Acho que você já se emocionou o suficiente por enquanto. Tenho medo que uma dessas coisas exploda. Aliás, você devia consultar um médico!
141|Hum. Não vou te ensinar nada. Você é meio idiota. Talvez eu peça para outra pessoa ensiná-lo a não ser um babaca e depois volte quando ele descobrir. Ok, tchau!
141.1|Quer dizer, eu entendo que tivemos uma espécie de conexão esta noite, mas esses movimentos são como meus segredos profissionais. Eu teria que confiar muito, muito em você para manter as coisas assim. Mas não vou dizer não. Vou pensar sobre isso.
141.2|Quer saber? Foda-se. Você parece ótimo. Claro, vou te ensinar alguns movimentos matadores. Observe e aprenda.
141.3|Hmm... então você precisa de algo rápido e sujo para realmente impressionar as pessoas, né? Sorte sua que rápido e sujo é minha especialidade. Claro, eu posso ajudar! Aqui está o que você faz...
